Individual	petiole_length	Area	Perimeter	Major	Minor	Circ.	AR	leaves_lustrous	drys_dark	Leaf_margin	mean_peduncle	mean_cyme	length_difference	State	County
ELS198	1.11535	6.209	11.343	4.3915	1.7975	0.6055	2.445	0	0	0	18	20.5	-2.5	Florida	Franklin
ELS200	0.8104	22.7415	20.971	7.9545	3.578	0.641	2.219	0	0	0	29	18	11	Florida	Franklin
ELS201	1.8953	23.713	22.7095	8.11	3.7075	0.5755	2.192	0	0	0	25	23.5	1.5	Florida	Franklin
ELS002	0.88925	22.90675	22.10175	8.59525	3.282	0.57975	2.61725	0	0	0	20	19	1	Florida	Alachua
ELS227	1.32865	14.666	18.121	6.964	2.677	0.56	2.6055	0	0	0	NA	NA	NA	Florida	Alachua
ELS003	0.946533333333333	17.7816666666667	20.5756666666667	8.19266666666667	2.75166666666667	0.525	2.98333333333333	0	0	0	37	16.5	20.5	Florida	Alachua
ELS229	0.703333333333333	13.234	16.7623333333333	6.50033333333333	2.47066666666667	0.561333333333333	2.67833333333333	0	0	0	15	18	-3	Florida	Alachua
ELS230	0.8819	25.0976666666667	22.9936666666667	8.47666666666667	3.681	0.593666666666667	2.27433333333333	0	0	0	NA	NA	NA	Florida	Alachua
ELS251	1.30618	9.799	13.1426	4.8736	2.5026	0.6934	1.9712	0	0	0	17.5	16	1.5	Florida	Alachua
ELS252	1.23775	15.1925	17.3295	6.55875	2.76625	0.5875	2.44925	0	0	0	37	22	15	Florida	Clay
ELS253	1.1658	16.6848333333333	18.5745	6.98083333333333	3.0315	0.602166666666667	2.33466666666667	0	0	0	12	11	1	Florida	Clay
ELS254	1.206775	23.572	23.5375	9.16075	3.2535	0.52875	2.841	0	0	0	28	8	20	Florida	Clay
ELS255	0.84108	13.6326	17.0438	6.6878	2.5498	0.5766	2.6252	0	0	1	29	14	15	Florida	Clay
ELS256	2.1977	10.73	14.882	5.915	2.31	0.609	2.561	0	0	0	22	13.5	8.5	Florida	Clay
ELS265	1.22378	28.1644	23.5306	9.1786	3.7044	0.6064	2.5076	NA	NA	0	38	15	23	South Carolina	Beaufort
ELS266	1.38723333333333	23.3423333333333	20.5346666666667	7.555	3.777	0.669666666666667	1.99	0	0	0	36	17	19	South Carolina	Beaufort
ELS267	1.2518	24.408	19.724	7.138	4.354	0.788	1.64	0	1	0	NA	NA	NA	South Carolina	Colleton
ELS268	0.94864	15.2444	16.341	6.2938	3.0698	0.7162	2.047	0	1	0	54	21.5	32.5	South Carolina	Colleton
ELS271	1.1927	29.0626666666667	25.1716666666667	10.054	3.68066666666667	0.576666666666667	2.73333333333333	0	0	0	NA	NA	NA	South Carolina	Colleton
ELS299	0.5917	8.2495	11.9535	4.3655	2.4025	0.725	1.816	0	0	1	16.5	20	-3.5	North Carolina	Transylvania
ELS300	1.1724	17.336	19.041	6.603	3.343	0.601	1.975	0	0	2	8	12.5	-4.5	North Carolina	Transylvania
ELS302	2.0512	11.299	13.247	4.276	3.365	0.809	1.271	0	0	1	9	23	-14	North Carolina	Transylvania
ELS303	0.90245	11.4375	14.7845	5.4905	2.627	0.652	2.0845	0	0	1	NA	NA	NA	North Carolina	Transylvania
ELS309	1.16686666666667	8.129	11.544	4.10366666666667	2.29066666666667	0.717333333333333	1.73266666666667	0	0	1	11	18	-7	North Carolina	Haywood
ELS311	1.29355	17.2275	18.676	7.154	2.9275	0.6065	2.404	0	0	1	13	17	-4	North Carolina	Haywood
ELS313	1.27055	8.474	12.6045	4.5435	2.375	0.6705	1.9135	0	0	2	8	20.5	-12.5	North Carolina	Haywood
ELS314	1.50693333333333	19.2	18.7553333333333	6.974	3.45333333333333	0.682	2.00733333333333	0	0	1	16	15	1	North Carolina	Transylvania
ELS054	1.15443333333333	14.231	16.9776666666667	6.76066666666667	2.653	0.618333333333333	2.539	0	0	0	26	17	9	North Carolina	Richmond
ELS321	1.12336	7.5068	12.3158	4.7722	1.9232	0.595	2.5266	0	0	0	NA	NA	NA	North Carolina	Richmond
ELS322	0.917266666666667	5.534	9.869	3.89866666666667	1.737	0.692333333333333	2.21533333333333	0	0	0	22	14.5	7.5	North Carolina	Richmond
ELS323	0.86405	10.21275	14.254	5.51175	2.3245	0.6225	2.383	0	0	0	16	13	3	North Carolina	Richmond
ELS324	1.0259	10.871	14.019	5.3986	2.5552	0.6902	2.138	0	0	0	17.5	12.25	5.25	North Carolina	Richmond
ELS050	1.434575	20.69725	19.77975	7.6135	3.46125	0.655	2.306	1	1	0	35	20	15	North Carolina	Moore
ELS328	1.0523	18.9186666666667	18.5393333333333	6.968	3.45966666666667	0.685333333333333	2.095	0	1	0	27	19	8	North Carolina	Moore
ELS329	1.2066	22.619	20.334	8.04866666666667	3.506	0.672	2.305	0	1	0	39	25	14	North Carolina	Moore
ELS330	1.01873333333333	17.2516666666667	18.6683333333333	7.398	2.968	0.622333333333333	2.497	0	1	0	NA	NA	NA	North Carolina	Moore
ELS331	1.04083333333333	32.9863333333333	26.5786666666667	10.2293333333333	4.05333333333333	0.58	2.51133333333333	0	1	0	NA	NA	NA	North Carolina	Moore
ELS340	2.13526	21.9514	19.3394	6.2118	4.2626	0.6908	1.4626	0	0	2	22	21.5	0.5	North Carolina	Burke
ELS384	1.6506	21.493	19.298	6.376	4.292	0.725	1.486	0	0	1	15	14.4	0.6	Maine	Hancock
ELS386	1.4131279165	16.5545	18.0005	6.5145	3.228	0.641	2.0195	0	0	1	NA	NA	NA	Maine	Hancock
ELS387	1.3586	35.569	25.118	9.202	4.922	0.708	1.87	0	0	1	NA	NA	NA	Maine	Hancock
ELS388	1.1063	19.47	18.917	6.324	3.92	0.684	1.613	0	0	2	16	12	4	Maine	Hancock
ELS389	1.06546666666667	16.596	17.6466666666667	6.82366666666667	3.091	0.668	2.21166666666667	0	0	1	21.3333333333333	15.8	5.53333333333333	Maine	Hancock
ELS391	1.36385	22.208	19.829	6.6195	4.2545	0.6995	1.6045	NA	NA	NA	NA	NA	NA	Maine	Waldo
ELS079	0.8824	7.629	10.876	3.586	2.709	0.811	1.324	0	0	1	16	14.6	1.4	New Hampshire	Coos
ELS407	1.27038	13.3928	15.0104	5.3768	3.144	0.7428	1.704	0	0	2	NA	NA	NA	New Hampshire	Coos
ELS408	0.961775	9.62975	13.7485	4.9125	2.48025	0.638	1.9855	0	0	2	11	8.5	2.5	New Hampshire	Coos
ELS409	1.1484	9.624	13.176	4.99	2.456	0.697	2.032	0	0	0	11	13	-2	New Hampshire	Coos
ELS410	1.3214	13.76875	15.52575	5.51975	3.17825	0.7235	1.74	0	0	1	15	14.3333333333333	0.666666666666666	New Hampshire	Coos
ELS411	0.8716	11.693	14.155	5.22	2.852	0.733	1.83	0	0	1	NA	NA	NA	New Hampshire	Merrimack
ELS413	1.425775	14.88125	17.209	6.43775	2.89575	0.6215	2.22675	0	0	1	NA	NA	NA	Massachusetts	Berkshire
ELS414	1.34825	13.2645	15.1875	5.67025	2.928	0.71725	1.92925	0	0	1	NA	NA	NA	Massachusetts	Berkshire
ELS415	1.103975	10.8375	14.0165	5.14375	2.673	0.69	1.937	0	0	2	NA	NA	NA	Massachusetts	Berkshire
ELS416	1.48486666666667	16.4711666666667	18.664	7.19116666666667	2.9145	0.594666666666667	2.46733333333333	0	0	1	NA	NA	NA	Massachusetts	Berkshire
ELS420	1.2387	18.7133333333333	17.4423333333333	6.04233333333333	3.839	0.756666666666667	1.55366666666667	0	0	1	NA	NA	NA	Massachusetts	Berkshire
ELS423	1.268275	11.94525	14.204	5.23625	2.903	0.74375	1.804	0	0	NA	NA	NA	NA	Massachusetts	Berkshire
ELS081	NA	14.007	15.138	5.177	3.445	0.768	1.502	0	0	2	NA	17.5	NA	Connecticut	New Haven
ELS537	0.770366666666667	8.26416666666667	11.6806666666667	4.29316666666667	2.4195	0.752333333333333	1.7685	0	0	2	NA	NA	NA	Massachusetts	Barnstable
ELS538	0.922883333333333	11.3856666666667	14.1801666666667	5.05566666666667	2.8285	0.705	1.784	0	0	2	NA	NA	NA	Massachusetts	Barnstable
