Accession,Sample,Specimen,Species,State,County,Latitude,Longitude,Elevation,wc2.1_30s_bio_1,wc2.1_30s_bio_10,wc2.1_30s_bio_11,wc2.1_30s_bio_12,wc2.1_30s_bio_13,wc2.1_30s_bio_14,wc2.1_30s_bio_15,wc2.1_30s_bio_16,wc2.1_30s_bio_17,wc2.1_30s_bio_18,wc2.1_30s_bio_19,wc2.1_30s_bio_2,wc2.1_30s_bio_3,wc2.1_30s_bio_4,wc2.1_30s_bio_5,wc2.1_30s_bio_6,wc2.1_30s_bio_7,wc2.1_30s_bio_8,wc2.1_30s_bio_9,wc2.1_30s_elev,current_30arcsec_annualPET,current_30arcsec_aridityIndexThornthwaite,current_30arcsec_climaticMoistureIndex,current_30arcsec_continentality,current_30arcsec_embergerQ,current_30arcsec_growingDegDays0,current_30arcsec_growingDegDays5,current_30arcsec_maxTempColdest,current_30arcsec_minTempWarmest,current_30arcsec_monthCountByTemp10,current_30arcsec_PETColdestQuarter,current_30arcsec_PETDriestQuarter,current_30arcsec_PETseasonality,current_30arcsec_PETWarmestQuarter,current_30arcsec_PETWettestQuarter,current_30arcsec_thermicityIndex,lvl4,huc2,huc4,huc6,huc8,huc10,huc12,SVL,TL,AG,CW,FL,HL,SG,TW,TO,FI,HW,ED,IN,ES,ON,IO,IC
SAMN21243151,RAP0662,AMNH A-194125,NTA,GA,Lumpkin,34.70805,-83.91265,638,12.94,21.5,3.99,1649.24,176.16,110.88,12.39,479.27,362.52,388.11,445.57,12.6,40.24,709.28,28.42,-2.89,31.31,5.24,18.12,737.59,1178.12,11.21,0.3,20.12,184.89,53718.34,37789.22,80.26,160.24,7,41.01,114.4,4762.69,154.47,55.8,173.36,66d,3,313,31300,3130001,313000105,31300010501,25.58,16.26,13.49,2.75,1.66,1.6,5.73,2.23,1.25,0.6,3.69,1.51,1.32,1.19,0.69,1.24,1.56
SAMN21243152,RAP0676,AMNH A-194126,COH,GA,Gilmer,34.777,-84.33188,652,12.73,21.42,3.54,1632.75,175.12,104.44,13.61,475.7,345.99,385.38,442.38,12.31,39.39,723.27,28.28,-2.96,31.25,4.93,17.99,735.98,1178.58,12.8,0.29,20.73,176.93,53903,38099.24,75.2,162.88,7,39.79,115.64,4888.71,156.3,54.28,171.43,66g,3,315,31501,3150102,315010202,31501020202,23.92,14.89,12.62,2.96,1.2,1.34,5.37,2.38,1.29,0.59,3.66,1.46,1.14,1.31,0.86,1.01,1.82
SAMN21243153,RAP0677,AMNH A-194127,COH,GA,Gilmer,34.777,-84.33188,652,12.73,21.42,3.54,1632.75,175.12,104.44,13.61,475.7,345.99,385.38,442.38,12.31,39.39,723.27,28.28,-2.96,31.25,4.93,17.99,735.98,1178.58,12.8,0.29,20.73,176.93,53903,38099.24,75.2,162.88,7,39.79,115.64,4888.71,156.3,54.28,171.43,66g,3,315,31501,3150102,315010202,31501020202,26.96,15.21,14.1,3.33,1.85,1.38,6.62,2.39,1.52,0.68,3.98,1.48,1.66,1.58,1.1,1.27,1.94
SAMN21243154,RAP1250,,NTA,GA,Forsyth,34.24546,-84.13745,423,15.08,24.06,5.63,1472.51,163.21,98.5,15.98,446.25,313.43,334.25,413.57,11.85,37.69,744,30.6,-0.85,31.45,7.2,19.67,429.86,1237.01,25.11,0.17,20.55,161.03,62888.99,56363.87,95.41,185.47,7,44.06,87.55,4923.55,161.19,59.69,236,45a,3,315,31501,3150104,315010403,31501040305,,,,,,,,,,,,,,,,,
SAMN21243155,RAP1251,AMNH A-194128,NTA,GA,Forsyth,34.24546,-84.13745,423,15.08,24.06,5.63,1472.51,163.21,98.5,15.98,446.25,313.43,334.25,413.57,11.85,37.69,744,30.6,-0.85,31.45,7.2,19.67,429.86,1237.01,25.11,0.17,20.55,161.03,62888.99,56363.87,95.41,185.47,7,44.06,87.55,4923.55,161.19,59.69,236,45a,3,315,31501,3150104,315010403,31501040305,24.09,15.84,12.83,3.41,2.08,1.72,5.25,2.54,1.12,0.73,3.52,1.48,1.35,1.34,0.72,0.94,1.6
SAMN21243156,RAP1256,AMNH A-194195,NTA,GA,Graham,35.42077,-83.95027,642,12.08,20.97,2.84,1558.19,161.53,92.53,13.75,435.74,324.36,399.92,410.58,13.33,41.24,735.38,28.28,-4.05,32.33,4.08,13.62,723.65,1183.61,14.43,0.24,20.65,165.54,52155.43,37178.76,73.34,154.64,7,39.05,110.3,4985.58,157.86,53.85,156.74,66g,6,601,60102,6010204,601020401,60102040107,25.22,10.53,13.68,2.76,1.99,1.55,5.18,1.95,1.29,0.65,3.67,1.57,1.44,1.12,0.54,1.18,1.69
SAMN21243157,RAP1257,AMNH A-194196,NTA,GA,Graham,35.42077,-83.95027,642,12.08,20.97,2.84,1558.19,161.53,92.53,13.75,435.74,324.36,399.92,410.58,13.33,41.24,735.38,28.28,-4.05,32.33,4.08,13.62,723.65,1183.61,14.43,0.24,20.65,165.54,52155.43,37178.76,73.34,154.64,7,39.05,110.3,4985.58,157.86,53.85,156.74,66g,6,601,60102,6010204,601020401,60102040107,23.67,14.33,12.99,3.1,2.34,1.88,5.18,2.28,1.25,0.53,3.51,1.44,1.28,1.22,0.61,0.98,1.68
SAMN21243158,RAP1275,AMNH A-194197,NTA,GA,Macon,35.17529,-83.70707,951,11.24,19.76,2.32,1771.94,183.22,114.22,11.28,492.44,385.83,435.82,463.44,12.83,40.77,708.41,26.76,-4.7,31.46,3.47,16.52,993.48,1125.43,4.95,0.36,19.89,193.57,47382.64,34195.23,67.2,142.6,7,37.88,109.87,4676.49,149.29,51.92,128.85,66g,6,601,60102,6010202,601020203,60102020303,20.2,10.77,10.81,2.51,1.83,1.07,4.55,1.8,1.18,0.56,3.29,1.42,1.2,1.12,0.58,0.8,1.54
SAMN21243159,RAP1276,AMNH A-194198,NTA,GA,Macon,35.17529,-83.70707,951,11.24,19.76,2.32,1771.94,183.22,114.22,11.28,492.44,385.83,435.82,463.44,12.83,40.77,708.41,26.76,-4.7,31.46,3.47,16.52,993.48,1125.43,4.95,0.36,19.89,193.57,47382.64,34195.23,67.2,142.6,7,37.88,109.87,4676.49,149.29,51.92,128.85,66g,6,601,60102,6010202,601020203,60102020303,25.47,16.31,13.82,2.74,2.45,1.77,5.61,2.03,1.3,0.57,3.49,1.62,1.47,1.04,0.43,0.94,1.64
SAMN21243160,RAP1290,AMNH A-194199,NTA,GA,Macon,35.06856,-83.52907,1070,10.89,19.2,2.13,1912.35,196.46,130.46,10.27,524.95,426.02,461.51,494.44,12.26,40.14,693.54,25.94,-4.61,30.55,3.3,16.05,1102.25,1098.89,1.92,0.42,19.57,211.2,46034.67,33474.57,65.06,140.91,6.93,37.18,106.97,4555.85,145.52,50.91,124.41,66d,6,601,60102,6010202,601020203,60102020302,22.87,10.67,11.46,2.87,1.93,1.19,5.26,2.32,1.25,0.63,3.66,1.57,1.31,1.19,0.75,0.94,1.63
