Accession,Sample,Specimen,Species,State,County,Latitude,Longitude,Elevation,wc2.1_30s_bio_1,wc2.1_30s_bio_10,wc2.1_30s_bio_11,wc2.1_30s_bio_12,wc2.1_30s_bio_13,wc2.1_30s_bio_14,wc2.1_30s_bio_15,wc2.1_30s_bio_16,wc2.1_30s_bio_17,wc2.1_30s_bio_18,wc2.1_30s_bio_19,wc2.1_30s_bio_2,wc2.1_30s_bio_3,wc2.1_30s_bio_4,wc2.1_30s_bio_5,wc2.1_30s_bio_6,wc2.1_30s_bio_7,wc2.1_30s_bio_8,wc2.1_30s_bio_9,wc2.1_30s_elev,current_30arcsec_annualPET,current_30arcsec_aridityIndexThornthwaite,current_30arcsec_climaticMoistureIndex,current_30arcsec_continentality,current_30arcsec_embergerQ,current_30arcsec_growingDegDays0,current_30arcsec_growingDegDays5,current_30arcsec_maxTempColdest,current_30arcsec_minTempWarmest,current_30arcsec_monthCountByTemp10,current_30arcsec_PETColdestQuarter,current_30arcsec_PETDriestQuarter,current_30arcsec_PETseasonality,current_30arcsec_PETWarmestQuarter,current_30arcsec_PETWettestQuarter,current_30arcsec_thermicityIndex,lvl4,huc2,huc4,huc6,huc8,huc10,huc12,SVL,TL,AG,CW,FL,HL,SG,TW,TO,FI,HW,ED,IN,ES,ON,IO,IC
SRR15815573,RAP1596,MMNS 19996,valentinei,MS,Neshoba,32.83631,-89.09802,118,16.98,25.97,7.58,1455.04,160.22,87,21.12,434.52,265.92,317.3,412.61,13.08,40.14,745.73,32.78,0.2,32.58,12.71,22.25,126.88,1378.9,34.34,0.04,20.39,151.68,73428.16,73428.16,123.85,204.85,9,53.03,134.12,5071.05,174.23,99.58,305.66,65d,03,0318,031800,03180001,0318000106,031800010603,56.89,37,32.72,7.18,4.16,3.51,12.5,5.08,2.63,1.6,8.13,3.02,2.69,3.03,1.93,2.38,3.61
SRR15815575,RAP1569,MMNS 19995,valentinei,MS,Harrison,30.37713,-89.2749,4,19.54,27.04,11.46,1640.87,166,78,17.93,486,320.84,463,416.93,10.6,38.69,639.47,32.53,5.12,27.41,26.78,16,12.14,1343.1,14.07,0.16,17.09,198.55,84299.37,84299.37,155.93,222.88,12,59.54,75.51,4266.85,161.54,149.58,400.93,75k,03,0317,031700,03170009,0317000912,031700091203,34.73,24.38,19.6,4.43,2.33,2.29,8,3.05,1.93,1.05,5.59,2.18,1.62,1.71,1.06,1.28,2.25
SRR15815577,RAP1568,ANSP HERP 38812,valentinei,MS,Harrison,30.37713,-89.2749,4,19.54,27.04,11.46,1640.87,166,78,17.93,486,320.84,463,416.93,10.6,38.69,639.47,32.53,5.12,27.41,26.78,16,12.14,1343.1,14.07,0.16,17.09,198.55,84299.37,84299.37,155.93,222.88,12,59.54,75.51,4266.85,161.54,149.58,400.93,75k,03,0317,031700,03170009,0317000912,031700091203,47.65,34.82,27.44,7.15,4.03,2.55,10.64,4.94,2.42,1.22,7.15,2.61,2.02,2.13,1.41,1.81,2.86
SRR15815579,RAP1560,BMNH 2021.7559,pascagoula,MS,Perry,30.9131,-88.86587,43,18.67,26.52,10.3,1634.2,172.02,83.98,17.22,459.06,332.54,447.58,427.08,12.98,43.34,661.59,33.05,3.1,29.95,26.14,19.28,62.61,1443.91,14.86,0.12,18.05,184.27,80582.05,80582.05,152.02,209.04,11,61.62,106.98,4814.27,176.02,161.74,366.3,65f,03,0317,031700,03170007,0317000705,031700070504,50.82,31.29,29.6,6.81,3.71,2.96,10.59,4.71,2.48,1.11,7,2.59,2.1,2.33,1.47,1.8,2.84
SRR15815581,RAP1559,ANSP HERP 38810,pascagoula,MS,Perry,30.9131,-88.86587,43,18.67,26.52,10.3,1634.2,172.02,83.98,17.22,459.06,332.54,447.58,427.08,12.98,43.34,661.59,33.05,3.1,29.95,26.14,19.28,62.61,1443.91,14.86,0.12,18.05,184.27,80582.05,80582.05,152.02,209.04,11,61.62,106.98,4814.27,176.02,161.74,366.3,65f,03,0317,031700,03170007,0317000705,031700070504,41.67,31.01,23.82,5,2.85,2.53,9.32,3.69,2.04,1.03,6.12,2.07,1.69,1.93,1.35,1.54,2.76
SRR15815583,RAP1558,MMNS 19997,pascagoula,MS,Greene,31.00947,-88.78967,14,18.65,26.57,10.25,1607.43,169,82,17.39,450.54,325.6,432.3,426.14,13.59,44.42,665.47,33.4,2.8,30.6,11.7,19.23,29.87,1473.87,18.56,0.09,18.15,178.44,80270.95,80270.95,153.07,206,11,62.62,109.26,4927.81,179.67,79.4,362.96,65p,03,0317,031700,03170005,0317000509,031700050904,45.02,40.63,25.53,5.72,2.99,3.28,9.73,4.48,2.87,1.2,6.91,2.46,2.05,2.27,1.47,1.7,3.1
SRR15815585,RAP1557,USNM 596056,valentinei,MS,Lamar,31.28912,-89.44952,82,18.51,26.63,9.88,1578.33,162.08,92,15.94,459.62,320,379.17,438.75,12.83,42.08,681.24,33.09,2.6,30.49,11.38,23,99.78,1433.48,22.7,0.08,18.74,173.12,80191.75,80191.75,148.94,213.97,11,60.15,106.17,4855.66,176.31,76.85,361.83,65f,03,0317,031700,03170007,0317000701,031700070102,52,34.54,29.36,7.31,4.48,2.79,11.4,5.45,2.47,1.34,7.71,2.66,2.51,2.45,1.55,2.07,3.12
SRR15815587,RAP1556,AMNH 193778,valentinei,MS,Lamar,31.28912,-89.44952,82,18.51,26.63,9.88,1578.33,162.08,92,15.94,459.62,320,379.17,438.75,12.83,42.08,681.24,33.09,2.6,30.49,11.38,23,99.78,1433.48,22.7,0.08,18.74,173.12,80191.75,80191.75,148.94,213.97,11,60.15,106.17,4855.66,176.31,76.85,361.83,65f,03,0317,031700,03170007,0317000701,031700070102,52.13,40.84,29.58,6.56,3.76,2.95,11.55,5.14,2.66,1.09,7.78,2.82,2.5,2.64,1.58,2.2,3.4
SRR15815589,RAP1547,AMNH 193776,valentinei,MS,Hinds,32.39843,-90.0721,82,17.83,26.6,8.53,1420.18,152,85,21.22,424,263.08,290.54,410.33,12.57,39.67,734.21,33.1,1.42,31.68,17.64,23.15,93.31,1409.08,39.75,-0.04,20.14,143.35,76847.26,76847.26,132.2,211,9,55.09,137.56,5125.58,177.9,132.97,331.88,74b,03,0318,031800,03180002,0318000206,031800020601,55.34,5.94,31.78,6.15,3.96,3.47,11.58,4.8,3.2,1.53,7.42,2.74,2.3,2.75,1.72,1.84,3.38
SRR15815593,RAP1481,AUM 45896,pascagoula,AL,Mobile,30.45608,-88.35378,9,19.5,26.95,11.49,1647.76,177,93,17.79,492,329.26,482.01,394.35,10.82,39.92,632.45,32.1,4.99,27.11,26.63,15.81,18.83,1321.37,16.22,0.17,17.21,198.47,83541.61,83541.61,155.86,225.01,12,59.84,75.38,4088.67,157.45,146.23,395.73,65f,03,0317,031700,03170008,0317000807,031700080702,43.94,34.23,26.42,5.71,2.94,3.24,9.17,4.23,2.11,1.23,6.29,2.11,1.97,2.31,1.49,1.51,2.56
