Species	Name	R11	G11	B11	R12	G12	B12	R13	G13	B13	R14	G14	B14	R15	G15	B15	R16	G16	B16
8301	fb	107.67	49.73	17.7	159.34	105.67	24.43	168.71	116.31	26.65	95.23	49.2	22.92	95.13	81.25	65.13	69.57	61.48	49.34
8302	fb	111.3	51.86	19.38	151.62	91.75	12.01	167.63	124.57	33.41	101.19	59.09	27.1	109.9	95.2	75.85	93.68	81.2	63.65
8303	fb	87.95	46.3	23.4	147.06	96.51	23.72	156.18	108.11	25.32	91.75	49.74	21.35	110.98	95.96	77.99	84.7	74.33	59.9
8304	fb	137.7	76.57	12.15	164.94	129.76	34.33	176.34	147.56	56.02	105.59	70.66	25.53	117.55	112.14	96.31	91.52	89.28	75.19
8306	fs	113.25	54.63	15.15	163.09	102.59	6.96	168.32	127.49	48.02	87.39	46.21	23.98	102.3	87.31	70.34	95.69	82.69	65.79
8307	fb	140.68	64.1	11.12	198.97	120.36	23.53	193.34	131.77	37.26	105.77	50.98	21	131.96	99.9	71.32	93.04	73.66	54.04
8308	fs	158.44	87.07	28.69	189.36	127.1	47.13	182.02	129.71	46.11	139.86	83.12	35	125.22	88.71	60.25	115.77	85.63	63.73
8309	fb	121.93	57.14	23.64	210.39	145.3	61.52	221.39	158.21	53.32	122.53	65.97	26.3	151.86	115.99	83.39	110.82	87.14	62.32
8310	fb	166.12	91.02	12.86	197.31	129.57	13.74	207.54	157.67	50.19	148.29	84.49	21.24	132.51	96.12	68.05	111.29	84.21	62.51
8311	fb	152.65	67.47	19.17	208.63	139.58	33.15	212.71	153.94	37.84	170.72	87.86	21.93	133.11	102.29	71.79	111.79	85.92	60.08
8312	fs	146.09	75.52	23.37	190.58	126.69	22.04	195.59	148.2	56.87	147.59	91.19	37.12	126.34	96.47	67.18	108.07	84.6	61.27
8313	fs	180.4	97.43	27.67	226.72	161.75	63.89	236.77	184.37	85.99	157.94	81.24	25.19	130	95.7	68.32	118.26	89.22	63.56
8314	fs	156.84	80.69	22.19	212.93	114.47	34.13	203.98	155.78	62.87	155.51	85.87	27.17	143.11	103.39	67.04	123.69	92.34	62.74
8316	fb	155.54	73.54	16.84	207.64	132.28	14.6	288.39	162.38	39.38	128.22	62.55	24.99	147.28	116.79	87.16	108.38	85.24	61.72
8317	fs	134.82	77.74	26.38	167.84	116.65	34.49	169.31	128.19	55.28	124.04	79.13	29.05	118.84	97.27	75.53	116.21	95.6	78.3
8318	fs	159.39	68.51	11.45	212.77	143.75	35.24	226.45	186.52	106.53	146.51	73.67	28.39	150.41	118.18	86.93	121.73	95.15	67.85
8320	fs	135.13	60.12	20.07	189.85	134.69	57.31	190.26	138.1	50.47	135.41	69.13	26.39	138.43	105.68	80.79	112.75	88.09	67.37
8321	fb	151.76	75.1	19.49	195.47	123.27	29.04	190.25	139.61	55.99	137.92	90.66	52.14	150.95	118.99	87.46	111.55	87.06	64.38
8322	fs	151	92.22	44.67	180.64	126.41	49.79	203.63	158.53	93.46	149.56	84.07	34.21	145.77	105.57	72.54	132.19	98.36	68.67
8323	fb	122.82	54.71	14.23	158.03	106.09	18.1	164.84	119.5	29.94	91.53	51.98	22.96	114.86	98.31	77.62	91.42	79.38	61.45
8324	fb	134.93	74.61	33.08	195.41	142.99	72.1	223.26	177.46	101.37	126.9	72.45	35.79	131.75	98.95	70.42	101.44	78	56.71
8325	fs	137.52	54.76	13.42	199.23	139.01	49.8	212.56	174.48	113.69	123.17	71.39	36.28	117.47	85.47	59.1	98.94	73.52	51.98
8326	fs	111.51	59.54	20.77	147.6	104.16	35.07	163.64	118.14	36.19	94.32	48.99	19.57	98.94	84.9	64.42	90.89	79.09	60.22
8327	fb	118.72	56.66	17.14	154.57	87.89	9.16	163.57	113	25.93	100.62	56.12	24.2	96.7	80.92	61.09	79.81	68.44	52.54
8328	fs	160	89.13	37.84	205.11	143.45	56.13	213.6	166.73	86.3	184.99	125.23	65.52	171.14	133.95	97.03	152.84	121.23	90.35
8329	fb	170.78	92.39	27	227.83	160.92	56.84	228.7	174.62	77.05	163.46	90.81	28.84	168.12	125.29	84.08	131.3	100.09	70.01
8331	fb	156.96	85.59	28.63	211.18	143.2	35.58	218.4	170.39	83.39	155.85	98.34	43.45	186.13	150.58	110.7	136.29	105.48	75.56
8332	fb	152.33	85.24	35.65	198.74	124.12	26.61	213.6	160.49	75.88	160.29	90.86	34.77	144.41	105.65	74.63	116.98	87.17	62.26
8333	fb	125.64	55.82	15.94	197.11	128.25	16.99	203.71	138.88	17.92	121.52	61.07	11.13	139.61	112.93	83.33	102.59	84.2	62.04
8334	fb	135.57	59.55	12.32	164.41	99.64	4.58	175.23	122.66	13.59	76.52	35.02	16.72	106.21	96.98	78.86	82.25	76.16	60.33
8335	fs	142.77	68.78	16.39	186.5	108.92	2.47	192.1	131.82	18.03	108.93	53.72	19.36	119.53	92.69	68.25	101.88	78.98	57.29
8336	fb	68.23	32.61	20.66	140.24	79.05	11.08	157.25	90.48	7.1	72.92	34.4	17.38	114.25	102.74	85.88	83.31	75.55	60.44
8337	fb	135.67	59.02	14.99	191.86	113.57	7.75	212.8	147.99	35.2	123.06	57.79	20.31	111.19	84.54	57.01	77.77	62.17	43.35
8338	fs	141.96	69.4	18.3	199.02	127.02	15.34	205.57	146.45	38.91	114.85	52.78	20.41	115.14	86.55	59.7	104.74	81.44	57.59
8339	fs	158.94	83.56	15.82	189.02	112.47	7.65	199.21	134.46	20.81	137.48	67.52	13.68	111.07	77.67	50.63	97.55	72.16	50.23
8340	fb	144.04	68.41	22.28	207.56	139.33	28.99	212.74	144.38	26.15	131.14	66.54	17.99	141.94	106.58	74.29	101.59	78	54.75
