"","Temperature_mean_surface","Temperature_min_surface","Temperature_max_surface","Salinity_mean_surface","Salinity_min_surface","Salinity_max_surface","Dissolved_oxygen_mean_surface","Chlorophyll_mean_surface","Nitrate_mean_surface","Phosphate_mean_surface","Silicate_mean_surface","pH_surface"
"Echr_01_Bim_01",27.265459,23.613228,30.37727,36.343171,35.486007,37.146998,203.618912,0.069426,0.038872,0.000219,5.263017,8.21300029754639
"Echr_02_Bim_01",27.265459,23.613228,30.37727,36.343171,35.486007,37.146998,203.618912,0.069426,0.038872,0.000219,5.263017,8.21300029754639
"Epap_01_Ber_01",23.396906,18.789389,28.66283,36.522487,36.006325,36.840918,217.21418,0.24187,0.251602,0.022337,1.931141,8.2189998626709
"Epap_02_Ber_01",23.396906,18.789389,28.66283,36.522487,36.006325,36.840918,217.21418,0.24187,0.251602,0.022337,1.931141,8.2189998626709
"Epap_03_Ber_01",23.396906,18.789389,28.66283,36.522487,36.006325,36.840918,217.21418,0.24187,0.251602,0.022337,1.931141,8.2189998626709
"Epap_04_Ber2_Bim_01",23.396906,18.789389,28.66283,36.522487,36.006325,36.840918,217.21418,0.24187,0.251602,0.022337,1.931141,8.2189998626709
"Epap_04_Ber2_Bim_02",27.265459,23.613228,30.37727,36.343171,35.486007,37.146998,203.618912,0.069426,0.038872,0.000219,5.263017,8.21300029754639
"Epap_05_Ber_01",23.396906,18.789389,28.66283,36.522487,36.006325,36.840918,217.21418,0.24187,0.251602,0.022337,1.931141,8.2189998626709
"Epap_06_Ber2_01",23.396906,18.789389,28.66283,36.522487,36.006325,36.840918,217.21418,0.24187,0.251602,0.022337,1.931141,8.2189998626709
"Epap_07_Ber_01",23.396906,18.789389,28.66283,36.522487,36.006325,36.840918,217.21418,0.24187,0.251602,0.022337,1.931141,8.2189998626709
"Epap_08_Ber2_01",23.396906,18.789389,28.66283,36.522487,36.006325,36.840918,217.21418,0.24187,0.251602,0.022337,1.931141,8.2189998626709
"Epap_09_Ber_01",23.396906,18.789389,28.66283,36.522487,36.006325,36.840918,217.21418,0.24187,0.251602,0.022337,1.931141,8.2189998626709
"Epap_10_Ber_01",23.396906,18.789389,28.66283,36.522487,36.006325,36.840918,217.21418,0.24187,0.251602,0.022337,1.931141,8.2189998626709
"Epap_11_Ber_01",23.396906,18.789389,28.66283,36.522487,36.006325,36.840918,217.21418,0.24187,0.251602,0.022337,1.931141,8.2189998626709
