Individual_number;Individual.ID;Place;age;sex;Species;clade;population;ear.length;ear.width;head.length;head.width;interorbital.dist;intraorbital.dist;snout.length;lower.leg.length;hind.foot.length;third.toe.length;body.length;tail.length;body.mass;tail.circumference;observer;testis.width.total;testis.width.left;testis.width.right;testis.length.left;testis.length.right;male_repro;female_repro;pregnant_body.mass;comment;comment2;latitude;longitude;altitude;date;month;season;torpor;ear.marking;RADSeq.available;fine_sub_pops;bio01;bio02;bio03;bio04;bio05;bio06;bio07;bio08;bio09;bio10;bio11;bio12;bio13;bio14;bio15;bio16;bio17;bio18;bio19;popolation;spp_obs;X.NA.
1;M229;Fautany;adult;M;arnholdi;7;arno;18,6;#NV;34,2;18,6;21,8;5,9;9,5;40;21,8;8,2;69;132;#NV;27;HT;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-12.692943;49.190753999999998;NA;NA;Aug-Oct;repro;NA;NA;NA;arno_north;211;89;688;1186;279;149;130;220;194;221;193;18516;5047;93;1182;13062;363;8686;416;arno;arno_HT;NA
2;F219;Fautany;adult;F;arnholdi;7;arno;18,7;#NV;34,9;18,9;21,1;6,2;9,2;39,3;22,5;8,5;77;144;#NV;26;HT;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-12.691328;49.187967999999998;NA;NA;Aug-Oct;repro;NA;NA;NA;arno_north;207;89;692;1215;275;146;129;217;190;218;189;18558;5054;94;1181;13082;369;8702;423;arno;arno_HT;NA
3;F231;Fautany;adult;F;arnholdi;7;arno;18,7;#NV;35,2;19,4;21,7;6;9,4;37,7;21,1;8,9;86;142;#NV;25;HT;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-12.692477;49.190196999999998;NA;NA;Aug-Oct;repro;NA;NA;NA;arno_north;211;89;688;1186;279;149;130;220;194;221;193;18516;5047;93;1182;13062;363;8686;416;arno;arno_HT;NA
4;F225;Fautany;adult;F;arnholdi;7;arno;18,9;#NV;33,3;19,8;19,5;#NV;8,9;38,6;20;9,6;76;132;#NV;29;HT;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-12.688768;49.173327999999998;NA;NA;Aug-Oct;repro;NA;NA;NA;arno_north;202;90;689;1215;271;141;130;212;185;213;184;18348;5036;91;1188;12988;354;12660;406;arno;arno_HT;NA
5;M245;Fautany;adult;M;arnholdi;7;arno;19,2;#NV;33,3;19,4;21,1;6,1;8,6;37,5;20,3;8,3;81;131;#NV;28;HT;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-12.693038;49.172673000000003;NA;NA;Aug-Oct;repro;NA;NA;NA;arno_north;208;90;693;1186;277;147;130;218;191;218;190;18389;5049;90;1189;13025;350;8636;401;arno;arno_HT;NA
6;F223;Fautany;adult;F;arnholdi;7;arno;19,3;#NV;34,5;20;20,3;#NV;9,4;40,3;23,2;9,9;79;142;#NV;30;HT;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-12.691587;49.187683;NA;NA;Aug-Oct;repro;NA;NA;NA;arno_north;207;89;692;1215;275;146;129;217;190;218;189;18558;5054;94;1181;13082;369;8702;423;arno;arno_HT;NA
7;M246;Fautany;adult;M;arnholdi;7;arno;19,5;#NV;34,4;19,2;20;6,3;9;40;21;8;84;134;#NV;30;HT;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-12.691668999999999;49.187035000000002;NA;NA;Aug-Oct;repro;NA;NA;NA;arno_north;207;89;692;1215;275;146;129;217;190;218;189;18558;5054;94;1181;13082;369;8702;423;arno;arno_HT;NA
8;F254;Fautany;adult;F;arnholdi;7;arno;19,8;#NV;34,2;19,5;21,7;5,9;8,9;40;22;8,8;80;134;#NV;29;HT;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-12.687818999999999;49.177149999999997;NA;NA;Aug-Oct;repro;NA;NA;NA;arno_north;205;90;694;1222;273;144;129;216;188;216;187;18465;5045;93;1184;13039;362;12707;415;arno;arno_HT;NA
9;F221;Fautany;adult;F;arnholdi;7;arno;19,9;#NV;34,7;20,1;19,6;6,1;8,9;40,3;22,7;8,6;89;139;#NV;27;HT;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-12.69159;49.175873000000003;NA;NA;Aug-Oct;repro;NA;NA;NA;arno_north;205;90;694;1222;273;144;129;216;188;216;187;18465;5045;93;1184;13039;362;12707;415;arno;arno_HT;NA
10;F234;Fautany;adult;F;arnholdi;7;arno;19,9;#NV;35,4;19,4;21;6,8;9,3;38,7;23,5;8,3;84;138;#NV;28;HT;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;-12.690867000000001;49.188105999999998;NA;NA;Aug-Oct;repro;NA;NA;NA;arno_north;207;89;692;1215;275;146;129;217;190;218;189;18558;5054;94;1181;13082;369;8702;423;arno;arno_HT;NA
