"ID","Latitude","Longitude","Elevation","MAT","MWMT","MCMT","TD","MAP","MSP","AHM","SHM","bFFP","eFFP","FFP","CMD","CMI","DD_0","DD5","DD_18","DD18","DD1040","EMT","EXT","Eref","rsds","NFFD","PAS","RH","Tmax01","Tmax02","Tmax03","Tmax04","Tmax05","Tmax06","Tmax07","Tmax08","Tmax09","Tmax10","Tmax11","Tmax12","Tmin01","Tmin02","Tmin03","Tmin04","Tmin05","Tmin06","Tmin07","Tmin08","Tmin09","Tmin10","Tmin11","Tmin12","Tave01","Tave02","Tave03","Tave04","Tave05","Tave06","Tave07","Tave08","Tave09","Tave10","Tave11","Tave12","PPT01","PPT02","PPT03","PPT04","PPT05","PPT06","PPT07","PPT08","PPT09","PPT10","PPT11","PPT12","rsds01","rsds02","rsds03","rsds04","rsds05","rsds06","rsds07","rsds08","rsds09","rsds10","rsds11","rsds12","DD_0_01","DD_0_02","DD_0_03","DD_0_04","DD_0_05","DD_0_06","DD_0_07","DD_0_08","DD_0_09","DD_0_10","DD_0_11","DD_0_12","DD5_01","DD5_02","DD5_03","DD5_04","DD5_05","DD5_06","DD5_07","DD5_08","DD5_09","DD5_10","DD5_11","DD5_12","DD_18_01","DD_18_02","DD_18_03","DD_18_04","DD_18_05","DD_18_06","DD_18_07","DD_18_08","DD_18_09","DD_18_10","DD_18_11","DD_18_12","DD18_01","DD18_02","DD18_03","DD18_04","DD18_05","DD18_06","DD18_07","DD18_08","DD18_09","DD18_10","DD18_11","DD18_12","NFFD01","NFFD02","NFFD03","NFFD04","NFFD05","NFFD06","NFFD07","NFFD08","NFFD09","NFFD10","NFFD11","NFFD12","PAS01","PAS02","PAS03","PAS04","PAS05","PAS06","PAS07","PAS08","PAS09","PAS10","PAS11","PAS12","Eref01","Eref02","Eref03","Eref04","Eref05","Eref06","Eref07","Eref08","Eref09","Eref10","Eref11","Eref12","CMD01","CMD02","CMD03","CMD04","CMD05","CMD06","CMD07","CMD08","CMD09","CMD10","CMD11","CMD12","RH01","RH02","RH03","RH04","RH05","RH06","RH07","RH08","RH09","RH10","RH11","RH12","CMI01","CMI02","CMI03","CMI04","CMI05","CMI06","CMI07","CMI08","CMI09","CMI10","CMI11","CMI12","EVI_1","EVI_2","EVI_3","EVI_4","EVI_5","EVI_6","EVI_median","EVI_min","EVI_max","TRI","TPI","roughness","HLI","TWI","annualPET","climaticMoistureIndex","aridityIndexThornthwaite","continentality","embergerQ","growingDegDays0","growingDegDays5","maxTempColdest","minTempWarmest","monthCountByTemp10","PETColdestQuarter","PETDriestQuarter","PETseasonality","PETWarmestQuarter","PETWettestQuarter","thermicityIndex","Footprint","trees","grassland","shrubs","cropland","built","bare","snow","water","wetland","mangroves","moss","Bulk_density","Coarse_fragments_volume","Clay_fraction","Nitrogen_content","Organic_carb_density","pH_H2O","Sand_fraction","Silt_fraction","Soil_organic_carb","Forestheight","srad_median","srad_min","srad_max","wind_median","wind_min","wind_max","vapr_median","vapr_min","vapr_max","Nighttime_light","Burned_area_01","Burned_area_02","Burned_area_03","Burned_area_04","Burned_area_05","Burned_area_06","Burned_area_07","Burned_area_08","Burned_area_09","Burned_area_10","Burned_area_11","Burned_area_12","snow_water_equivalent_01","snow_water_equivalent_02","snow_water_equivalent_03","snow_water_equivalent_04","snow_water_equivalent_05","snow_water_equivalent_06","snow_water_equivalent_07","snow_water_equivalent_08","snow_water_equivalent_09","snow_water_equivalent_10","snow_water_equivalent_11","snow_water_equivalent_12","Daylength_01","Daylength_02","Daylength_03","Daylength_04","Daylength_05","Daylength_06","Daylength_07","Daylength_08","Daylength_09","Daylength_10","Daylength_11","Daylength_12","soil_moisture_01","soil_moisture_02","soil_moisture_03","soil_moisture_04","soil_moisture_05","soil_moisture_06"
8301,50.921,-114.527,1383.03466796875,3.5,14.9,-7.3,22.2,556,363,24.3,41,159,250,91,162,2.38,914,1141,5298,26,443,-39.9,35,602,14.3,142,125,53,-0.1,-0.7,3.7,9.5,15.5,19,23,22.9,17.9,10.6,3.7,-0.7,-12.2,-14,-9.1,-3.7,1.2,4.7,6.9,6.2,2.4,-2.7,-8.3,-12.4,-6.1,-7.3,-2.7,2.9,8.3,11.8,14.9,14.5,10.1,3.9,-2.3,-6.6,15,21,34,45,84,111,60,58,50,32,27,19,5.1,8.6,13.8,19.4,22.9,23.6,23.1,20.6,15.2,9.4,5.6,4.1,208,218,120,22,1,0,0,0,1,15,110,220,0,0,0,23,114,205,304,294,160,41,0,0,748,704,644,453,301,187,104,113,238,439,609,759,0,0,1,0,0,3,8,8,3,0,2,1,1,0,1,5,18,27,30,30,21,7,1,0,12,20,30,17,5,1,0,1,2,4,15,16,0,0,0,57,94,112,130,111,66,32,0,0,0,0,0,12,10,1,70,53,16,0,0,0,52,47,52,55,55,56,52,51,52,55,55,53,1.5,2.1,2.9,1.99,2.08,2.36,-5.5,-5.79,-3.44,0.14,2.13,1.9,0.20160000026226,0.347600013017654,0.580399990081787,0.479200005531311,0.211799994111061,0.223199993371964,0.285400003194809,0.20160000026226,0.580399990081787,15.4967651367188,8.91290283203125,48.8446044921875,0.842253684997559,8.25543308258057,715.739990234375,41.2299995422363,-0.270000010728836,25.6000003814697,48.5699996948242,12705,8190,-56,63,3,8.47000026702881,18.9799995422363,4981.81982421875,127.110000610352,121.610000610352,-130,11,0.837400019168854,0.123499996960163,0,0,0.0171000007539988,0.0178999993950129,0,0,0,0,0.00410000002011657,1.10000002384186,12,25,2.70000004768372,4,6.40000009536743,31,41,49.0999984741211,16.7680568695068,12867.5,3835,21149.5,3.625,3.04999995231628,3.79999995231628,0.464999988675117,0.229999989271164,0.975000023841858,8.66262054443359,0,0,0,0,0,0,0,0,0,0,0,0,2.17322587966919,7.24285745620728,26.1235485076904,12.9549999237061,0,0,0,0,0,5.32709693908691,3.98699998855591,0.674838721752167,29760.07421875,35140.7734375,42014.16015625,49159.2265625,55297.05078125,58409.7734375,56705.6875,51144.9609375,44149.74609375,37018.2578125,30931.3828125,27977.8046875,NA,NA,NA,NA,NA,NA
8302,50.921,-114.527,1383.03466796875,3.5,14.9,-7.3,22.2,556,363,24.3,41,159,250,91,162,2.38,914,1141,5298,26,443,-39.9,35,602,14.3,142,125,53,-0.1,-0.7,3.7,9.5,15.5,19,23,22.9,17.9,10.6,3.7,-0.7,-12.2,-14,-9.1,-3.7,1.2,4.7,6.9,6.2,2.4,-2.7,-8.3,-12.4,-6.1,-7.3,-2.7,2.9,8.3,11.8,14.9,14.5,10.1,3.9,-2.3,-6.6,15,21,34,45,84,111,60,58,50,32,27,19,5.1,8.6,13.8,19.4,22.9,23.6,23.1,20.6,15.2,9.4,5.6,4.1,208,218,120,22,1,0,0,0,1,15,110,220,0,0,0,23,114,205,304,294,160,41,0,0,748,704,644,453,301,187,104,113,238,439,609,759,0,0,1,0,0,3,8,8,3,0,2,1,1,0,1,5,18,27,30,30,21,7,1,0,12,20,30,17,5,1,0,1,2,4,15,16,0,0,0,57,94,112,130,111,66,32,0,0,0,0,0,12,10,1,70,53,16,0,0,0,52,47,52,55,55,56,52,51,52,55,55,53,1.5,2.1,2.9,1.99,2.08,2.36,-5.5,-5.79,-3.44,0.14,2.13,1.9,0.20160000026226,0.347600013017654,0.580399990081787,0.479200005531311,0.211799994111061,0.223199993371964,0.285400003194809,0.20160000026226,0.580399990081787,15.4967651367188,8.91290283203125,48.8446044921875,0.842253684997559,8.25543308258057,715.739990234375,41.2299995422363,-0.270000010728836,25.6000003814697,48.5699996948242,12705,8190,-56,63,3,8.47000026702881,18.9799995422363,4981.81982421875,127.110000610352,121.610000610352,-130,11,0.837400019168854,0.123499996960163,0,0,0.0171000007539988,0.0178999993950129,0,0,0,0,0.00410000002011657,1.10000002384186,12,25,2.70000004768372,4,6.40000009536743,31,41,49.0999984741211,16.7680568695068,12867.5,3835,21149.5,3.625,3.04999995231628,3.79999995231628,0.464999988675117,0.229999989271164,0.975000023841858,8.66262054443359,0,0,0,0,0,0,0,0,0,0,0,0,2.17322587966919,7.24285745620728,26.1235485076904,12.9549999237061,0,0,0,0,0,5.32709693908691,3.98699998855591,0.674838721752167,29760.07421875,35140.7734375,42014.16015625,49159.2265625,55297.05078125,58409.7734375,56705.6875,51144.9609375,44149.74609375,37018.2578125,30931.3828125,27977.8046875,NA,NA,NA,NA,NA,NA
8303,50.921,-114.527,1383.03466796875,3.5,14.9,-7.3,22.2,556,363,24.3,41,159,250,91,162,2.38,914,1141,5298,26,443,-39.9,35,602,14.3,142,125,53,-0.1,-0.7,3.7,9.5,15.5,19,23,22.9,17.9,10.6,3.7,-0.7,-12.2,-14,-9.1,-3.7,1.2,4.7,6.9,6.2,2.4,-2.7,-8.3,-12.4,-6.1,-7.3,-2.7,2.9,8.3,11.8,14.9,14.5,10.1,3.9,-2.3,-6.6,15,21,34,45,84,111,60,58,50,32,27,19,5.1,8.6,13.8,19.4,22.9,23.6,23.1,20.6,15.2,9.4,5.6,4.1,208,218,120,22,1,0,0,0,1,15,110,220,0,0,0,23,114,205,304,294,160,41,0,0,748,704,644,453,301,187,104,113,238,439,609,759,0,0,1,0,0,3,8,8,3,0,2,1,1,0,1,5,18,27,30,30,21,7,1,0,12,20,30,17,5,1,0,1,2,4,15,16,0,0,0,57,94,112,130,111,66,32,0,0,0,0,0,12,10,1,70,53,16,0,0,0,52,47,52,55,55,56,52,51,52,55,55,53,1.5,2.1,2.9,1.99,2.08,2.36,-5.5,-5.79,-3.44,0.14,2.13,1.9,0.20160000026226,0.347600013017654,0.580399990081787,0.479200005531311,0.211799994111061,0.223199993371964,0.285400003194809,0.20160000026226,0.580399990081787,15.4967651367188,8.91290283203125,48.8446044921875,0.842253684997559,8.25543308258057,715.739990234375,41.2299995422363,-0.270000010728836,25.6000003814697,48.5699996948242,12705,8190,-56,63,3,8.47000026702881,18.9799995422363,4981.81982421875,127.110000610352,121.610000610352,-130,11,0.837400019168854,0.123499996960163,0,0,0.0171000007539988,0.0178999993950129,0,0,0,0,0.00410000002011657,1.10000002384186,12,25,2.70000004768372,4,6.40000009536743,31,41,49.0999984741211,16.7680568695068,12867.5,3835,21149.5,3.625,3.04999995231628,3.79999995231628,0.464999988675117,0.229999989271164,0.975000023841858,8.66262054443359,0,0,0,0,0,0,0,0,0,0,0,0,2.17322587966919,7.24285745620728,26.1235485076904,12.9549999237061,0,0,0,0,0,5.32709693908691,3.98699998855591,0.674838721752167,29760.07421875,35140.7734375,42014.16015625,49159.2265625,55297.05078125,58409.7734375,56705.6875,51144.9609375,44149.74609375,37018.2578125,30931.3828125,27977.8046875,NA,NA,NA,NA,NA,NA
8304,52.939,-114.288,957.046691894531,3.2,15.9,-9.2,25.1,548,383,24.1,41.5,145,256,111,122,7.48,1126,1303,5406,39,559,-41.4,33.9,558,13.1,155,117,57,-2.1,-2.9,1.7,9.6,17.1,19.7,22.3,21.8,17,9.2,1.3,-2.8,-13.4,-15.5,-10,-2.7,3,7.3,9.5,8.3,3.7,-2.5,-9.7,-13.6,-7.8,-9.2,-4.2,3.4,10.1,13.5,15.9,15.1,10.3,3.3,-4.2,-8.2,21,20,25,28,64,95,114,63,47,25,29,17,4.2,7.6,12.8,18.4,22.2,22.4,21.7,18.8,13.5,7.9,4.5,3.1,251,259,159,19,0,0,0,0,1,19,156,263,0,0,0,30,165,255,339,314,165,35,0,0,800,758,690,438,239,139,78,100,232,457,666,809,0,0,1,0,1,7,13,11,3,0,2,0,0,0,1,7,24,29,31,31,24,8,1,0,18,20,24,9,2,0,0,1,2,5,22,16,0,0,0,54,97,108,117,98,58,26,0,0,0,0,0,26,33,13,3,35,11,1,0,0,54,49,54,58,56,62,61,59,58,60,56,55,2.1,2,2.35,0.28,-1.03,1.27,1.73,-3.3,-2.52,0.12,2.77,1.7,0.25,0.292800009250641,0.536800026893616,0.510399997234344,0.275200009346008,0.211199998855591,0.284000009298325,0.211199998855591,0.536800026893616,2.18682098388672,1.05382537841797,5.9517822265625,0.820089042186737,11.5517387390137,744.75,39.8899993896484,-0.310000002384186,28.2999992370605,42.2000007629395,14038.5,8940,-49,74,3,5.80000019073486,17.2199993133545,5392.91015625,132.649993896484,132.649993896484,-124.5,3,0.947700023651123,0.0454000011086464,0.00689999992027879,0,0,0,0,0,0,0,0,1.10000002384186,12,20,2.70000004768372,4.5,5.80000019073486,30,48,48.0999984741211,14.546537399292,12481,3321,21141.5,3.27499997615814,2.95000004768372,3.54999995231628,0.512499988079071,0.215000003576279,1.125,6.60988903045654,0,0,0,0,0,0,0,0,0,0,0,0,0.700967729091644,14.0153570175171,25.9180660247803,14.2083330154419,0,0,0,0,0,2.96612906455994,2.1966667175293,0.605483889579773,28651.552734375,34514.88671875,41924.84765625,49615.44140625,56277.109375,59698.36328125,57820.671875,51761.86328125,44221.2265625,36544.1875,29935.5,26687.900390625,NA,NA,NA,NA,NA,NA
8305,52.939,-114.288,957.046691894531,3.2,15.9,-9.2,25.1,548,383,24.1,41.5,145,256,111,122,7.48,1126,1303,5406,39,559,-41.4,33.9,558,13.1,155,117,57,-2.1,-2.9,1.7,9.6,17.1,19.7,22.3,21.8,17,9.2,1.3,-2.8,-13.4,-15.5,-10,-2.7,3,7.3,9.5,8.3,3.7,-2.5,-9.7,-13.6,-7.8,-9.2,-4.2,3.4,10.1,13.5,15.9,15.1,10.3,3.3,-4.2,-8.2,21,20,25,28,64,95,114,63,47,25,29,17,4.2,7.6,12.8,18.4,22.2,22.4,21.7,18.8,13.5,7.9,4.5,3.1,251,259,159,19,0,0,0,0,1,19,156,263,0,0,0,30,165,255,339,314,165,35,0,0,800,758,690,438,239,139,78,100,232,457,666,809,0,0,1,0,1,7,13,11,3,0,2,0,0,0,1,7,24,29,31,31,24,8,1,0,18,20,24,9,2,0,0,1,2,5,22,16,0,0,0,54,97,108,117,98,58,26,0,0,0,0,0,26,33,13,3,35,11,1,0,0,54,49,54,58,56,62,61,59,58,60,56,55,2.1,2,2.35,0.28,-1.03,1.27,1.73,-3.3,-2.52,0.12,2.77,1.7,0.25,0.292800009250641,0.536800026893616,0.510399997234344,0.275200009346008,0.211199998855591,0.284000009298325,0.211199998855591,0.536800026893616,2.18682098388672,1.05382537841797,5.9517822265625,0.820089042186737,11.5517387390137,744.75,39.8899993896484,-0.310000002384186,28.2999992370605,42.2000007629395,14038.5,8940,-49,74,3,5.80000019073486,17.2199993133545,5392.91015625,132.649993896484,132.649993896484,-124.5,3,0.947700023651123,0.0454000011086464,0.00689999992027879,0,0,0,0,0,0,0,0,1.10000002384186,12,20,2.70000004768372,4.5,5.80000019073486,30,48,48.0999984741211,14.546537399292,12481,3321,21141.5,3.27499997615814,2.95000004768372,3.54999995231628,0.512499988079071,0.215000003576279,1.125,6.60988903045654,0,0,0,0,0,0,0,0,0,0,0,0,0.700967729091644,14.0153570175171,25.9180660247803,14.2083330154419,0,0,0,0,0,2.96612906455994,2.1966667175293,0.605483889579773,28651.552734375,34514.88671875,41924.84765625,49615.44140625,56277.109375,59698.36328125,57820.671875,51761.86328125,44221.2265625,36544.1875,29935.5,26687.900390625,NA,NA,NA,NA,NA,NA
8306,53.533,-113.536,623.926940917969,3.2,17.4,-11.1,28.5,468,319,28.2,54.5,134,259,125,211,-2.77,1335,1523,5448,71,733,-42.5,35.3,579,12.7,163,105,59,-5.1,-5.6,-0.1,9.8,18.8,21.4,23.7,23.1,18.2,9.9,-0.8,-5.3,-15.4,-16.7,-10.8,-2.1,4.4,8.8,11,9.5,4.5,-1.6,-9.7,-14.6,-10.2,-11.1,-5.4,3.9,11.6,15.1,17.4,16.3,11.3,4.2,-5.2,-9.9,21,19,20,29,47,85,102,51,34,20,24,16,3.8,7.1,12.2,18.1,21.8,22.3,21.5,18.6,13.4,7.4,3.9,2.7,319,313,191,16,0,0,0,0,0,13,180,303,0,0,0,38,208,302,385,351,194,45,0,0,874,811,727,423,205,102,46,73,201,429,696,861,0,0,0,0,5,14,28,19,5,0,0,0,0,0,0,8,27,30,31,31,25,10,1,0,20,19,20,7,0,0,0,0,1,2,19,15,0,0,0,54,103,114,121,101,60,26,0,0,0,0,0,25,56,29,19,50,26,6,0,0,56,53,57,59,56,62,62,59,57,61,63,60,2.1,1.9,2,0.36,-3.28,-0.31,0.14,-4.89,-4.16,-0.61,2.4,1.6,0.235200002789497,0.356000006198883,0.386799991130829,0.350800007581711,0.176899999380112,0.13740000128746,0.293000005185604,0.13740000128746,0.386799991130829,10.3666458129883,-6.13788604736328,37.1921997070312,0.825361669063568,9.37567901611328,698.710021972656,43.1199989318848,-0.340000003576279,30.7999992370605,40,16380,13293,-90,107,5,4.82000017166138,32.2999992370605,5195.009765625,125.919998168945,125.919998168945,-64,45,0.552299976348877,0.183100000023842,0,0,0.256900012493134,0.00769999995827675,0,0,0,0,0,1.20000004768372,11,18,4.59999990463257,4.19999980926514,6.59999990463257,42,32,62.0999984741211,17.8758563995361,12421.5,3245,21206,3.19999992847443,2.95000004768372,3.44999980926514,0.577500015497208,0.229999989271164,1.26999998092651,59.4034271240234,0,0,0,0,0,0,0,0,0,0,0,0,0.387096792459488,6.92071437835693,11.9219360351562,2.22166657447815,0,0,0,0,0,0.506451606750488,0,0.0458064526319504,28275.791015625,34304.90234375,41895.0234375,49768.15625,56608.26171875,60137.3671875,58198.6875,51968.828125,44245.09375,36385.44921875,29598.892578125,26248.431640625,NA,NA,NA,NA,NA,NA
8307,53.533,-113.536,623.926940917969,3.2,17.4,-11.1,28.5,468,319,28.2,54.5,134,259,125,211,-2.77,1335,1523,5448,71,733,-42.5,35.3,579,12.7,163,105,59,-5.1,-5.6,-0.1,9.8,18.8,21.4,23.7,23.1,18.2,9.9,-0.8,-5.3,-15.4,-16.7,-10.8,-2.1,4.4,8.8,11,9.5,4.5,-1.6,-9.7,-14.6,-10.2,-11.1,-5.4,3.9,11.6,15.1,17.4,16.3,11.3,4.2,-5.2,-9.9,21,19,20,29,47,85,102,51,34,20,24,16,3.8,7.1,12.2,18.1,21.8,22.3,21.5,18.6,13.4,7.4,3.9,2.7,319,313,191,16,0,0,0,0,0,13,180,303,0,0,0,38,208,302,385,351,194,45,0,0,874,811,727,423,205,102,46,73,201,429,696,861,0,0,0,0,5,14,28,19,5,0,0,0,0,0,0,8,27,30,31,31,25,10,1,0,20,19,20,7,0,0,0,0,1,2,19,15,0,0,0,54,103,114,121,101,60,26,0,0,0,0,0,25,56,29,19,50,26,6,0,0,56,53,57,59,56,62,62,59,57,61,63,60,2.1,1.9,2,0.36,-3.28,-0.31,0.14,-4.89,-4.16,-0.61,2.4,1.6,0.235200002789497,0.356000006198883,0.386799991130829,0.350800007581711,0.176899999380112,0.13740000128746,0.293000005185604,0.13740000128746,0.386799991130829,10.3666458129883,-6.13788604736328,37.1921997070312,0.825361669063568,9.37567901611328,698.710021972656,43.1199989318848,-0.340000003576279,30.7999992370605,40,16380,13293,-90,107,5,4.82000017166138,32.2999992370605,5195.009765625,125.919998168945,125.919998168945,-64,45,0.552299976348877,0.183100000023842,0,0,0.256900012493134,0.00769999995827675,0,0,0,0,0,1.20000004768372,11,18,4.59999990463257,4.19999980926514,6.59999990463257,42,32,62.0999984741211,17.8758563995361,12421.5,3245,21206,3.19999992847443,2.95000004768372,3.44999980926514,0.577500015497208,0.229999989271164,1.26999998092651,59.4034271240234,0,0,0,0,0,0,0,0,0,0,0,0,0.387096792459488,6.92071437835693,11.9219360351562,2.22166657447815,0,0,0,0,0,0.506451606750488,0,0.0458064526319504,28275.791015625,34304.90234375,41895.0234375,49768.15625,56608.26171875,60137.3671875,58198.6875,51968.828125,44245.09375,36385.44921875,29598.892578125,26248.431640625,NA,NA,NA,NA,NA,NA
8308,52.401,-116.081,1210.99536132812,2.7,14.3,-7.9,22.2,498,343,25.5,41.7,160,250,90,145,4.59,1050,1057,5559,23,387,-41.2,33,549,13.7,141,110,55,-1.3,-1,3,8.3,15.2,18.1,21.5,21,15.9,9.7,1.5,-2.7,-13,-14.8,-9.3,-4,1,4.8,7.2,6.8,2.5,-2.8,-9.1,-13.2,-7.2,-7.9,-3.2,2.2,8.1,11.5,14.3,13.9,9.2,3.4,-3.8,-7.9,16,15,25,33,58,100,82,54,49,31,20,15,4.5,8.1,13.2,18.7,23.2,22.9,22.8,19.8,14.3,9,4.9,3.5,236,232,132,28,1,0,0,0,1,18,146,255,0,0,0,17,109,196,288,277,134,36,0,0,781,721,659,474,307,196,119,129,265,454,654,799,0,1,2,0,0,3,6,6,2,0,2,1,0,0,1,4,17,27,31,30,21,7,1,0,13,14,23,16,4,1,1,1,3,5,14,14,0,0,0,51,91,105,119,98,57,28,0,0,0,0,0,18,33,5,37,44,8,0,0,0,53,45,53,57,55,59,57,57,58,57,58,56,1.6,1.5,2.13,1.29,-0.16,2.08,-1.71,-4.21,-1.7,0.48,1.79,1.5,0.391000002622604,0.297199994325638,0.467999994754791,0.485599994659424,0.485599994659424,0.59960001707077,0.476799994707108,0.297199994325638,0.59960001707077,23.1327972412109,-6.15910339355469,72.7144775390625,0.779303729534149,12.9687194824219,724.700012207031,33.0099983215332,-0.230000004172325,26.4500007629395,50.4099998474121,12148.5,7897.5,-74,51,3,7.65000009536743,15.5600004196167,5172.89013671875,129.669998168945,129.669998168945,-144.25,10,0.944199979305267,0.0478999987244606,0,0,0.00350000010803342,0.00300000002607703,0,0,0,0,0.00139999995008111,1.10000002384186,20,18,2.70000004768372,3.70000004768372,6.30000019073486,34,45,39.9000015258789,22.4734210968018,12486.5,3440,20672,2.42500007152557,2.25,2.59999990463257,0.439999997615814,0.204999998211861,0.894999980926514,0,0,0,0,0,0,0,58268.83203125,0,0,0,0,0,2.81387090682983,17.5996417999268,30.7306461334229,27.3523330688477,0.133870959281921,0,0,0,0,3.38032269477844,3.42199993133545,0.0790322571992874,28948.73046875,34681.75390625,41948.59765625,49493.953125,56014.8203125,59351.9921875,57521.734375,51597.39453125,44202.21875,36670.4453125,30202.07421875,27034.634765625,NA,NA,NA,NA,NA,NA
8309,53.529,-113.52,635.697021484375,3.1,17.3,-11.2,28.5,468,319,28,54.2,134,259,125,210,-2.61,1341,1519,5459,69,730,-42.7,35.3,578,12.7,163,105,59,-5,-5.5,-0.1,9.8,18.7,21.3,23.7,23.1,18.1,9.8,-0.7,-5.3,-15.4,-16.8,-10.8,-2.1,4.4,8.8,10.9,9.5,4.5,-1.6,-9.8,-14.7,-10.2,-11.2,-5.4,3.9,11.6,15.1,17.3,16.3,11.3,4.1,-5.2,-10,21,19,20,29,47,85,102,51,34,20,24,16,3.8,7.2,12.2,18.1,21.8,22.3,21.5,18.5,13.4,7.4,3.9,2.7,319,316,191,16,0,0,0,0,0,14,180,305,0,0,0,38,208,302,382,351,194,44,0,0,874,814,727,423,205,102,48,73,201,432,696,864,0,0,0,0,5,14,27,19,5,0,0,0,0,0,0,8,27,30,31,31,25,10,1,0,20,19,20,7,0,0,0,0,1,2,19,15,0,0,0,54,103,113,121,101,60,26,0,0,0,0,0,25,56,28,19,50,26,6,0,0,56,52,57,59,56,62,62,59,58,61,62,60,2.1,1.9,2,0.35,-3.22,-0.24,0.09,-4.91,-4.11,-0.58,2.4,1.6,0.176100000739098,0.352200001478195,0.352200001478195,0.18690000474453,0.0785000026226044,0.0766000002622604,0.181500002741814,0.0766000002622604,0.352200001478195,24.0977096557617,-9.00392913818359,65.9577026367188,0.85061639547348,8.09643268585205,709.840026855469,45.1599998474121,-0.360000014305115,31,38.9900016784668,16810.5,13617,-89,110,5,4.92999982833862,32.8899993896484,5269.02001953125,127.73999786377,127.73999786377,-53,48,0.409500002861023,0.0604999996721745,0,0,0.310900002717972,0.00150000001303852,0,0.217600002884865,0,0,0,1.20000004768372,12,16,5,4.30000019073486,6.59999990463257,42,31,66.6999969482422,20.1339111328125,12406.25,3245.5,21228,3.17500007152557,2.95000004768372,3.44999980926514,0.577500015497208,0.229999989271164,1.27499997615814,59.4034271240234,0,0,0,0,0,0,0,0,0,0,0,0,0.383870959281921,6.90678548812866,12.0119352340698,2.34133338928223,0,0,0,0,0,0.520645201206207,0,0.0474193543195724,28275.791015625,34304.90234375,41895.0234375,49768.15625,56608.26171875,60137.3671875,58198.6875,51968.828125,44245.09375,36385.44921875,29598.892578125,26248.431640625,NA,NA,NA,NA,NA,NA
8310,52.483,-115.738,1430.43103027344,2.8,14.7,-7.8,22.5,628,431,20.4,34.1,153,253,100,61,17.72,1075,1095,5542,26,412,-41,33.6,533,13.5,149,149,58,-2,-0.7,2.7,6.7,14.4,17.3,21.5,21.4,15.7,11.4,0.1,-2.7,-13.6,-13.8,-9.4,-4,1.5,5.3,7.9,7.4,3.1,-1.2,-9.6,-12.9,-7.8,-7.2,-3.4,1.4,8,11.3,14.7,14.4,9.4,5.1,-4.8,-7.8,22,21,34,41,80,123,101,66,61,33,27,19,4.4,7.9,13.1,17.9,22.7,22.5,22.4,19.6,13.8,9.1,4.7,3.5,251,215,138,37,1,0,0,0,1,9,170,253,0,0,0,12,106,190,298,291,140,57,0,0,800,702,665,498,310,202,109,116,259,401,684,796,0,1,2,0,0,2,7,8,2,0,2,1,0,0,1,4,19,28,31,30,23,11,1,0,19,20,31,25,6,2,1,1,4,2,21,17,0,0,0,46,87,99,117,99,55,30,0,0,0,0,0,5,7,0,16,33,0,0,0,0,53,48,54,62,59,62,59,58,60,58,60,58,2.2,2.1,3.07,2.53,2.45,4.86,0.14,-3.41,-0.52,-0.27,2.66,1.9,0.288800001144409,0.268400013446808,0.498800009489059,0.400400012731552,0.798799991607666,0.236399993300438,0.344600006937981,0.236399993300438,0.798799991607666,6.81573486328125,3.52505493164062,20.743408203125,0.836993038654327,9.49697589874268,678.469970703125,26.0100002288818,-0.140000000596046,26.6499996185303,51.7700004577637,10458,6997.5,-80,42,2,6.40999984741211,16.1000003814697,4897.2900390625,122.470001220703,122.470001220703,-183.25,3,0.92849999666214,0.0640999972820282,0,0,0.00039999998989515,9.99999974737875e-05,0,0,0,0,0.00689999992027879,1,17,18,1.60000002384186,3.09999990463257,5.59999990463257,29,51,29.7000007629395,22.1200504302979,12434.75,3397.5,20572,2.79999995231628,2.45000004768372,2.95000004768372,0.402499988675117,0.185000002384186,0.850000023841858,0,0,9719.3330078125,0,0,0,0,0,0,19467,0,19427.833984375,485814.34375,7.61290311813354,37.521427154541,68.6738739013672,71.3573303222656,12.173225402832,0,0,0,0,4.2470965385437,9.42933368682861,5.52193546295166,28883.458984375,34645.04296875,41943.3671875,49520.69140625,56072.45703125,59428.0078125,57587.390625,51633.57421875,44206.40234375,36642.66015625,30143.498046875,26958.5390625,NA,NA,NA,NA,NA,NA
