ID;Species;Latitude;Longitude;Morphotype
8301;Polygonia faunus;50.921;-114.527;Contrasted
8302;Polygonia faunus;50.921;-114.527;Contrasted
8303;Polygonia faunus;50.921;-114.527;Contrasted
8304;Polygonia faunus;52.939;-114.288;Contrasted
8305;Polygonia faunus;52.939;-114.288;NA
8306;Polygonia faunus;53.533;-113.536;Smeared
8307;Polygonia faunus;53.533;-113.536;Contrasted
8308;Polygonia faunus;52.401;-116.081;Smeared
8309;Polygonia faunus;53.529;-113.520;Contrasted
8310;Polygonia faunus;52.483;-115.738;Contrasted
8311;Polygonia faunus;52.483;-115.738;Contrasted
8312;Polygonia faunus;52.483;-115.738;Smeared
8313;Polygonia faunus;52.483;-115.738;Smeared
8314;Polygonia faunus;52.483;-115.738;Smeared
8315;Polygonia faunus;52.269;-115.915;NA
8316;Polygonia faunus;53.529;-113.520;Contrasted
8317;Polygonia faunus;53.071;-114.079;Smeared
8318;Polygonia faunus;53.071;-114.080;Smeared
8319;Polygonia progne;53.052;-114.740;NA
8320;Polygonia faunus;52.939;-114.288;Smeared
8321;Polygonia faunus;52.939;-114.288;Contrasted
8322;Polygonia faunus;52.939;-114.288;Smeared
8323;Polygonia faunus;52.939;-114.288;Contrasted
8324;Polygonia faunus;52.939;-114.288;Contrasted
8325;Polygonia faunus;52.494;-114.323;Smeared
8326;Polygonia faunus;53.052;-114.740;Smeared
8327;Polygonia faunus;53.071;-114.081;Contrasted
8328;Polygonia faunus;54.031;-115.721;Smeared
8329;Polygonia faunus;54.031;-115.721;Contrasted
8330;Polygonia faunus;54.031;-115.721;NA
8331;Polygonia faunus;54.031;-115.721;Contrasted
8332;Polygonia faunus;53.071;-114.082;Contrasted
8333;Polygonia faunus;53.506;-113.613;Contrasted
8334;Polygonia faunus;53.506;-113.613;Contrasted
8335;Polygonia faunus;53.506;-113.613;Smeared
8336;Polygonia faunus;53.506;-113.613;Contrasted
8337;Polygonia faunus;52.269;-115.915;Contrasted
8338;Polygonia faunus;52.269;-115.915;Smeared
8339;Polygonia faunus;52.269;-115.915;Smeared
8340;Polygonia faunus;52.269;-115.915;Contrasted
8341;Polygonia progne;50.921;-114.527;NA
8342;Polygonia progne;50.921;-114.527;NA
8343;Polygonia progne;50.921;-114.527;NA
8344;Polygonia progne;50.921;-114.527;NA
8345;Polygonia progne;50.921;-114.527;NA
8346;Polygonia progne;50.921;-114.527;NA
8347;Polygonia progne;50.921;-114.527;NA
8348;Polygonia progne;50.921;-114.527;NA
8349;Polygonia progne;50.921;-114.527;NA
