Name	Species	Ch1	Ch2	Ch3	Ch4	Ch5	Ch6	Ch7	Ch8	Ch9	Ch10
8301	faunus.c	2	2	2	2	1	1	2	4	2	1
8302	faunus.c	2	2	2	2	1	2	2	4	2	1
8303	faunus.c	2	2	2	3	2	1	2	4	2	1
8304	faunus.c	2	2	2	3	1	1	2	3	2	1
8307	faunus.c	2	2	2	3	1	1	2	3	2	1
8309	faunus.c	1	2	2	3	1	1	2	3	2	1
8310	faunus.c	3	2	2	3	2	1	2	4	2	1
8311	faunus.c	2	2	2	2	2	1	2	3	2	2
8316	faunus.c	1	2	2	2	1	1	2	4	2	1
8321	faunus.c	2	2	2	2	1	1	2	4	2	1
8323	faunus.c	1	2	2	3	1	1	2	4	2	1
8324	faunus.c	2	2	2	2	2	1	2	3	2	1
8327	faunus.c	3	2	2	2	2	2	2	4	1	1
8329	faunus.c	2	2	2	3	1	1	2	3	1	1
8331	faunus.c	2	2	2	2	1	1	2	4	1	1
8332	faunus.c	2	2	2	3	3	1	2	3	2	2
8333	faunus.c	1	1	2	3	1	1	2	4	2	1
8334	faunus.c	2	2	2	2	2	1	2	2	2	1
8336	faunus.c	2	2	2	3	2	1	2	3	3	1
8337	faunus.c	1	2	2	3	1	1	2	3	2	1
8340	faunus.c	1	2	2	3	1	1	2	3	2	1
8383	faunus.c	1	2	2	3	1	1	2	1	1	1
8386	faunus.c	1	2	2	2	3	1	2	1	1	1
9251	faunus.c	2	2	2	2	1	1	2	4	2	1
9252	faunus.c	1	2	2	3	2	1	2	4	2	1
9253	faunus.c	1	2	2	2	2	1	2	4	2	1
9254	faunus.c	3	2	2	3	1	1	2	3	2	1
9255	faunus.c	1	2	2	2	1	1	2	4	2	1
9256	faunus.c	2	2	2	2	1	1	2	4	2	1
9257	faunus.c	1	2	2	2	2	1	2	1	2	1
9261	faunus.c	1	2	2	3	1	1	2	4	2	1
9262	faunus.c	1	1	2	3	1	1	2	4	2	1
9264	faunus.c	1	2	2	2	1	1	2	3	2	1
9265	faunus.c	1	2	2	2	3	1	2	3	2	1
9266	faunus.c	2	1	2	3	3	1	2	4	2	1
9267	faunus.c	2	2	2	3	1	1	2	2	2	1
9269	faunus.c	2	2	2	3	2	1	2	4	2	1
9270	faunus.c	1	2	1	2	2	1	2	2	2	1
9273	faunus.c	2	1	2	3	2	1	2	2	2	2
9275	faunus.c	2	2	2	2	1	1	2	4	2	1
9276	faunus.c	2	2	2	3	2	1	2	2	2	1
9277	faunus.c	2	2	2	2	2	1	1	2	2	2
9279	faunus.c	2	2	2	2	1	1	2	4	2	1
9280	faunus.c	2	2	2	3	1	1	2	4	2	1
9281	faunus.c	1	2	2	2	3	1	2	4	2	1
9282	faunus.c	2	2	2	2	2	1	2	1	2	1
9283	faunus.c	1	2	2	3	2	1	2	3	2	1
9284	faunus.c	1	2	2	3	2	1	2	3	2	1
9285	faunus.c	1	2	2	3	1	1	2	4	2	1
9286	faunus.c	3	2	2	2	1	1	2	4	2	1
9287	faunus.c	1	2	2	3	1	1	2	2	2	1
9289	faunus.c	1	2	2	3	2	1	2	3	2	1
9290	faunus.c	1	2	2	3	2	1	2	3	2	1
9293	faunus.c	1	2	2	2	2	1	2	4	2	1
9294	faunus.c	1	2	2	2	1	1	2	1	2	1
9295	faunus.c	1	2	2	3	1	1	2	4	2	1
9350	faunus.c	1	1	2	3	1	1	2	4	2	1
9353	faunus.c	2	2	2	3	1	1	2	4	2	1
9355	faunus.c	1	2	2	2	1	1	2	4	2	1
9359	faunus.c	2	1	2	2	1	1	2	4	2	1
9360	faunus.c	1	2	1	2	2	1	2	4	2	1
9361	faunus.c	3	2	2	2	3	1	2	4	2	1
9363	faunus.c	1	1	2	2	2	1	2	4	2	1
9364	faunus.c	1	2	2	2	2	1	2	4	2	1
9365	faunus.c	2	2	2	2	2	1	2	4	2	1
9366	faunus.c	2	2	2	2	2	1	2	4	2	1
9367	faunus.c	1	2	2	3	1	1	2	1	2	1
8306	faunus.s	3	2	2	3	2	1	2	1	2	2
8308	faunus.s	2	2	2	3	2	1	1	2	2	2
8314	faunus.s	2	2	2	2	3	1	2	2	2	1
8317	faunus.s	3	2	1	3	2	1	2	4	2	2
8320	faunus.s	1	2	2	2	2	1	2	4	2	1
8325	faunus.s	1	1	2	2	3	1	1	2	1	2
8326	faunus.s	1	2	2	2	1	1	2	2	1	2
8335	faunus.s	3	2	2	2	3	1	2	2	2	2
8338	faunus.s	2	2	2	2	2	1	2	4	2	2
8339	faunus.s	3	2	2	2	2	1	2	2	2	2
9250	faunus.s	3	2	2	2	2	1	2	4	2	2
9259	faunus.s	2	2	2	2	2	1	2	2	2	2
9260	faunus.s	3	1	1	3	2	1	1	1	2	2
9263	faunus.s	1	1	1	3	2	1	2	2	2	2
9271	faunus.s	3	2	2	3	3	1	2	4	2	1
9274	faunus.s	1	2	2	2	2	1	2	4	2	1
9278	faunus.s	1	2	2	2	2	1	2	4	2	1
9348	faunus.s	2	2	2	2	2	1	1	4	2	2
9349	faunus.s	1	2	1	2	2	1	1	2	2	2
9354	faunus.s	2	2	2	3	2	1	2	1	2	2
9358	faunus.s	2	2	2	3	2	1	2	2	2	1
9362	faunus.s	1	2	1	3	2	1	2	2	2	2
9368	faunus.s	2	2	2	3	2	1	2	2	2	2
8382	gracilis	3	1	1	2	3	2	1	1	1	1
8392	gracilis	3	1	2	2	2	1	1	1	1	1
9296	gracilis	3	2	1	2	3	1	2	1	1	1
9298	gracilis	3	2	1	2	3	1	1	4	1	1
9305	gracilis	3	1	1	3	3	2	1	1	1	1
9309	gracilis	3	2	1	2	3	1	2	1	1	1
9297	gracilis	3	2	1	2	3	1	2	1	1	1
8388	zephyrus	3	1	1	2	3	2	2	1	1	1
8390	zephyrus	3	2	1	2	3	1	2	1	1	1
9300	zephyrus	1	1	1	2	3	1	2	1	1	1
9301	zephyrus	3	1	1	2	3	1	2	1	1	1
9302	zephyrus	2	1	1	2	3	1	2	1	1	1
9303	zephyrus	3	1	1	2	3	1	1	1	1	1
9304	zephyrus	3	1	1	2	3	1	2	4	1	1
9306	zephyrus	3	1	1	2	1	2	1	2	1	1
9307	zephyrus	4	1	1	2	3	1	1	2	1	1
9308	zephyrus	3	1	1	2	3	1	2	1	1	1
8319	progne	4	2	2	1	3	2	2	1	1	2
8341	progne	3	2	2	2	3	2	2	1	1	2
8342	progne	4	2	2	2	3	2	2	1	1	2
8343	progne	3	2	2	2	3	2	2	1	1	2
8344	progne	3	2	2	2	3	2	2	1	1	2
8345	progne	3	2	2	1	3	2	2	2	1	2
8346	progne	3	2	2	2	3	2	2	1	1	2
8347	progne	4	2	2	1	3	2	2	2	1	2
8348	progne	3	2	2	2	3	2	2	1	1	2
8349	progne	3	2	2	2	3	2	2	1	1	2
8350	progne	3	2	2	1	3	2	2	1	1	2
8351	progne	3	2	2	1	3	2	2	1	1	2
8352	progne	3	2	2	2	3	2	2	1	1	2
8353	progne	3	2	2	1	3	2	2	1	1	2
8354	progne	3	2	2	2	3	2	2	1	1	2
8355	progne	4	2	2	1	3	2	2	1	1	2
8356	progne	3	2	2	1	3	2	2	1	1	2
8357	progne	4	2	2	2	3	2	2	1	1	2
8359	progne	4	2	2	1	3	2	2	1	1	2
8360	progne	4	2	2	1	3	2	2	1	1	2
8361	progne	4	2	2	1	3	2	2	1	1	2
8363	progne	3	2	2	1	3	2	2	1	1	2
8364	progne	3	2	2	1	3	2	2	1	1	2
8365	progne	3	2	2	2	3	2	2	1	1	2
8366	progne	4	1	2	2	3	2	2	1	1	2
8367	progne	4	2	2	2	3	2	2	1	1	2
8368	progne	4	1	2	1	3	2	2	1	1	2
