"ID","Latitude","Longitude","Sample","Elevation","MAT","MWMT","MCMT","TD","MAP","MSP","AHM","SHM","bFFP","eFFP","FFP","CMD","CMI","DD_0","DD5","DD_18","DD18","DD1040","EMT","EXT","Eref","rsds","NFFD","PAS","RH","Tmax01","Tmax02","Tmax03","Tmax04","Tmax05","Tmax06","Tmax07","Tmax08","Tmax09","Tmax10","Tmax11","Tmax12","Tmin01","Tmin02","Tmin03","Tmin04","Tmin05","Tmin06","Tmin07","Tmin08","Tmin09","Tmin10","Tmin11","Tmin12","Tave01","Tave02","Tave03","Tave04","Tave05","Tave06","Tave07","Tave08","Tave09","Tave10","Tave11","Tave12","PPT01","PPT02","PPT03","PPT04","PPT05","PPT06","PPT07","PPT08","PPT09","PPT10","PPT11","PPT12","rsds01","rsds02","rsds03","rsds04","rsds05","rsds06","rsds07","rsds08","rsds09","rsds10","rsds11","rsds12","DD_0_01","DD_0_02","DD_0_03","DD_0_04","DD_0_05","DD_0_06","DD_0_07","DD_0_08","DD_0_09","DD_0_10","DD_0_11","DD_0_12","DD5_01","DD5_02","DD5_03","DD5_04","DD5_05","DD5_06","DD5_07","DD5_08","DD5_09","DD5_10","DD5_11","DD5_12","DD_18_01","DD_18_02","DD_18_03","DD_18_04","DD_18_05","DD_18_06","DD_18_07","DD_18_08","DD_18_09","DD_18_10","DD_18_11","DD_18_12","DD18_01","DD18_02","DD18_03","DD18_04","DD18_05","DD18_06","DD18_07","DD18_08","DD18_09","DD18_10","DD18_11","DD18_12","NFFD01","NFFD02","NFFD03","NFFD04","NFFD05","NFFD06","NFFD07","NFFD08","NFFD09","NFFD10","NFFD11","NFFD12","PAS01","PAS02","PAS03","PAS04","PAS05","PAS06","PAS07","PAS08","PAS09","PAS10","PAS11","PAS12","Eref01","Eref02","Eref03","Eref04","Eref05","Eref06","Eref07","Eref08","Eref09","Eref10","Eref11","Eref12","CMD01","CMD02","CMD03","CMD04","CMD05","CMD06","CMD07","CMD08","CMD09","CMD10","CMD11","CMD12","RH01","RH02","RH03","RH04","RH05","RH06","RH07","RH08","RH09","RH10","RH11","RH12","CMI01","CMI02","CMI03","CMI04","CMI05","CMI06","CMI07","CMI08","CMI09","CMI10","CMI11","CMI12","EVI_1","EVI_2","EVI_3","EVI_4","EVI_5","EVI_6","EVI_median","EVI_min","EVI_max","TRI","TPI","roughness","HLI","TWI","annualPET","climaticMoistureIndex","aridityIndexThornthwaite","continentality","embergerQ","growingDegDays0","growingDegDays5","maxTempColdest","minTempWarmest","monthCountByTemp10","PETColdestQuarter","PETDriestQuarter","PETseasonality","PETWarmestQuarter","PETWettestQuarter","thermicityIndex","Footprint","trees","grassland","shrubs","cropland","built","bare","snow","water","wetland","mangroves","moss","Bulk_density","Coarse_fragments_volume","Clay_fraction","Nitrogen_content","Organic_carb_density","pH_H2O","Sand_fraction","Silt_fraction","Soil_organic_carb","Forestheight","srad_median","srad_min","srad_max","wind_median","wind_min","wind_max","vapr_median","vapr_min","vapr_max","Nighttime_light","Burned_area_01","Burned_area_02","Burned_area_03","Burned_area_04","Burned_area_05","Burned_area_06","Burned_area_07","Burned_area_08","Burned_area_09","Burned_area_10","Burned_area_11","Burned_area_12","snow_water_equivalent_01","snow_water_equivalent_02","snow_water_equivalent_03","snow_water_equivalent_04","snow_water_equivalent_05","snow_water_equivalent_06","snow_water_equivalent_07","snow_water_equivalent_08","snow_water_equivalent_09","snow_water_equivalent_10","snow_water_equivalent_11","snow_water_equivalent_12","Daylength_01","Daylength_02","Daylength_03","Daylength_04","Daylength_05","Daylength_06","Daylength_07","Daylength_08","Daylength_09","Daylength_10","Daylength_11","Daylength_12","soil_moisture_01","soil_moisture_02","soil_moisture_03","soil_moisture_04","soil_moisture_05","soil_moisture_06"
"1",36.23511,-81.83727,"RAP0634",1030.50134277344,11,20.6,0.4,20.2,1497,686,14,30,121,286,166,16,72.45,150,2660,2842,293,1394,-25.5,34.1,996,15,212,24,63,5.7,8,11.5,16.8,21,24.5,25.9,24.9,22.8,17.9,11.8,8.8,-4.9,-3.2,-0.2,4.1,9.3,13,15.3,14.4,11.9,5.7,-0.6,-1.8,0.4,2.4,5.7,10.4,15.2,18.8,20.6,19.6,17.4,11.8,5.6,3.5,109,109,99,155,161,123,146,139,117,123,103,113,10.3,11.4,15.7,19.5,19,21.5,19.1,17.4,14.4,13,10.2,9,62,34,14,1,0,0,0,0,0,1,11,27,22,30,73,169,318,413,483,453,372,213,67,45,548,433,383,230,107,33,11,21,59,197,372,447,0,0,0,4,19,60,93,71,41,6,0,0,6,0,0,23,31,30,31,31,30,30,0,0,15,5,0,0,0,0,0,0,0,0,1,2,29,38,65,96,125,139,141,125,97,69,41,31,0,0,0,0,0,16,0,0,0,0,0,0,61,61,61,60,64,66,68,69,67,62,59,63,9.7,8.96,6.37,8.43,7.36,1.74,3.57,3.5,2.3,4.87,6.64,9,0.279599994421005,0.683200001716614,0.753600001335144,0.60479998588562,0.232800006866455,0.231600001454353,0.442199990153313,0.231600001454353,0.753600001335144,40.0974044799805,4.03514862060547,125.855834960938,1.03735864162445,7.21657562255859,1047.93005371094,8.61999988555908,0.25,20.3500003814697,153.270004272461,40210.5,32265,53,140,6,33.1699981689453,34.25,4599.93994140625,143.330001831055,142.029998779297,103.75,8,0.976700007915497,0.0232999995350838,0,0,0,0,0,0,0,0,0,1.10000002384186,12,19,4.30000019073486,4.80000019073486,4.90000009536743,40,38,69.0999984741211,30.9697818756104,15066.75,7772,20762.5,3,2.09999990463257,3.90000009536743,0.962500005960464,0.444999992847443,1.9099999666214,6.20811557769775,167506.171875,141755.328125,451072.84375,64400.33203125,0,0,218679,0,0,0,25778,115999,0.875161290168762,0,0.162580639123917,0,0,0,0,0,0,0,0,0,35412.828125,38452.3515625,42495.3359375,46724.76171875,50243.37109375,51949.1171875,51023.296875,47880.59765625,43764.4765625,39545.41796875,36060.55078125,34444.2109375,NA,NA,NA,NA,NA,NA
"2",35.75641,-82.14823,"RAP0641",746.792724609375,12.8,22.4,2.2,20.2,1727,750,13.2,29.9,115,291,176,28,81.02,93,3162,2371,469,1749,-23.8,36.1,1108,15.4,222,12,61,8,10.7,14.2,19.5,23.5,26.9,28.2,27.2,24.8,20,14.2,10.7,-3.6,-1.6,1.4,5.5,10.7,14.4,16.7,15.8,13,6.7,0.5,-0.6,2.2,4.6,7.8,12.5,17.1,20.6,22.4,21.5,18.9,13.3,7.3,5,123,125,118,171,169,124,166,145,146,156,132,152,10.3,11.8,15.8,19.7,19.3,22.2,19.5,17.9,15,13.6,10.5,9,40,19,7,1,0,0,0,0,0,0,6,18,34,53,116,226,376,467,539,511,417,259,100,64,492,371,318,176,65,17,5,9,38,158,322,400,0,0,2,9,36,94,138,116,65,10,0,0,7,0,2,28,31,30,31,31,30,31,1,0,9,2,0,0,0,0,0,0,0,0,0,1,33,45,75,109,139,152,154,137,106,77,47,34,0,0,0,0,0,28,0,0,0,0,0,0,59,59,59,57,62,63,66,66,65,59,56,62,10.45,9.52,6.78,8.76,6.79,0.32,4.07,2.67,4.08,7.19,8.23,12.16,0.242400005459785,0.709200024604797,0.723200023174286,0.594399988651276,0.260800004005432,0.272000014781952,0.433200001716614,0.242400005459785,0.723200023174286,42.4272537231445,-24.2768783569336,139.841186523438,0.971131861209869,10.4557876586914,1151.05004882812,14.3800001144409,0.170000001788139,20.2000007629395,147.880004882812,50094,35788.5,75,151,7,38.7000007629395,39.6399993896484,4804.27978515625,153.190002441406,110.980003356934,149,11,0.998700022697449,0.00130000000353903,0,0,0,0,0,0,0,0,0,1.10000002384186,15,19,4.30000019073486,4.59999990463257,4.80000019073486,52,26,67.8000030517578,33.8561820983887,15382.75,8247.5,20932,2.72499990463257,2,3.40000009536743,1.04000002145767,0.480000019073486,2.02999997138977,0,0,0,0,116369.1640625,0,0,0,0,0,0,0,12933.1669921875,1.71258068084717,0,0.0364516116678715,0,0,0,0,0,0,0,0,0,35546.30859375,38532.44140625,42507.1171875,46665.54296875,50123.19140625,51798.1640625,50889.16796875,47801.64453125,43755.0390625,39606.8515625,36182.43359375,34595.2890625,NA,NA,NA,NA,NA,NA
"3",34.70805,-83.91265,"RAP0656",677.972900390625,14.1,23.5,3.6,19.9,2115,845,11.4,27.8,108,297,189,0,112.4,62,3555,2025,612,2025,-21.9,37.1,1163,15.7,240,9,62,9.4,12.1,15.8,20.4,24.3,27.6,29.1,28.4,26.2,21.3,15.8,12.3,-2.3,-0.3,3.2,7.2,11.8,15.7,17.8,17.1,14.3,8.1,2.1,0.9,3.6,5.9,9.5,13.8,18,21.6,23.5,22.8,20.2,14.7,9,6.6,172,175,150,196,173,169,171,176,156,213,138,226,10.6,12.2,16.1,19.8,19.7,21.9,20,18.4,15.6,14.1,11,9.4,28,14,4,0,0,0,0,0,0,0,3,12,48,72,158,265,403,497,573,551,455,302,139,92,449,335,266,140,50,11,3,5,25,120,271,351,0,0,3,14,48,114,172,150,91,17,2,1,10,0,12,30,31,30,31,31,30,31,4,1,7,1,0,0,0,0,0,0,0,0,0,0,38,50,81,112,142,153,158,143,112,83,52,39,0,0,0,0,0,0,0,0,0,0,0,0,60,59,60,60,63,65,67,67,65,60,57,63,14.81,13.81,8.82,11.08,6.9,4.69,4.15,5.12,4.28,12.33,7.66,18.75,0.249799996614456,0.663600027561188,0.663600027561188,0.514400005340576,0.252600014209747,0.275599986314774,0.394999995827675,0.249799996614456,0.663600027561188,39.0869598388672,-22.48828125,110.967529296875,0.92345118522644,7.99072885513306,1192.17004394531,12.8699998855591,0.28999999165535,20.2999992370605,180.440002441406,54792,38407.5,82,163,7,41.5900001525879,115.48999786377,4812.68994140625,156.149993896484,56.4199981689453,180.5,10,0.996999979019165,0,0,0,0.00300000002607703,0,0,0,0,0,0,1.10000002384186,13,20,5.5,4.59999990463257,4.90000009536743,50,29,86.9000015258789,31.1444721221924,15585.75,8339,21339.5,2.85000002384186,2.15000009536743,3.5,1.12500002980232,0.534999966621399,2.13499999046326,0,0,131022,1624798.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35856.5390625,38718.84765625,42534.55859375,46527.66796875,49843.7578125,51447.52734375,50577.43359375,47617.87890625,43733.0625,39749.8671875,36465.8125,34946.2109375,NA,NA,NA,NA,NA,NA
"4",34.95897,-83.55398,"RAP0673",739.052917480469,13.5,22.8,3.1,19.7,1989,801,11.8,28.5,112,293,180,10,100.53,72,3360,2167,524,1875,-23,36.6,1159,15.8,228,11,60,9.2,11.9,15.4,20.3,24,27.3,28.6,27.9,25.7,21,15.5,11.9,-3,-0.9,2.2,6,10.9,14.8,16.9,16.2,13.6,7.2,1.2,0,3.1,5.5,8.8,13.2,17.4,21,22.8,22,19.6,14.1,8.3,6,152,187,155,204,158,165,148,191,139,153,136,201,10.7,12.2,16.1,20,19.4,22.4,19.7,18.1,15.4,14.4,11.2,9.6,32,15,5,1,0,0,0,0,0,0,4,14,43,65,140,247,385,479,551,526,438,284,122,81,465,346,287,157,59,14,4,7,31,136,292,369,0,0,2,11,40,101,150,127,78,14,1,0,8,0,4,29,31,30,31,31,30,31,1,0,8,2,0,0,0,0,0,0,0,0,0,1,37,49,80,114,142,154,158,142,111,83,51,38,0,0,0,0,0,0,10,0,0,0,0,0,58,58,58,56,61,63,66,66,64,58,55,61,12.91,15.12,9.62,11.61,5.31,4.16,1.92,6.7,2.74,6.27,7.7,16.47,0.227599993348122,0.707599997520447,0.707599997520447,0.57039999961853,0.284799993038177,0.241999998688698,0.427599996328354,0.227599993348122,0.707599997520447,46.960090637207,-43.519401550293,139.118835449219,0.95136433839798,10.8685941696167,1186.65002441406,9.77999973297119,0.340000003576279,19.6000003814697,193.619995117188,52236,36828,82,150,7,41.310001373291,114.800003051758,4800.009765625,155.539993286133,56.2200012207031,164,4,0.991999983787537,0.00689999992027879,0,0,0.00039999998989515,0.000699999975040555,0,0,0,0,0,1.10000002384186,11,21,6,4.80000019073486,5.09999990463257,49,28,104.099998474121,32.0862236022949,15631,8314.5,21243.5,3,2.25,3.70000004768372,1.08250001072884,0.514999985694885,2.07499980926514,0,0,0,615336.6875,1399761.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35775.796875,38670.30078125,42527.41015625,46563.5859375,49916.49609375,51538.75390625,50658.56640625,47665.73828125,43738.7890625,39712.61328125,36392.046875,34854.90625,NA,NA,NA,NA,NA,NA
"5",34.777,-84.33188,"RAP0679",687.488464355469,14.3,23.6,3.6,20,2053,783,11.8,30.1,109,296,188,7,99.22,60,3613,1984,639,2070,-21.6,37.7,1208,15.9,242,9,60,9.5,12.3,16.1,21.1,25,28.4,29.8,29,27.3,22.2,15.8,12.4,-2.3,0.3,3.4,6.9,11.1,15.4,17.5,16.7,13.9,7.8,1.9,1.3,3.6,6.3,9.8,14,18,21.9,23.6,22.9,20.6,15,8.8,6.9,163,197,172,194,154,167,158,169,135,174,150,220,10.6,11.9,16.1,20.1,19.9,22.7,20.2,18.6,16,14.6,11,9.4,28,12,4,0,0,0,0,0,0,0,4,11,48,78,166,271,403,506,576,554,467,311,134,98,449,324,256,135,50,10,3,4,22,112,277,342,0,0,4,15,48,123,175,153,100,19,2,1,10,0,14,30,31,30,31,31,30,31,3,1,7,1,0,0,0,0,0,0,0,0,0,0,38,49,82,117,149,161,165,149,120,87,52,39,0,0,0,0,0,0,7,0,0,0,0,0,60,61,60,57,59,62,65,64,61,57,56,64,13.87,15.87,10.77,10.27,4.11,3.47,1.86,3.54,0.88,7.62,8.87,18.08,0.205599993467331,0.80239999294281,0.80239999294281,0.589999973773956,0.301600009202957,0.245800003409386,0.445799991488457,0.205599993467331,0.80239999294281,51.1979141235352,-15.9367141723633,140.331909179688,1.04380822181702,8.6258487701416,1200.39001464844,14.8000001907349,0.259999990463257,20.7999992370605,172.320007324219,55350,38920.5,79,166,7,40.5699996948242,117.75,4972.7001953125,159.119995117188,55.3499984741211,182,3,1,0,0,0,0,0,0,0,0,0,0,1.10000002384186,12,18,5.09999990463257,4.80000019073486,5,49,32,81.5,31.5881824493408,15579,8181.5,21364.5,2.65000009536743,2,3.29999995231628,1.13249999284744,0.539999961853027,2.15499997138977,0,0,13092.3330078125,445136.34375,0,0,0,0,0,0,248644.671875,772077.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,35824.31640625,38699.46875,42531.70703125,46542.00390625,49872.7890625,51483.9296875,50609.8125,47636.98046875,43735.34765625,39734.99609375,36436.37109375,34909.77734375,NA,NA,NA,NA,NA,NA
"6",34.66715,-83.31613,"RAP0686",284.023529052734,16.5,26.2,5.5,20.7,1722,694,15.4,37.8,88,313,224,82,61.91,36,4325,1560,1023,2662,-18.7,39.7,1236,15.8,292,4,64,11.1,14.2,18.1,22.9,26.9,30.5,31.9,31,28.6,23.3,17.3,13.7,-0.1,2.1,5.3,9.4,14.4,18.7,20.5,19.9,17.5,10.9,4.4,3,5.5,8.2,11.7,16.1,20.6,24.6,26.2,25.4,23,17.1,10.9,8.3,149,155,135,155,136,139,143,174,102,133,122,179,9.6,11.9,16.1,19.9,20.8,21.6,21.6,19.4,16.3,13.5,10.1,8.5,17,7,2,0,0,0,0,0,0,0,2,8,75,116,217,333,481,587,656,631,539,375,185,130,391,270,200,83,22,3,1,1,10,66,214,298,0,1,7,29,97,201,255,230,157,40,4,2,14,2,29,30,31,30,31,31,30,31,24,10,3,0,0,0,0,0,0,0,0,0,0,0,40,54,88,122,152,164,169,150,117,86,54,40,0,0,0,0,16,25,26,0,15,0,0,0,63,61,60,59,63,66,68,68,68,63,59,65,11.82,10.69,6.44,6,2.1,0.29,-0.14,3.78,-1.8,3.9,5.44,13.38,0.223600000143051,0.712000012397766,0.65039998292923,0.51120001077652,0.216399997472763,0.210999995470047,0.367400005459785,0.210999995470047,0.712000012397766,41.0514297485352,21.5409564971924,112.754287719727,1.05743372440338,7.76600503921509,1313.34997558594,26.2299995422363,0.0900000035762787,20.2999992370605,152.279998779297,66978,61396.5,111,189,9,47.0699996948242,92.2699966430664,5226.830078125,170.970001220703,63.7599983215332,266.5,4,0.947399973869324,0.0313999988138676,0,0,0,0.000300000014249235,0,0.0208999998867512,0,0,0,1.20000004768372,10,19,3.90000009536743,4.30000019073486,5.30000019073486,45,34,64.8000030517578,29.862585067749,15910,8668.5,21913.5,2.29999995231628,1.89999997615814,2.90000009536743,1.2574999332428,0.590000033378601,2.36500000953674,5.26426124572754,26227.833984375,445545.65625,4840342,1074898.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35872.609375,38728.515625,42535.98046875,46520.515625,49829.2734375,51429.3671875,50561.28515625,47608.3515625,43731.921875,39757.28515625,36480.49609375,34964.3828125,NA,NA,NA,NA,NA,NA
"7",31.73246,-87.36745,"RAP0707",115.137428283691,18.9,27.1,8.9,18.2,1508,620,19.2,43.7,54,330,275,201,24.86,15,5108,1030,1344,3295,-15.2,40,1380,16.6,350,1,63,15.1,18.3,21.9,25.1,28.9,31.8,32.5,32.5,30.8,26.2,20.2,17,2.7,5.6,8.7,11.7,15.9,20.6,21.8,21.6,19.2,12.8,6.4,5.3,8.9,11.9,15.3,18.4,22.4,26.2,27.1,27,25,19.5,13.3,11.2,127,164,126,141,108,147,130,132,103,77,82,171,10,13.2,17,20.5,22.1,21.4,22.6,20.6,17.6,14.6,10.9,9.2,7,3,1,0,0,0,0,0,0,0,1,3,147,199,324,401,535,635,683,680,598,448,253,204,286,176,106,44,12,2,0,1,5,32,153,214,3,6,24,56,139,247,282,279,212,79,12,6,20,28,31,30,31,30,31,31,30,31,30,28,1,0,0,0,0,0,0,0,0,0,0,0,54,68,106,134,166,168,170,159,132,103,67,53,0,0,0,0,58,21,40,27,29,26,0,0,60,60,60,60,62,68,70,69,67,61,58,63,7.38,9.4,3.86,3.58,-1.98,0.7,-1.24,-1.15,-3.18,-3.47,0.13,10.82,0.395000010728836,0.567200005054474,0.61760002374649,0.532000005245209,0.404799997806549,0.450399994850159,0.491200000047684,0.395000010728836,0.61760002374649,10.3884143829346,-3.95956230163574,36.1355133056641,1.01813220977783,9.3365535736084,1441.69995117188,28.1399993896484,0.0299999993294477,19.1000003814697,159.860000610352,76968,76968,141,203,9,59.0299987792969,105.650001525879,5003.77978515625,177.740005493164,76.4300003051758,335.5,2,0.999400019645691,0,0,0,0,0.000600000028498471,0,0,0,0,0,1.29999995231628,5,18,2.40000009536743,3.90000009536743,5.09999990463257,56,25,40,20.4990882873535,16684.25,9564,22301.5,2.25,1.70000004768372,2.84999990463257,1.48500001430511,0.779999971389771,2.57499980926514,0,0,216992,325344.15625,0,0,0,0,0,0,122134.1640625,149324.828125,149242.328125,0,0,0,0,0,0,0,0,0,0,0,0,36661.44140625,39204.08203125,42606.12109375,46168.47265625,49118.0625,50539.0234375,49768.6640625,47139.5234375,43675.74609375,40122.42578125,37201.66796875,35855.43359375,NA,NA,NA,NA,NA,NA
"8",36.55551,-81.64675,"RAP0713",1187.69812011719,10.3,20,-0.1,20.1,1654,733,12.3,27.3,122,286,165,0,94.69,173,2491,3012,235,1276,-25.7,33,905,14.8,209,33,66,4.9,7.1,10.3,15.6,19.9,23.4,25,23.7,21.7,16.8,10.8,8.1,-5.2,-3.5,-0.6,3.7,9.2,12.7,14.9,14.1,11.8,5.8,-0.9,-1.8,-0.1,1.8,4.9,9.7,14.5,18,20,18.9,16.8,11.3,5,3.1,111,136,120,171,171,141,154,140,127,135,115,133,10.5,11.2,15.5,19.3,18.8,21.1,18.7,17,13.9,12.9,10.2,9.2,70,40,17,2,0,0,0,0,0,1,13,30,19,26,60,151,297,389,465,431,354,200,58,40,563,450,408,250,125,44,15,28,69,210,390,459,0,0,0,3,14,46,78,56,34,4,0,0,5,0,0,20,31,30,31,31,30,30,0,0,18,9,1,1,1,0,0,0,0,0,1,2,0,36,60,90,117,130,135,116,90,64,38,29,0,0,0,0,0,0,0,0,0,0,0,0,62,62,63,62,67,68,70,71,70,65,61,65,10.08,11.92,9,10.72,9.05,4.29,4.93,4.45,4.05,6.7,8.29,11.21,0.338200002908707,0.612399995326996,0.762000024318695,0.694400012493134,0.327600002288818,0.28659999370575,0.475299999117851,0.28659999370575,0.762000024318695,61.3167419433594,-23.3496398925781,207.269897460938,0.780662953853607,7.22880601882935,1003,12.0299997329712,0.25,20.6000003814697,150.320007324219,37818,26208,41,136,6,30.5300006866455,30.5300006866455,4497.18994140625,138.300003051758,136.580001831055,80,3,0.93120002746582,0.0685999989509583,0,0,0.000199999994947575,0,0,0,0,0,0,1,13,21,6.90000009536743,5.80000019073486,4.69999980926514,39,39,133.199996948242,31.5242938995361,14740,7450.5,20178,3.57499980926514,2.34999990463257,4.75,0.899999976158142,0.420000016689301,1.79500007629395,0,0,0,25577.5,0,0,0,0,0,0,0,0,0,1.5119354724884,0,0.233225807547569,0,0,0,0,0,0,0,1.01066660881042,0.24709677696228,35311.5625,38391.6328125,42486.40625,46769.64453125,50334.53125,52063.6796875,51125.0625,47940.453125,43771.62890625,39498.859375,35968.1015625,34329.5546875,NA,NA,NA,NA,NA,NA
"9",36.42378,-81.59439,"RAP0719",1244.96545410156,10.2,19.9,-0.1,20,1675,760,12.1,26.2,121,286,165,0,98.86,174,2466,3033,227,1256,-25.6,32.7,886,14.8,211,33,67,4.7,6.9,10.1,15.4,19.7,23,24.6,23.4,21.2,16.4,10.7,8,-5,-3.3,-0.3,4,9.3,12.9,15.2,14.2,11.8,5.7,-0.9,-1.9,-0.1,1.8,4.9,9.7,14.5,18,19.9,18.8,16.5,11,4.9,3,111,132,114,174,175,143,161,149,132,141,118,125,10.4,11.1,15.5,19.2,18.9,20.9,18.8,17,13.7,12.6,10.1,9.1,70,40,17,2,0,0,0,0,0,1,14,31,19,26,60,151,297,389,462,428,345,192,56,39,563,450,408,250,125,44,16,29,75,217,393,462,0,0,0,3,14,46,76,54,31,4,0,0,6,0,0,22,31,30,31,31,30,30,0,0,18,9,1,1,1,0,0,0,0,0,1,2,0,35,59,89,115,127,130,114,87,63,38,29,0,0,0,0,0,0,0,0,0,0,0,0,64,64,65,63,68,69,72,72,71,66,61,65,10.1,11.56,8.45,11.14,9.58,4.87,6.09,5.61,4.91,7.49,8.61,10.44,0.217800006270409,0.643599987030029,0.79559999704361,0.691200017929077,0.18809999525547,0.223199993371964,0.433399990200996,0.18809999525547,0.79559999704361,55.0223083496094,-36.5119018554688,172.016723632812,0.844495296478271,8.38728141784668,954.059997558594,2.61999988555908,0.340000003576279,20.3999996185303,165.529998779297,32505,20842.5,35,133,5,29.2900009155273,29.2900009155273,4259.72998046875,131.399993896484,129.970001220703,64,6,1,0,0,0,0,0,0,0,0,0,0,0.899999976158142,13,17,7.59999990463257,6,4.59999990463257,46,34,112.099998474121,31.8693866729736,14829,7601.5,20351,3.75,2.5,5,0.884999990463257,0.415000021457672,1.77499997615814,0,0,0,372244.5,0,0,0,0,0,0,0,0,0,0.465161293745041,0,0,0,0,0,0,0,0,0,0.66733330488205,0.0967741906642914,35362.3203125,38422.0625,42490.87890625,46747.15234375,50288.83984375,52006.25390625,51074.0546875,47910.45703125,43768.04296875,39522.19140625,36014.4375,34387.03125,NA,NA,NA,NA,NA,NA
"10",36.22365,-81.66618,"RAP0731",999.175903320312,11.1,20.8,0.5,20.3,1748,798,12.1,26.1,119,289,170,0,101.17,145,2692,2807,303,1413,-24.8,33.8,962,14.9,216,25,66,5.4,7.8,11.2,16.7,20.9,24.2,25.7,24.5,22.2,17.5,11.5,8.7,-4.4,-2.6,0.3,4.6,10,13.5,15.8,14.9,12.4,6.3,0,-1.4,0.5,2.6,5.8,10.6,15.4,18.9,20.8,19.7,17.3,11.9,5.8,3.6,115,129,116,177,171,149,173,154,151,160,125,128,10.4,11.2,15.6,19.3,18.9,21.1,18.9,17.1,14.1,12.9,10.1,9.1,61,33,13,1,0,0,0,0,0,1,10,27,23,32,75,175,324,416,490,456,369,216,71,46,545,427,380,226,102,32,10,20,61,195,366,444,0,0,0,4,20,62,98,73,40,6,0,0,6,0,0,26,31,30,31,31,30,31,0,0,16,5,0,0,0,0,0,0,0,0,1,2,28,37,63,95,121,134,137,119,92,67,39,30,0,0,0,0,0,0,0,0,0,0,0,0,64,63,64,62,66,68,70,71,70,65,62,65,10.34,10.99,8.2,10.83,8.68,4.85,6.73,5.62,6.42,9.01,8.97,10.53,0.273799985647202,0.801199972629547,0.801199972629547,0.672800004482269,0.238399997353554,0.253600001335144,0.473299995064735,0.238399997353554,0.801199972629547,21.8958892822266,-16.1642761230469,78.5313110351562,0.97540420293808,9.81966781616211,1051.73999023438,11.8400001525879,0.259999990463257,20.5499992370605,155.630004882812,41217,32967,55,145,7,33.439998626709,33.439998626709,4595.97998046875,143.679992675781,142.100006103516,111.75,34,0.510599970817566,0.126200005412102,0,0.000500000023748726,0.304300010204315,0.0584000013768673,0,0,0,0,0,1.10000002384186,8,8,4.80000019073486,5,5.09999990463257,47,35,77.3000030517578,28.8822231292725,15018.25,7790,20673.5,3.02499997615814,2.09999990463257,4,0.962500005960464,0.444999992847443,1.9099999666214,55.7551956176758,0,0,77268.1640625,0,0,0,0,0,0,0,0,0,0.218387097120285,0,0.511935472488403,0,0,0,0,0,0,0,0,0,35412.828125,38452.3515625,42495.3359375,46724.76171875,50243.37109375,51949.1171875,51023.296875,47880.59765625,43764.4765625,39545.41796875,36060.55078125,34444.2109375,NA,NA,NA,NA,NA,NA
