Accession,Sample,Specimen,Species,State,County,Lat,Long,Elev,wc2.1_30s_bio_1,wc2.1_30s_bio_10,wc2.1_30s_bio_11,wc2.1_30s_bio_12,wc2.1_30s_bio_13,wc2.1_30s_bio_14,wc2.1_30s_bio_15,wc2.1_30s_bio_16,wc2.1_30s_bio_17,wc2.1_30s_bio_18,wc2.1_30s_bio_19,wc2.1_30s_bio_2,wc2.1_30s_bio_3,wc2.1_30s_bio_4,wc2.1_30s_bio_5,wc2.1_30s_bio_6,wc2.1_30s_bio_7,wc2.1_30s_bio_8,wc2.1_30s_bio_9,wc2.1_30s_elev,current_30arcsec_annualPET,current_30arcsec_aridityIndexThornthwaite,current_30arcsec_climaticMoistureIndex,current_30arcsec_continentality,current_30arcsec_embergerQ,current_30arcsec_growingDegDays0,current_30arcsec_growingDegDays5,current_30arcsec_maxTempColdest,current_30arcsec_minTempWarmest,current_30arcsec_monthCountByTemp10,current_30arcsec_PETColdestQuarter,current_30arcsec_PETDriestQuarter,current_30arcsec_PETseasonality,current_30arcsec_PETWarmestQuarter,current_30arcsec_PETWettestQuarter,current_30arcsec_thermicityIndex,lvl4,huc2,huc4,huc6,huc8,huc10,huc12,SVL,TL,AG,CW,FL,HL,SG,TW,TO,FI,HW,ED,IN,ES,ON,IO,IC
SRR15815900,RAP0634,AMNH A-195498,monticola,NC,Watauga,36.23511,-81.83727,976,10.34,19.27,0.96,1265.12,124.88,84.08,11.46,351.95,275.52,340.44,275.76,11.78,37.43,743.22,25.85,-5.61,31.46,11.63,2.60,1017.77,1050.79,10.16,0.24,20.37,152.89,40638.64,32331.80,53.44,140.12,6.32,33.30,33.85,4609.54,143.82,142.29,104.76,66d,06,0601,060101,06010103,0601010303,060101030305,54.49,44.59,30.62,8.55,4.42,4.29,12.75,5.43,3.88,2.06,8.48,3.12,2.78,3.35,2.53,2.64,3.92
SRR15815898,RAP0641,AMNH A-195500,monticola,NC,McDowell,35.75641,-82.14823,680,11.87,20.62,2.81,1313.90,131.72,92.08,10.36,360.08,293.14,348.15,300.86,12.99,40.51,720.66,27.73,-4.33,32.06,11.35,7.90,810.35,1139.48,13.88,0.18,20.10,150.40,49202.73,35253.91,73.02,148.43,7.00,38.34,39.18,4755.78,151.51,109.97,142.63,66d,03,0305,030501,03050101,0305010101,030501010104,24.5,16.99,13.35,3.66,2.56,2.03,6.25,2.08,1.87,0.79,4.48,1.92,1.37,1.38,0.99,1.2,1.97
SRR15815896,RAP0656,AMNH A-195462,monticola,GA,Lumpkin,34.70805,-83.91265,638,12.94,21.50,3.99,1649.24,176.16,110.88,12.39,479.27,362.52,388.11,445.57,12.60,40.24,709.28,28.42,-2.89,31.31,5.24,18.12,737.59,1178.12,11.21,0.30,20.12,184.89,53718.34,37789.22,80.26,160.24,7.00,41.01,114.40,4762.69,154.47,55.80,173.36,66d,03,0313,031300,03130001,0313000105,031300010501,46.09,37.32,24.99,7.15,3.73,2.08,10.49,5.4,3.01,1.87,7.68,2.81,2.32,2.63,2,2.14,3.54
SRR15815894,RAP0673,AMNH A-195464,monticola,GA,Towns,34.95897,-83.55398,700,12.41,20.97,3.47,1780.74,183.97,121.87,10.61,497.55,398.55,427.17,471.39,13.30,41.81,708.92,28.15,-3.67,31.82,4.71,17.60,784.16,1187.71,10.01,0.33,19.64,193.29,52427.22,36946.64,82.38,151.05,7.00,41.38,114.80,4799.53,155.59,56.30,165.61,66d,03,0306,030601,03060102,0306010201,030601020101,39.65,22.92,20.64,5.79,3.42,2.97,9.72,4.04,2.91,1.27,6.62,2.51,1.92,2.38,1.76,1.71,2.98
SRR15815892,RAP0679,AMNH A-195465,monticola,GA,Gilmer,34.77700,-84.33188,652,12.73,21.42,3.54,1632.75,175.12,104.44,13.61,475.70,345.99,385.38,442.38,12.31,39.39,723.27,28.28,-2.96,31.25,4.93,17.99,735.98,1178.58,12.80,0.29,20.73,176.93,53903.00,38099.24,75.20,162.88,7.00,39.79,115.64,4888.71,156.30,54.28,171.43,66g,03,0315,031501,03150102,0315010202,031501020202,65.49,37.8,35.26,10.21,4.22,3.17,15.16,6.54,3.82,2.43,10.41,4.14,3.48,3.88,2.62,2.56,4.72
SRR15815890,RAP0686,USNM 596050,monticola,GA,Stephens,34.66715,-83.31613,223,15.40,24.36,6.11,1485.68,154.70,108.27,11.65,430.60,333.66,358.88,401.17,13.06,40.22,736.97,31.63,-0.85,32.48,7.59,15.99,243.86,1308.14,25.35,0.10,20.28,153.74,66600.93,60384.79,109.91,188.06,9.00,46.89,91.79,5210.19,170.41,63.49,263.40,66d,03,0306,030601,03060102,0306010204,030601020403,70.16,54.53,37.86,12.09,7.16,3.98,15.08,9.7,4.9,3.23,11.68,3.28,4.07,3.04,1.87,3.5,5.6
SRR15815888,RAP0707,AUM 45874,cheaha,AL,Monroe,31.73246,-87.36745,94,17.90,26.06,9.22,1475.55,172.50,67.50,21.83,452.45,271.51,369.51,419.49,13.22,42.91,686.15,32.85,2.05,30.80,10.67,18.62,109.94,1441.66,28.23,0.03,19.10,159.68,76970.18,76970.18,140.93,202.95,9.00,59.00,105.72,5004.49,177.85,76.39,335.34,65q,03,0315,031502,03150204,0315020402,031502040205,54.08,46.01,29.95,8.3,4.68,4.52,12.51,5.46,3.45,2.34,8.5,3.04,2.88,3.01,2.25,2.18,3.8
SRR15815886,RAP0713,AMNH A-195503,monticola,NC,Ashe,36.55551,-81.64675,1153,9.10,17.97,-0.30,1311.05,128.57,89.74,10.54,363.96,286.05,348.05,286.05,10.76,35.04,742.62,24.17,-6.52,30.69,16.15,-0.30,1251.31,966.37,7.14,0.30,20.48,157.61,33099.18,23092.76,34.87,132.42,5.47,29.28,29.28,4347.76,133.44,131.84,64.86,66d,05,0505,050500,05050001,0505000101,050500010102,67.46,40.86,36.25,11.73,5.69,4.76,14.7,9.07,4.41,3.05,10.85,3.73,3.89,4.22,2.79,2.78,4.94
SRR15815884,RAP0719,AMNH A-195506,monticola,NC,Ashe,36.42378,-81.59439,1183,9.25,17.98,0.00,1348.11,130.68,90.57,10.50,371.81,291.52,354.24,291.52,10.66,35.08,730.68,24.14,-6.24,30.38,8.58,0.00,1267.02,948.40,2.17,0.35,20.38,166.63,31935.53,20724.54,34.05,132.44,5.00,29.12,29.12,4233.73,130.59,129.15,61.52,66k,05,0505,050500,05050001,0505000101,050500010103,53.07,39.75,28.8,9.58,5.2,3.13,11.72,7.96,3.99,2.53,8.92,3.06,3.09,2.55,1.62,2.34,3.88
SRR15815880,RAP0731,AMNH A-195507,monticola,NC,Watauga,36.22365,-81.66618,978,10.48,19.46,1.07,1318.13,128.03,88.00,10.57,361.55,284.02,348.04,284.02,11.55,36.91,746.08,25.89,-5.40,31.30,9.95,1.07,998.38,1045.76,10.86,0.27,20.55,156.74,40880.54,32739.73,53.47,143.99,6.50,33.20,33.20,4572.15,142.87,141.29,108.20,66d,05,0505,050500,05050001,0505000102,050500010201,57.88,23.66,31.46,8.42,4.71,3.24,12.84,5.83,3.28,2.04,8.79,3,3.07,3.37,2.2,2.58,4.3
