"ID","Latitude","Longitude","Sample","Elevation","MAT","MWMT","MCMT","TD","MAP","MSP","AHM","SHM","bFFP","eFFP","FFP","CMD","CMI","DD_0","DD5","DD_18","DD18","DD1040","EMT","EXT","Eref","rsds","NFFD","PAS","RH","Tmax01","Tmax02","Tmax03","Tmax04","Tmax05","Tmax06","Tmax07","Tmax08","Tmax09","Tmax10","Tmax11","Tmax12","Tmin01","Tmin02","Tmin03","Tmin04","Tmin05","Tmin06","Tmin07","Tmin08","Tmin09","Tmin10","Tmin11","Tmin12","Tave01","Tave02","Tave03","Tave04","Tave05","Tave06","Tave07","Tave08","Tave09","Tave10","Tave11","Tave12","PPT01","PPT02","PPT03","PPT04","PPT05","PPT06","PPT07","PPT08","PPT09","PPT10","PPT11","PPT12","rsds01","rsds02","rsds03","rsds04","rsds05","rsds06","rsds07","rsds08","rsds09","rsds10","rsds11","rsds12","DD_0_01","DD_0_02","DD_0_03","DD_0_04","DD_0_05","DD_0_06","DD_0_07","DD_0_08","DD_0_09","DD_0_10","DD_0_11","DD_0_12","DD5_01","DD5_02","DD5_03","DD5_04","DD5_05","DD5_06","DD5_07","DD5_08","DD5_09","DD5_10","DD5_11","DD5_12","DD_18_01","DD_18_02","DD_18_03","DD_18_04","DD_18_05","DD_18_06","DD_18_07","DD_18_08","DD_18_09","DD_18_10","DD_18_11","DD_18_12","DD18_01","DD18_02","DD18_03","DD18_04","DD18_05","DD18_06","DD18_07","DD18_08","DD18_09","DD18_10","DD18_11","DD18_12","NFFD01","NFFD02","NFFD03","NFFD04","NFFD05","NFFD06","NFFD07","NFFD08","NFFD09","NFFD10","NFFD11","NFFD12","PAS01","PAS02","PAS03","PAS04","PAS05","PAS06","PAS07","PAS08","PAS09","PAS10","PAS11","PAS12","Eref01","Eref02","Eref03","Eref04","Eref05","Eref06","Eref07","Eref08","Eref09","Eref10","Eref11","Eref12","CMD01","CMD02","CMD03","CMD04","CMD05","CMD06","CMD07","CMD08","CMD09","CMD10","CMD11","CMD12","RH01","RH02","RH03","RH04","RH05","RH06","RH07","RH08","RH09","RH10","RH11","RH12","CMI01","CMI02","CMI03","CMI04","CMI05","CMI06","CMI07","CMI08","CMI09","CMI10","CMI11","CMI12","EVI_1","EVI_2","EVI_3","EVI_4","EVI_5","EVI_6","EVI_median","EVI_min","EVI_max","TRI","TPI","roughness","HLI","TWI","annualPET","climaticMoistureIndex","aridityIndexThornthwaite","continentality","embergerQ","growingDegDays0","growingDegDays5","maxTempColdest","minTempWarmest","monthCountByTemp10","PETColdestQuarter","PETDriestQuarter","PETseasonality","PETWarmestQuarter","PETWettestQuarter","thermicityIndex","Footprint","trees","grassland","shrubs","cropland","built","bare","snow","water","wetland","mangroves","moss","Bulk_density","Coarse_fragments_volume","Clay_fraction","Nitrogen_content","Organic_carb_density","pH_H2O","Sand_fraction","Silt_fraction","Soil_organic_carb","Forestheight","srad_median","srad_min","srad_max","wind_median","wind_min","wind_max","vapr_median","vapr_min","vapr_max","Nighttime_light","Burned_area_01","Burned_area_02","Burned_area_03","Burned_area_04","Burned_area_05","Burned_area_06","Burned_area_07","Burned_area_08","Burned_area_09","Burned_area_10","Burned_area_11","Burned_area_12","snow_water_equivalent_01","snow_water_equivalent_02","snow_water_equivalent_03","snow_water_equivalent_04","snow_water_equivalent_05","snow_water_equivalent_06","snow_water_equivalent_07","snow_water_equivalent_08","snow_water_equivalent_09","snow_water_equivalent_10","snow_water_equivalent_11","snow_water_equivalent_12","Daylength_01","Daylength_02","Daylength_03","Daylength_04","Daylength_05","Daylength_06","Daylength_07","Daylength_08","Daylength_09","Daylength_10","Daylength_11","Daylength_12","soil_moisture_01","soil_moisture_02","soil_moisture_03","soil_moisture_04","soil_moisture_05","soil_moisture_06"
"1",32.83631,-89.09802,"RAP1596",134.73420715332,17.9,27.2,7.4,19.8,1695,612,16.5,44.4,75,319,244,189,46.99,23,4807,1267,1258,3060,-17.4,40.6,1349,16.5,315,2,62,13.6,16.5,20.7,24.2,28.1,31.7,32.7,32.7,30.8,25.4,18.7,15.3,1.2,3.7,7.3,11,15.4,20,21.6,21.1,18.2,11.6,4.8,3.5,7.4,10.1,14,17.6,21.8,25.9,27.2,26.9,24.5,18.5,11.8,9.4,155,190,161,201,119,130,144,125,94,96,124,156,9.8,12.9,17,20.4,21.9,21.8,22.8,20.8,17.7,14.4,10.5,8.8,10,4,1,0,0,0,0,0,0,0,1,6,112,158,285,378,517,626,686,677,583,418,209,157,333,217,139,56,14,2,0,1,6,44,191,264,2,3,15,45,125,238,285,276,197,61,7,3,16,14,31,30,31,30,31,31,30,31,26,14,2,0,0,0,0,0,0,0,0,0,0,0,49,63,101,129,160,170,173,162,133,99,62,48,0,0,0,0,41,40,29,37,39,3,0,0,60,60,59,61,63,67,69,67,64,59,57,62,11.16,12.67,7.87,10.13,-0.25,-1.21,-0.24,-2.42,-4.58,-1.24,4.97,10.12,0.235400006175041,0.54720002412796,0.587199985980988,0.555999994277954,0.337599992752075,0.396600008010864,0.471900016069412,0.235400006175041,0.587199985980988,2.78637313842773,2.04568481445312,12.9824523925781,1.02192187309265,9.66239929199219,1378.96997070312,34.2999992370605,0.0399999991059303,20.3999996185303,151.660003662109,73440,73440,124,205,9,53.0200004577637,134.139999389648,5070.919921875,174.179992675781,99.5599975585938,306,13,0.945100009441376,0.0194000005722046,0,0,0.0162000004202127,0.0193000007420778,0,0,0,0,0,1.39999997615814,1,25,2.20000004768372,4.30000019073486,5.30000019073486,18,54,44.2000007629395,28.1500854492188,16326.75,8790.5,22197,2.72499990463257,1.95000004768372,3.29999995231628,1.43000000715256,0.735000014305115,2.56500005722046,8.95921802520752,0,120351,13372.5,0,0,0,0,26778.666015625,0,147114.828125,654975.5,0,0,0,0,0,0,0,0,0,0,0,0,0,36359.02734375,39021.51171875,42579.17578125,46303.66796875,49390.828125,50880.16015625,50072.5234375,47319.50390625,43697.328125,39982.20703125,36925.09765625,35514.02734375,NA,NA,NA,NA,NA,NA
"2",30.37713,-89.2749,"RAP1569",11.6357364654541,20.3,28,10.6,17.4,1812,915,16.7,30.6,41,341,301,9,68.89,9,5606,774,1607,3742,-11.3,39.4,1280,16.1,358,0,71,15.9,18.5,21.7,24.6,28.4,31.4,32.1,32.2,30.7,26.7,20.9,17.8,5.3,8.7,11.5,15.1,18.9,22.9,23.8,23.6,21.9,16,9.7,7.9,10.6,13.6,16.6,19.9,23.6,27.1,28,27.9,26.3,21.4,15.3,12.9,136,146,126,177,151,180,216,224,144,91,84,137,10.2,12.4,16.8,19.5,21.5,19.3,22,20.2,17.3,14,10.7,9.2,4,2,1,0,0,0,0,0,0,0,0,2,190,247,364,446,571,662,711,708,637,506,312,254,234,132,77,28,8,1,0,0,3,17,103,169,5,11,36,82,175,273,310,307,250,121,25,12,24,28,31,30,31,30,31,31,30,31,30,31,0,0,0,0,0,0,0,0,0,0,0,0,56,66,100,119,147,150,154,146,121,100,67,54,0,0,0,0,0,0,0,0,0,9,0,0,66,69,69,71,72,76,76,75,75,68,65,69,8,8.28,4.89,8.9,4.29,5.92,9.2,9.75,2.58,-1.26,0.75,7.6,0.391799986362457,0.623199999332428,0.536800026893616,0.549199998378754,0.386000007390976,0.38280001282692,0.464300006628036,0.38280001282692,0.623199999332428,2.2455952167511,1.25591206550598,7.45248937606812,1.0390613079071,11.0013160705566,1345.10998535156,14.1999998092651,0.159999996423721,17.1000003814697,198.419998168945,84384,84384,156,223,12,59.6300010681152,75.5899963378906,4275.740234375,161.710006713867,149.820007324219,401,22,0.679499983787537,0.178900003433228,0,0.00100000004749745,0.0878000035881996,0.0527999997138977,0,0,0,0,0,1.29999995231628,0,30,7,3.59999990463257,5.30000019073486,32,34,51,20.6761207580566,16882.75,10083.5,22166,3.35000002384186,2.65000009536743,3.90000009536743,1.82750004529953,1.03500008583069,2.82999992370605,18.0397319793701,0,398796.5,178804.828125,288525.65625,949590,13764.8330078125,0,233812.5,13740.6669921875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36999.1484375,39408.30078125,42636.29296875,46017.17578125,48813.31640625,50158.34765625,49429.3515625,46938.19140625,43651.578125,40279.3359375,37510.65234375,36236.41015625,NA,NA,NA,NA,NA,NA
"3",30.37713,-89.2749,"RAP1568",11.6357364654541,20.3,28,10.6,17.4,1812,915,16.7,30.6,41,341,301,9,68.89,9,5606,774,1607,3742,-11.3,39.4,1280,16.1,358,0,71,15.9,18.5,21.7,24.6,28.4,31.4,32.1,32.2,30.7,26.7,20.9,17.8,5.3,8.7,11.5,15.1,18.9,22.9,23.8,23.6,21.9,16,9.7,7.9,10.6,13.6,16.6,19.9,23.6,27.1,28,27.9,26.3,21.4,15.3,12.9,136,146,126,177,151,180,216,224,144,91,84,137,10.2,12.4,16.8,19.5,21.5,19.3,22,20.2,17.3,14,10.7,9.2,4,2,1,0,0,0,0,0,0,0,0,2,190,247,364,446,571,662,711,708,637,506,312,254,234,132,77,28,8,1,0,0,3,17,103,169,5,11,36,82,175,273,310,307,250,121,25,12,24,28,31,30,31,30,31,31,30,31,30,31,0,0,0,0,0,0,0,0,0,0,0,0,56,66,100,119,147,150,154,146,121,100,67,54,0,0,0,0,0,0,0,0,0,9,0,0,66,69,69,71,72,76,76,75,75,68,65,69,8,8.28,4.89,8.9,4.29,5.92,9.2,9.75,2.58,-1.26,0.75,7.6,0.391799986362457,0.623199999332428,0.536800026893616,0.549199998378754,0.386000007390976,0.38280001282692,0.464300006628036,0.38280001282692,0.623199999332428,2.2455952167511,1.25591206550598,7.45248937606812,1.0390613079071,11.0013160705566,1345.10998535156,14.1999998092651,0.159999996423721,17.1000003814697,198.419998168945,84384,84384,156,223,12,59.6300010681152,75.5899963378906,4275.740234375,161.710006713867,149.820007324219,401,22,0.679499983787537,0.178900003433228,0,0.00100000004749745,0.0878000035881996,0.0527999997138977,0,0,0,0,0,1.29999995231628,0,30,7,3.59999990463257,5.30000019073486,32,34,51,20.6761207580566,16882.75,10083.5,22166,3.35000002384186,2.65000009536743,3.90000009536743,1.82750004529953,1.03500008583069,2.82999992370605,18.0397319793701,0,398796.5,178804.828125,288525.65625,949590,13764.8330078125,0,233812.5,13740.6669921875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36999.1484375,39408.30078125,42636.29296875,46017.17578125,48813.31640625,50158.34765625,49429.3515625,46938.19140625,43651.578125,40279.3359375,37510.65234375,36236.41015625,NA,NA,NA,NA,NA,NA
"4",30.9131,-88.86587,"RAP1560",57.958667755127,19.3,27.5,9.2,18.3,1887,879,15.5,31.3,56,328,271,23,52.52,13,5258,965,1433,3426,-15.7,40.7,1472,17.2,348,1,60,16.1,19.1,23,26.1,29.6,32.8,33.3,33.4,31.8,27.3,21.1,17.9,2.4,5.6,8.9,11.8,15.8,20.4,21.8,21.5,19.2,12.5,6.2,4.9,9.2,12.4,15.9,19,22.7,26.6,27.5,27.4,25.5,19.9,13.7,11.4,141,172,151,181,166,194,207,182,130,107,94,162,10.2,13.8,17.4,21,22.6,22.3,23.3,21.2,18.1,15.4,11.4,9.5,6,2,1,0,0,0,0,0,0,0,1,3,155,214,343,419,544,647,696,692,613,460,265,209,277,163,92,37,10,1,0,0,4,28,142,209,4,7,29,66,146,259,294,292,226,88,14,7,19,28,31,30,31,30,31,31,30,31,30,26,1,0,0,0,0,0,0,0,0,0,0,0,59,73,114,142,173,179,179,169,141,112,73,58,0,0,0,0,7,0,0,0,11,5,0,0,57,58,58,58,60,65,68,67,64,57,55,59,8.13,9.74,5.62,6.77,3.09,4.11,5.5,2.7,-1.61,-1.57,0.71,9.35,0.386999994516373,0.57039999961853,0.549600005149841,0.532400012016296,0.398400008678436,0.398799985647202,0.465599998831749,0.386999994516373,0.57039999961853,2.25821781158447,-0.374239921569824,8.38577651977539,1.03431630134583,12.9465112686157,1445.27001953125,15.0200004577637,0.109999999403954,18.0499992370605,184.130004882812,80622,80622,152,209,11,61.6199989318848,107.120002746582,4821.97021484375,176.199996948242,161.820007324219,366.25,3,0.821099996566772,0.099200002849102,0,0.0640999972820282,0.0063999998383224,0.00920000020414591,0,0,0,0,0,1.29999995231628,1,17,4.19999980926514,3,5,43,38,47.2000007629395,24.6713161468506,16837.25,9852.5,22132,2.25,1.65000009536743,2.84999990463257,1.64499998092651,0.889999985694885,2.71000003814697,0,13665.3330078125,2625566.75,4469384,601452.3125,410316.15625,13680.3330078125,0,0,0,82129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36868.23046875,39329.08984375,42624.5859375,46075.8671875,48931.47265625,50305.890625,49560.890625,47016.28125,43660.953125,40218.46875,37390.85546875,36088.75,NA,NA,NA,NA,NA,NA
"5",30.9131,-88.86587,"RAP1559",57.958667755127,19.3,27.5,9.2,18.3,1887,879,15.5,31.3,56,328,271,23,52.52,13,5258,965,1433,3426,-15.7,40.7,1472,17.2,348,1,60,16.1,19.1,23,26.1,29.6,32.8,33.3,33.4,31.8,27.3,21.1,17.9,2.4,5.6,8.9,11.8,15.8,20.4,21.8,21.5,19.2,12.5,6.2,4.9,9.2,12.4,15.9,19,22.7,26.6,27.5,27.4,25.5,19.9,13.7,11.4,141,172,151,181,166,194,207,182,130,107,94,162,10.2,13.8,17.4,21,22.6,22.3,23.3,21.2,18.1,15.4,11.4,9.5,6,2,1,0,0,0,0,0,0,0,1,3,155,214,343,419,544,647,696,692,613,460,265,209,277,163,92,37,10,1,0,0,4,28,142,209,4,7,29,66,146,259,294,292,226,88,14,7,19,28,31,30,31,30,31,31,30,31,30,26,1,0,0,0,0,0,0,0,0,0,0,0,59,73,114,142,173,179,179,169,141,112,73,58,0,0,0,0,7,0,0,0,11,5,0,0,57,58,58,58,60,65,68,67,64,57,55,59,8.13,9.74,5.62,6.77,3.09,4.11,5.5,2.7,-1.61,-1.57,0.71,9.35,0.386999994516373,0.57039999961853,0.549600005149841,0.532400012016296,0.398400008678436,0.398799985647202,0.465599998831749,0.386999994516373,0.57039999961853,2.25821781158447,-0.374239921569824,8.38577651977539,1.03431630134583,12.9465112686157,1445.27001953125,15.0200004577637,0.109999999403954,18.0499992370605,184.130004882812,80622,80622,152,209,11,61.6199989318848,107.120002746582,4821.97021484375,176.199996948242,161.820007324219,366.25,3,0.821099996566772,0.099200002849102,0,0.0640999972820282,0.0063999998383224,0.00920000020414591,0,0,0,0,0,1.29999995231628,1,17,4.19999980926514,3,5,43,38,47.2000007629395,24.6713161468506,16837.25,9852.5,22132,2.25,1.65000009536743,2.84999990463257,1.64499998092651,0.889999985694885,2.71000003814697,0,13665.3330078125,2625566.75,4469384,601452.3125,410316.15625,13680.3330078125,0,0,0,82129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36868.23046875,39329.08984375,42624.5859375,46075.8671875,48931.47265625,50305.890625,49560.890625,47016.28125,43660.953125,40218.46875,37390.85546875,36088.75,NA,NA,NA,NA,NA,NA
"6",31.00947,-88.78967,"RAP1558",31.8007068634033,19,27.4,8.9,18.5,1904,879,15.2,31.2,62,325,262,26,51.46,14,5165,1010,1382,3344,-16.3,40.9,1496,17.3,341,1,59,15.9,19.1,23,26.2,29.8,32.9,33.4,33.4,31.9,27.4,21.2,18,2,5,8.2,11.2,15.1,19.8,21.3,20.8,18.6,11.9,5.7,4.5,8.9,12.1,15.6,18.7,22.4,26.4,27.4,27.1,25.2,19.6,13.4,11.2,146,178,155,182,170,193,208,177,131,107,95,162,10.1,13.9,17.5,21.2,22.8,23,23.6,21.5,18.2,15.5,11.3,9.4,7,3,1,0,0,0,0,0,0,0,1,3,148,205,334,410,535,641,692,683,604,451,256,204,286,171,99,40,12,2,0,1,5,31,150,214,3,6,27,61,139,253,291,282,218,82,13,7,18,26,31,30,31,30,31,31,30,31,29,24,1,0,0,0,0,0,0,0,0,0,0,0,59,74,115,144,177,183,183,173,143,114,73,58,0,0,0,0,7,0,0,0,12,7,0,0,56,57,56,56,58,63,66,65,62,55,53,58,8.81,10.24,5.87,6.62,3.04,3.62,5.23,1.87,-1.88,-1.82,0.65,9.23,0.306400001049042,0.649999976158142,0.628400027751923,0.530799984931946,0.28600001335144,0.296999990940094,0.418599992990494,0.28600001335144,0.649999976158142,3.24460744857788,1.08499145507812,10.1958560943604,1.02971184253693,9.93957710266113,1475.80004882812,18.8199996948242,0.0799999982118607,18.1000003814697,178.080001831055,80334,80334,154,206,11,62.689998626709,109.379997253418,4938.8701171875,180.089996337891,79.4700012207031,364.5,16,0.999499976634979,0.000500000023748726,0,0,0,0,0,0,0,0,0,1.29999995231628,1,18,4.40000009536743,3.20000004768372,5,40,40,57,24.5970439910889,16822,9840,22255,2.20000004768372,1.60000002384186,2.75,1.63499999046326,0.879999995231628,2.71000003814697,5.48212575912476,68209,5596989.5,3672653.75,983235.3125,1882823.375,13636.6669921875,136416,81846.1640625,0,272725,13644.1669921875,13624.1669921875,0,0,0,0,0,0,0,0,0,0,0,0,36838.92578125,39311.3671875,42621.96875,46088.99609375,48957.91796875,50338.921875,49590.33203125,47033.75390625,43663.05078125,40204.8515625,37364.0390625,36055.6953125,NA,NA,NA,NA,NA,NA
"7",31.28912,-89.44952,"RAP1557",93.3948516845703,19.4,27.8,9.3,18.5,1878,818,15.7,34,51,330,279,33,55.07,13,5306,954,1471,3473,-14.8,40.7,1434,17,352,1,62,15.8,18.8,22.6,25.9,29.5,32.8,33.3,33.4,31.6,27,20.8,17.5,2.9,6.1,9.3,12.3,16.3,21.1,22.2,21.9,19.6,13,6.6,5.5,9.3,12.4,16,19.1,22.9,27,27.8,27.6,25.6,20,13.7,11.5,158,178,166,168,165,172,176,188,117,104,114,172,10.2,13.3,17.3,20.8,22.4,21.8,23.1,21.1,17.9,15.1,11.2,9.4,6,2,1,0,0,0,0,0,0,0,1,3,157,213,346,422,550,659,705,699,616,463,265,211,274,163,90,36,10,1,0,0,4,28,142,206,4,7,30,67,151,270,304,298,229,90,14,7,20,28,31,30,31,30,31,31,30,31,30,29,1,0,0,0,0,0,0,0,0,0,0,0,57,70,110,138,170,175,177,167,137,108,70,55,0,0,0,0,5,3,1,0,20,4,0,0,59,61,60,60,62,67,69,68,66,59,57,62,10,10.61,7.5,5.77,3.26,2.22,2.57,3.46,-2.53,-1.45,2.98,10.68,0.363200008869171,0.558799982070923,0.59799998998642,0.519200026988983,0.373600006103516,0.376399993896484,0.447800010442734,0.363200008869171,0.59799998998642,1.68168926239014,-0.560135841369629,6.87630462646484,1.02612721920013,14.085488319397,1433.5400390625,22.7399997711182,0.0799999982118607,18.75,172.979995727539,80190,80190,149,214,11,60.1500015258789,106.180000305176,4854.89990234375,176.300003051758,76.870002746582,361.75,25,0.85589998960495,0.124399997293949,0,0,0.0175999999046326,0.00209999992512167,0,0,0,0,0,1.29999995231628,2,15,2.90000009536743,3.59999990463257,5,38,45,41.9000015258789,24.7671890258789,16749.75,9609.5,22191.5,2.15000009536743,1.60000002384186,2.75,1.58500003814697,0.860000014305115,2.65500020980835,29.1650829315186,204050.5,1101992,503382,0,40787.5,0,0,163253.671875,135986.328125,748006.8125,13600.1669921875,0,0,0,0,0,0,0,0,0,0,0,0,0,36765.32421875,39266.86328125,42615.39453125,46121.96484375,49024.3359375,50421.8984375,49664.28515625,47077.62890625,43668.3203125,40170.66015625,37296.69921875,35972.65625,NA,NA,NA,NA,NA,NA
"8",31.28912,-89.44952,"RAP1556",93.3948516845703,19.4,27.8,9.3,18.5,1878,818,15.7,34,51,330,279,33,55.07,13,5306,954,1471,3473,-14.8,40.7,1434,17,352,1,62,15.8,18.8,22.6,25.9,29.5,32.8,33.3,33.4,31.6,27,20.8,17.5,2.9,6.1,9.3,12.3,16.3,21.1,22.2,21.9,19.6,13,6.6,5.5,9.3,12.4,16,19.1,22.9,27,27.8,27.6,25.6,20,13.7,11.5,158,178,166,168,165,172,176,188,117,104,114,172,10.2,13.3,17.3,20.8,22.4,21.8,23.1,21.1,17.9,15.1,11.2,9.4,6,2,1,0,0,0,0,0,0,0,1,3,157,213,346,422,550,659,705,699,616,463,265,211,274,163,90,36,10,1,0,0,4,28,142,206,4,7,30,67,151,270,304,298,229,90,14,7,20,28,31,30,31,30,31,31,30,31,30,29,1,0,0,0,0,0,0,0,0,0,0,0,57,70,110,138,170,175,177,167,137,108,70,55,0,0,0,0,5,3,1,0,20,4,0,0,59,61,60,60,62,67,69,68,66,59,57,62,10,10.61,7.5,5.77,3.26,2.22,2.57,3.46,-2.53,-1.45,2.98,10.68,0.363200008869171,0.558799982070923,0.59799998998642,0.519200026988983,0.373600006103516,0.376399993896484,0.447800010442734,0.363200008869171,0.59799998998642,1.68168926239014,-0.560135841369629,6.87630462646484,1.02612721920013,14.085488319397,1433.5400390625,22.7399997711182,0.0799999982118607,18.75,172.979995727539,80190,80190,149,214,11,60.1500015258789,106.180000305176,4854.89990234375,176.300003051758,76.870002746582,361.75,25,0.85589998960495,0.124399997293949,0,0,0.0175999999046326,0.00209999992512167,0,0,0,0,0,1.29999995231628,2,15,2.90000009536743,3.59999990463257,5,38,45,41.9000015258789,24.7671890258789,16749.75,9609.5,22191.5,2.15000009536743,1.60000002384186,2.75,1.58500003814697,0.860000014305115,2.65500020980835,29.1650829315186,204050.5,1101992,503382,0,40787.5,0,0,163253.671875,135986.328125,748006.8125,13600.1669921875,0,0,0,0,0,0,0,0,0,0,0,0,0,36765.32421875,39266.86328125,42615.39453125,46121.96484375,49024.3359375,50421.8984375,49664.28515625,47077.62890625,43668.3203125,40170.66015625,37296.69921875,35972.65625,NA,NA,NA,NA,NA,NA
"9",32.39843,-90.0721,"RAP1547",102.791954040527,18.6,27.7,8,19.7,1746,668,16.4,41.5,63,324,261,137,48.96,19,5029,1137,1364,3246,-16.3,40.9,1370,16.7,335,1,63,14.1,17.2,21.3,24.8,28.7,32.2,33.2,33,31.3,25.9,19.6,16.1,1.9,4.3,8.2,11.6,16.2,20.7,22.1,21.6,19,12.3,5.9,4.4,8,10.8,14.8,18.2,22.4,26.5,27.7,27.3,25.1,19.1,12.8,10.2,158,173,163,190,128,133,148,140,119,102,133,159,9.8,13.2,17.1,20.5,22.1,21.8,23.1,21,17.9,14.5,10.6,8.9,9,4,1,0,0,0,0,0,0,0,1,5,125,174,309,396,535,644,702,689,601,436,239,178,314,198,118,47,12,1,0,0,5,37,166,240,2,4,20,53,139,256,301,289,215,72,10,4,18,20,31,30,31,30,31,31,30,31,29,23,1,0,0,0,0,0,0,0,0,0,0,0,51,65,103,131,162,171,175,163,134,101,64,50,0,0,0,0,34,38,27,23,15,0,0,0,61,59,60,61,64,67,69,68,65,60,58,63,11.15,10.71,7.89,8.73,0.38,-1.13,-0.17,-0.99,-2.26,-0.84,5.54,9.95,0.220799997448921,0.687200009822845,0.655200004577637,0.587999999523163,0.350800007581711,0.385600000619888,0.486800000071526,0.220799997448921,0.687200009822845,8.50945854187012,8.21434593200684,16.7873992919922,1.03006708621979,9.61695003509521,1408.81005859375,39.7000007629395,-0.0399999991059303,20.1499996185303,143.429992675781,76824,76824,132,211,9,55.0800018310547,137.5,5125.41015625,177.869995117188,132.949996948242,331.75,29,0.855099976062775,0.0568999983370304,0,0.000300000014249235,0.00740000000223517,0.00510000018402934,0,0.0747999995946884,0.00039999998989515,0,0,1.29999995231628,0,20,2.29999995231628,4,5.69999980926514,14,54,44.0999984741211,34.5808982849121,16423.25,8991,22084.5,2.84999990463257,2.04999995231628,3.44999980926514,1.49749994277954,0.784999966621399,2.625,32.8624114990234,0,0,0,0,0,0,0,0,0,0,0,13448.5,0,0,0,0,0,0,0,0,0,0,0,0,36481.015625,39095.12109375,42590.03515625,46249.1640625,49280.81640625,50742.52734375,49949.953125,47246.9375,43688.62890625,40038.734375,37036.64453125,35651.7734375,NA,NA,NA,NA,NA,NA
"10",30.45608,-88.35378,"RAP1481",17.2358856201172,20.2,27.9,10.8,17.1,1812,927,16.7,30.1,42,340,299,6,63.85,9,5595,763,1587,3728,-11.5,39.2,1322,16.3,358,0,69,16.5,19,22,25,28.7,31.6,32.1,32.4,30.9,27,21.4,18.3,5.2,8.4,11.2,14.3,18.3,22.7,23.5,23.3,21.5,15.6,9.3,7.8,10.8,13.7,16.6,19.6,23.5,27.1,27.8,27.9,26.2,21.3,15.3,13.1,125,148,121,163,148,191,219,213,156,114,76,138,10.2,12.6,16.8,19.8,21.7,19.7,22,20.3,17.4,14.4,11,9.3,4,2,1,0,0,0,0,0,0,0,0,2,195,250,363,437,568,662,705,708,634,503,312,260,228,130,77,31,8,1,0,0,3,18,103,164,6,11,36,76,172,273,304,307,247,119,24,13,24,28,31,30,31,30,31,31,30,31,30,31,0,0,0,0,0,0,0,0,0,0,0,0,58,69,102,126,154,154,156,150,124,103,70,56,0,0,0,0,6,0,0,0,0,0,0,0,64,67,67,68,70,74,75,74,73,66,63,67,6.55,8.08,4.07,6.85,3.39,6.65,9.31,8.21,3.32,0.58,-0.52,7.37,0.370599985122681,0.667200028896332,0.628000020980835,0.490399986505508,0.428400009870529,0.490399986505508,0.490399986505508,0.370599985122681,0.667200028896332,1.60384678840637,-0.431648015975952,7.29631423950195,1.03248202800751,13.8934135437012,1321.4599609375,16.2600002288818,0.170000001788139,17.2000007629395,198.490005493164,83556,83556,156,225,12,59.8400001525879,75.4100036621094,4087.30004882812,157.449996948242,146.25,396,19,0.789499998092651,0.159500002861023,0,0.0434000007808208,0.00209999992512167,0.00549999997019768,0,0,0,0,0,1.29999995231628,0,21,7.5,3.20000004768372,5.19999980926514,47,30,56.0999984741211,23.0501918792725,16998.75,10129,22133.5,3.52499985694885,2.65000009536743,4.05000019073486,1.76250004768372,0.985000014305115,2.79500007629395,15.5704689025879,0,0,151190.5,0,0,0,0,178665.5,0,96218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36984.6796875,39399.54296875,42635,46023.6640625,48826.37890625,50174.65234375,49443.88671875,46946.82421875,43652.6171875,40272.60546875,37497.41015625,36220.08984375,NA,NA,NA,NA,NA,NA
