"","Latitude","Longitude","Elevation","MAT","MWMT","MCMT","TD","MAP","MSP","AHM","SHM","bFFP","eFFP","FFP","CMD","CMI","DD_0","DD5","DD_18","DD18","DD1040","EMT","EXT","Eref","rsds","NFFD","PAS","RH","Tmax01","Tmax02","Tmax03","Tmax04","Tmax05","Tmax06","Tmax07","Tmax08","Tmax09","Tmax10","Tmax11","Tmax12","Tmin01","Tmin02","Tmin03","Tmin04","Tmin05","Tmin06","Tmin07","Tmin08","Tmin09","Tmin10","Tmin11","Tmin12","Tave01","Tave02","Tave03","Tave04","Tave05","Tave06","Tave07","Tave08","Tave09","Tave10","Tave11","Tave12","PPT01","PPT02","PPT03","PPT04","PPT05","PPT06","PPT07","PPT08","PPT09","PPT10","PPT11","PPT12","rsds01","rsds02","rsds03","rsds04","rsds05","rsds06","rsds07","rsds08","rsds09","rsds10","rsds11","rsds12","DD_0_01","DD_0_02","DD_0_03","DD_0_04","DD_0_05","DD_0_06","DD_0_07","DD_0_08","DD_0_09","DD_0_10","DD_0_11","DD_0_12","DD5_01","DD5_02","DD5_03","DD5_04","DD5_05","DD5_06","DD5_07","DD5_08","DD5_09","DD5_10","DD5_11","DD5_12","DD_18_01","DD_18_02","DD_18_03","DD_18_04","DD_18_05","DD_18_06","DD_18_07","DD_18_08","DD_18_09","DD_18_10","DD_18_11","DD_18_12","DD18_01","DD18_02","DD18_03","DD18_04","DD18_05","DD18_06","DD18_07","DD18_08","DD18_09","DD18_10","DD18_11","DD18_12","NFFD01","NFFD02","NFFD03","NFFD04","NFFD05","NFFD06","NFFD07","NFFD08","NFFD09","NFFD10","NFFD11","NFFD12","PAS01","PAS02","PAS03","PAS04","PAS05","PAS06","PAS07","PAS08","PAS09","PAS10","PAS11","PAS12","Eref01","Eref02","Eref03","Eref04","Eref05","Eref06","Eref07","Eref08","Eref09","Eref10","Eref11","Eref12","CMD01","CMD02","CMD03","CMD04","CMD05","CMD06","CMD07","CMD08","CMD09","CMD10","CMD11","CMD12","RH01","RH02","RH03","RH04","RH05","RH06","RH07","RH08","RH09","RH10","RH11","RH12","CMI01","CMI02","CMI03","CMI04","CMI05","CMI06","CMI07","CMI08","CMI09","CMI10","CMI11","CMI12","EVI_1","EVI_2","EVI_3","EVI_4","EVI_5","EVI_6","EVI_median","EVI_min","EVI_max","TRI","TPI","roughness","HLI","TWI","annualPET","aridityIndexThornthwaite","climaticMoistureIndex","continentality","embergerQ","growingDegDays0","growingDegDays5","maxTempColdest","minTempWarmest","monthCountByTemp10","PETColdestQuarter","PETDriestQuarter","PETseasonality","PETWarmestQuarter","PETWettestQuarter","thermicityIndex","footprint_value","trees","grassland","shrubs","cropland","built","bare","snow","water","wetland","mangroves","moss","Bulk_density","Coarse_fragments_volume","Nitrogen_content","Organic_carb_density","pH_H2O","Sand_fraction","Silt_fraction","Soil_organic_carb"
"SRR15815573",32.83631,-89.09802,126,17.9,27.2,7.4,19.8,1694,611,16.5,44.5,75,319,244,190,47,23,4807,1267,1258,3060,-17.4,40.6,1349,16.5,315,2,62,13.6,16.5,20.7,24.2,28.1,31.7,32.7,32.7,30.8,25.4,18.7,15.3,1.2,3.7,7.3,11,15.4,20,21.6,21.1,18.2,11.6,4.8,3.5,7.4,10.1,14,17.6,21.8,25.9,27.2,26.9,24.5,18.5,11.8,9.4,155,190,161,201,119,130,144,125,93,96,124,156,9.8,12.9,17,20.4,21.9,21.8,22.8,20.8,17.7,14.4,10.5,8.8,10,4,1,0,0,0,0,0,0,0,1,6,112,158,285,378,517,626,686,677,583,418,209,157,333,217,139,56,14,2,0,1,6,44,191,264,2,3,15,45,125,238,285,276,197,61,7,3,16,14,31,30,31,30,31,31,30,31,26,14,2,0,0,0,0,0,0,0,0,0,0,0,49,63,101,129,160,170,173,162,133,99,62,48,0,0,0,0,41,40,29,37,40,3,0,0,60,60,59,61,63,67,69,67,64,59,57,62,11.16,12.68,7.88,10.14,-0.24,-1.2,-0.23,-2.4,-4.67,-1.23,4.98,10.12,0.2354,0.5472,0.5872,0.556,0.3376,0.3966,0.4719,0.2354,0.5872,5.25,-3,24,1.14540057013342,11.5656394958496,1378.96997070312,34.2999992370605,0.0399999991059303,20.3999996185303,151.660003662109,73440,73440,124,205,9,53.0200004577637,134.139999389648,5070.919921875,174.179992675781,99.5599975585938,306,13,0.945100009441376,0.0194000005722046,0,0,0.0162000004202127,0.0193000007420778,0,0,0,0,0,1.39999997615814,1,2.20000004768372,4.30000019073486,5.30000019073486,18,54,44.2000007629395
"SRR15815575",30.37713,-89.2749,12,20.3,28,10.6,17.4,1812,915,16.7,30.6,41,341,301,9,68.89,9,5606,774,1607,3742,-11.3,39.4,1280,16.1,358,0,71,15.9,18.5,21.7,24.6,28.4,31.4,32.1,32.2,30.7,26.7,20.9,17.8,5.3,8.7,11.5,15.1,18.9,22.9,23.8,23.6,21.9,16,9.7,7.9,10.6,13.6,16.6,19.9,23.6,27.1,28,27.9,26.3,21.4,15.3,12.9,136,146,126,177,151,180,216,224,144,91,84,137,10.2,12.4,16.8,19.5,21.5,19.3,22,20.2,17.3,14,10.7,9.2,4,2,1,0,0,0,0,0,0,0,0,2,190,247,364,446,571,662,711,708,637,506,312,254,234,132,77,28,8,1,0,0,3,17,103,169,5,11,36,82,175,273,310,307,250,121,25,12,24,28,31,30,31,30,31,31,30,31,30,31,0,0,0,0,0,0,0,0,0,0,0,0,56,66,100,119,147,150,154,146,121,100,67,54,0,0,0,0,0,0,0,0,0,9,0,0,66,69,69,71,72,76,76,75,75,68,65,69,8,8.28,4.89,8.9,4.29,5.92,9.2,9.75,2.58,-1.26,0.75,7.6,0.3918,0.6232,0.5368,0.5492,0.386,0.3828,0.4643,0.3828,0.6232,4.625,-1.625,18,1.14510483916283,12.3002052307129,1345.10998535156,14.1999998092651,0.159999996423721,17.1000003814697,198.419998168945,84384,84384,156,223,12,59.6300010681152,75.5899963378906,4275.740234375,161.710006713867,149.820007324219,401,22,0.679499983787537,0.178900003433228,0,0.00100000004749745,0.0878000035881996,0.0527999997138977,0,0,0,0,0,1.29999995231628,0,7,3.59999990463257,5.30000019073486,32,34,51
"SRR15815577",30.37713,-89.2749,12,20.3,28,10.6,17.4,1812,915,16.7,30.6,41,341,301,9,68.89,9,5606,774,1607,3742,-11.3,39.4,1280,16.1,358,0,71,15.9,18.5,21.7,24.6,28.4,31.4,32.1,32.2,30.7,26.7,20.9,17.8,5.3,8.7,11.5,15.1,18.9,22.9,23.8,23.6,21.9,16,9.7,7.9,10.6,13.6,16.6,19.9,23.6,27.1,28,27.9,26.3,21.4,15.3,12.9,136,146,126,177,151,180,216,224,144,91,84,137,10.2,12.4,16.8,19.5,21.5,19.3,22,20.2,17.3,14,10.7,9.2,4,2,1,0,0,0,0,0,0,0,0,2,190,247,364,446,571,662,711,708,637,506,312,254,234,132,77,28,8,1,0,0,3,17,103,169,5,11,36,82,175,273,310,307,250,121,25,12,24,28,31,30,31,30,31,31,30,31,30,31,0,0,0,0,0,0,0,0,0,0,0,0,56,66,100,119,147,150,154,146,121,100,67,54,0,0,0,0,0,0,0,0,0,9,0,0,66,69,69,71,72,76,76,75,75,68,65,69,8,8.28,4.89,8.9,4.29,5.92,9.2,9.75,2.58,-1.26,0.75,7.6,0.3918,0.6232,0.5368,0.5492,0.386,0.3828,0.4643,0.3828,0.6232,4.625,-1.625,18,1.14510483916283,12.3002052307129,1345.10998535156,14.1999998092651,0.159999996423721,17.1000003814697,198.419998168945,84384,84384,156,223,12,59.6300010681152,75.5899963378906,4275.740234375,161.710006713867,149.820007324219,401,22,0.679499983787537,0.178900003433228,0,0.00100000004749745,0.0878000035881996,0.0527999997138977,0,0,0,0,0,1.29999995231628,0,7,3.59999990463257,5.30000019073486,32,34,51
"SRR15815579",30.9131,-88.86587,59,19.3,27.5,9.2,18.3,1887,879,15.5,31.3,56,328,271,23,52.51,13,5258,965,1433,3426,-15.7,40.7,1472,17.2,348,1,60,16.1,19.1,23,26.1,29.6,32.8,33.3,33.4,31.8,27.3,21.1,17.9,2.4,5.6,8.9,11.8,15.8,20.4,21.8,21.5,19.2,12.5,6.2,4.9,9.2,12.4,15.9,19,22.7,26.6,27.5,27.4,25.5,19.9,13.7,11.4,141,172,151,181,166,194,207,182,130,107,94,162,10.2,13.8,17.4,21,22.6,22.3,23.3,21.2,18.1,15.4,11.4,9.5,6,2,1,0,0,0,0,0,0,0,1,3,155,214,343,419,544,647,696,692,613,460,265,209,277,163,92,37,10,1,0,0,4,28,142,209,4,7,29,66,146,259,294,292,226,88,14,7,19,28,31,30,31,30,31,31,30,31,30,26,1,0,0,0,0,0,0,0,0,0,0,0,59,73,114,142,173,179,179,169,141,112,73,58,0,0,0,0,7,0,0,0,11,5,0,0,57,58,58,58,60,65,68,67,64,57,55,59,8.13,9.74,5.62,6.77,3.09,4.11,5.5,2.7,-1.62,-1.57,0.71,9.34,0.387,0.5704,0.5496,0.5324,0.3984,0.3988,0.4656,0.387,0.5704,7.875,-6.625,19,1.14584322874235,13.3012924194336,1445.27001953125,15.0200004577637,0.109999999403954,18.0499992370605,184.130004882812,80622,80622,152,209,11,61.6199989318848,107.120002746582,4821.97021484375,176.199996948242,161.820007324219,366.25,3,0.821099996566772,0.099200002849102,0,0.0640999972820282,0.0063999998383224,0.00920000020414591,0,0,0,0,0,1.29999995231628,1,4.19999980926514,3,5,43,38,47.2000007629395
"SRR15815581",30.9131,-88.86587,59,19.3,27.5,9.2,18.3,1887,879,15.5,31.3,56,328,271,23,52.51,13,5258,965,1433,3426,-15.7,40.7,1472,17.2,348,1,60,16.1,19.1,23,26.1,29.6,32.8,33.3,33.4,31.8,27.3,21.1,17.9,2.4,5.6,8.9,11.8,15.8,20.4,21.8,21.5,19.2,12.5,6.2,4.9,9.2,12.4,15.9,19,22.7,26.6,27.5,27.4,25.5,19.9,13.7,11.4,141,172,151,181,166,194,207,182,130,107,94,162,10.2,13.8,17.4,21,22.6,22.3,23.3,21.2,18.1,15.4,11.4,9.5,6,2,1,0,0,0,0,0,0,0,1,3,155,214,343,419,544,647,696,692,613,460,265,209,277,163,92,37,10,1,0,0,4,28,142,209,4,7,29,66,146,259,294,292,226,88,14,7,19,28,31,30,31,30,31,31,30,31,30,26,1,0,0,0,0,0,0,0,0,0,0,0,59,73,114,142,173,179,179,169,141,112,73,58,0,0,0,0,7,0,0,0,11,5,0,0,57,58,58,58,60,65,68,67,64,57,55,59,8.13,9.74,5.62,6.77,3.09,4.11,5.5,2.7,-1.62,-1.57,0.71,9.34,0.387,0.5704,0.5496,0.5324,0.3984,0.3988,0.4656,0.387,0.5704,7.875,-6.625,19,1.14584322874235,13.3012924194336,1445.27001953125,15.0200004577637,0.109999999403954,18.0499992370605,184.130004882812,80622,80622,152,209,11,61.6199989318848,107.120002746582,4821.97021484375,176.199996948242,161.820007324219,366.25,3,0.821099996566772,0.099200002849102,0,0.0640999972820282,0.0063999998383224,0.00920000020414591,0,0,0,0,0,1.29999995231628,1,4.19999980926514,3,5,43,38,47.2000007629395
"SRR15815583",31.00947,-88.78967,26,19,27.4,8.9,18.5,1902,879,15.2,31.2,63,324,261,26,51.03,14,5165,1009,1382,3344,-16.4,40.9,1499,17.3,340,1,59,15.9,19.1,23.1,26.3,29.8,32.9,33.4,33.4,31.9,27.4,21.2,18.1,1.9,4.9,8.2,11.2,15.1,19.7,21.3,20.8,18.6,11.9,5.7,4.4,8.9,12,15.7,18.8,22.4,26.3,27.4,27.1,25.2,19.6,13.4,11.2,146,178,155,182,170,193,208,177,131,107,95,160,10.1,14,17.5,21.2,22.8,23,23.6,21.5,18.2,15.5,11.3,9.4,7,3,1,0,0,0,0,0,0,0,1,3,148,202,337,413,535,638,692,683,604,451,256,204,286,173,96,39,12,2,0,1,5,31,150,214,3,6,27,62,139,250,291,282,218,82,13,7,18,25,31,30,31,30,31,31,30,31,29,23,1,0,0,0,0,0,0,0,0,0,0,0,59,74,116,145,177,183,183,173,143,114,73,59,0,0,0,0,7,0,0,0,12,7,0,0,56,56,56,56,58,63,66,65,62,55,53,57,8.82,10.22,5.79,6.54,3.05,3.58,5.24,1.88,-1.87,-1.81,0.66,8.95,0.3064,0.65,0.6284,0.5308,0.286,0.297,0.4186,0.286,0.65,6.125,-6.125,9,1.14420646317348,15.6787748336792,1475.80004882812,18.8199996948242,0.0799999982118607,18.1000003814697,178.080001831055,80334,80334,154,206,11,62.689998626709,109.379997253418,4938.8701171875,180.089996337891,79.4700012207031,364.5,16,0.999499976634979,0.000500000023748726,0,0,0,0,0,0,0,0,0,1.29999995231628,1,4.40000009536743,3.20000004768372,5,40,40,57
"SRR15815585",31.28912,-89.44952,100,19.4,27.8,9.3,18.5,1878,818,15.7,34,51,331,279,32,55.15,13,5309,954,1473,3476,-14.8,40.7,1433,17,352,1,62,15.8,18.8,22.6,25.9,29.5,32.8,33.3,33.4,31.6,27,20.7,17.5,2.9,6.1,9.3,12.3,16.4,21.1,22.2,21.9,19.6,13.1,6.7,5.5,9.3,12.4,16,19.1,23,27,27.8,27.6,25.6,20,13.7,11.5,158,178,166,168,165,172,176,188,117,104,114,172,10.2,13.3,17.3,20.8,22.3,21.8,23.1,21.1,17.9,15.1,11.2,9.4,6,2,1,0,0,0,0,0,0,0,1,3,157,213,346,422,553,659,705,699,616,463,265,211,274,163,90,36,9,1,0,0,4,28,142,206,4,7,30,67,153,270,304,298,229,90,14,7,20,28,31,30,31,30,31,31,30,31,30,29,1,0,0,0,0,0,0,0,0,0,0,0,57,70,110,138,169,175,177,167,137,108,70,55,0,0,0,0,4,3,1,0,20,4,0,0,59,61,60,60,62,67,69,68,66,59,57,62,10,10.61,7.5,5.76,3.29,2.21,2.56,3.45,-2.54,-1.43,3.07,10.68,0.3632,0.5588,0.598,0.5192,0.3736,0.3764,0.4478,0.3632,0.598,6.875,-3.375,28,1.14834916862843,11.2512807846069,1433.5400390625,22.7399997711182,0.0799999982118607,18.75,172.979995727539,80190,80190,149,214,11,60.1500015258789,106.180000305176,4854.89990234375,176.300003051758,76.870002746582,361.75,25,0.85589998960495,0.124399997293949,0,0,0.0175999999046326,0.00209999992512167,0,0,0,0,0,1.29999995231628,2,2.90000009536743,3.59999990463257,5,38,45,41.9000015258789
"SRR15815587",31.28912,-89.44952,100,19.4,27.8,9.3,18.5,1878,818,15.7,34,51,331,279,32,55.15,13,5309,954,1473,3476,-14.8,40.7,1433,17,352,1,62,15.8,18.8,22.6,25.9,29.5,32.8,33.3,33.4,31.6,27,20.7,17.5,2.9,6.1,9.3,12.3,16.4,21.1,22.2,21.9,19.6,13.1,6.7,5.5,9.3,12.4,16,19.1,23,27,27.8,27.6,25.6,20,13.7,11.5,158,178,166,168,165,172,176,188,117,104,114,172,10.2,13.3,17.3,20.8,22.3,21.8,23.1,21.1,17.9,15.1,11.2,9.4,6,2,1,0,0,0,0,0,0,0,1,3,157,213,346,422,553,659,705,699,616,463,265,211,274,163,90,36,9,1,0,0,4,28,142,206,4,7,30,67,153,270,304,298,229,90,14,7,20,28,31,30,31,30,31,31,30,31,30,29,1,0,0,0,0,0,0,0,0,0,0,0,57,70,110,138,169,175,177,167,137,108,70,55,0,0,0,0,4,3,1,0,20,4,0,0,59,61,60,60,62,67,69,68,66,59,57,62,10,10.61,7.5,5.76,3.29,2.21,2.56,3.45,-2.54,-1.43,3.07,10.68,0.3632,0.5588,0.598,0.5192,0.3736,0.3764,0.4478,0.3632,0.598,6.875,-3.375,28,1.14834916862843,11.2512807846069,1433.5400390625,22.7399997711182,0.0799999982118607,18.75,172.979995727539,80190,80190,149,214,11,60.1500015258789,106.180000305176,4854.89990234375,176.300003051758,76.870002746582,361.75,25,0.85589998960495,0.124399997293949,0,0,0.0175999999046326,0.00209999992512167,0,0,0,0,0,1.29999995231628,2,2.90000009536743,3.59999990463257,5,38,45,41.9000015258789
"SRR15815589",32.39843,-90.0721,94,18.6,27.7,8,19.7,1746,668,16.4,41.5,63,324,261,138,48.99,19,5024,1145,1366,3243,-16.3,41,1372,16.7,335,1,63,14.1,17.1,21.3,24.8,28.7,32.2,33.2,33.1,31.3,26,19.5,16,1.9,4.3,8.1,11.6,16.2,20.7,22.1,21.6,19,12.3,5.9,4.3,8,10.7,14.7,18.2,22.4,26.5,27.7,27.4,25.1,19.1,12.7,10.2,158,173,163,190,128,133,148,140,119,102,133,159,9.8,13,17.1,20.5,22.1,21.8,23.1,21,17.9,14.6,10.6,8.9,9,4,1,0,0,0,0,0,0,0,1,5,125,172,306,396,535,644,702,692,601,436,236,178,314,200,120,47,12,1,0,0,5,37,168,240,2,4,20,53,139,256,301,292,215,72,9,4,18,20,31,30,31,30,31,31,30,31,29,22,1,0,0,0,0,0,0,0,0,0,0,0,51,65,103,131,162,171,175,164,134,102,64,50,0,0,0,0,34,38,27,24,15,0,0,0,61,60,60,61,64,67,69,68,65,60,58,63,11.16,10.77,7.87,8.74,0.39,-1.12,-0.16,-1.1,-2.25,-0.92,5.61,9.99,0.2208,0.6872,0.6552,0.588,0.3508,0.3856,0.4868,0.2208,0.6872,3.5,-0.5,12,1.1434802427339,12.2402305603027,1408.81005859375,39.7000007629395,-0.0399999991059303,20.1499996185303,143.429992675781,76824,76824,132,211,9,55.0800018310547,137.5,5125.41015625,177.869995117188,132.949996948242,331.75,29,0.855099976062775,0.0568999983370304,0,0.000300000014249235,0.00740000000223517,0.00510000018402934,0,0.0747999995946884,0.00039999998989515,0,0,1.29999995231628,0,2.29999995231628,4,5.69999980926514,14,54,44.0999984741211
"SRR15815593",30.45608,-88.35378,18,20.2,27.9,10.8,17.1,1812,927,16.7,30.1,42,340,299,6,63.82,9,5595,763,1587,3728,-11.5,39.2,1322,16.3,358,0,69,16.5,19,22,25,28.7,31.6,32.1,32.4,30.9,27,21.4,18.3,5.2,8.4,11.2,14.3,18.3,22.7,23.5,23.3,21.5,15.6,9.2,7.8,10.8,13.7,16.6,19.6,23.5,27.1,27.8,27.9,26.2,21.3,15.3,13.1,125,148,121,163,148,191,219,213,156,114,76,138,10.2,12.6,16.8,19.8,21.7,19.7,22,20.3,17.4,14.4,11,9.3,4,2,1,0,0,0,0,0,0,0,0,2,195,250,363,437,568,662,705,708,634,503,312,260,228,130,77,31,8,1,0,0,3,18,103,164,6,11,36,76,172,273,304,307,247,119,24,13,24,28,31,30,31,30,31,31,30,31,30,31,0,0,0,0,0,0,0,0,0,0,0,0,58,69,102,126,154,154,156,150,124,103,70,56,0,0,0,0,6,0,0,0,0,0,0,0,64,67,67,68,70,74,75,74,73,66,63,67,6.55,8.08,4.07,6.85,3.39,6.65,9.31,8.21,3.32,0.58,-0.55,7.37,0.3706,0.6672,0.628,0.4904,0.4284,0.4904,0.4904,0.3706,0.6672,5.875,-5.125,13,1.14729233107481,13.6645536422729,1321.4599609375,16.2600002288818,0.170000001788139,17.2000007629395,198.490005493164,83556,83556,156,225,12,59.8400001525879,75.4100036621094,4087.30004882812,157.449996948242,146.25,396,19,0.789499998092651,0.159500002861023,0,0.0434000007808208,0.00209999992512167,0.00549999997019768,0,0,0,0,0,1.29999995231628,0,7.5,3.20000004768372,5.19999980926514,47,30,56.0999984741211
