"ID","Latitude","Longitude","Sample","Elevation","MAT","MWMT","MCMT","TD","MAP","MSP","AHM","SHM","bFFP","eFFP","FFP","CMD","CMI","DD_0","DD5","DD_18","DD18","DD1040","EMT","EXT","Eref","rsds","NFFD","PAS","RH","Tmax01","Tmax02","Tmax03","Tmax04","Tmax05","Tmax06","Tmax07","Tmax08","Tmax09","Tmax10","Tmax11","Tmax12","Tmin01","Tmin02","Tmin03","Tmin04","Tmin05","Tmin06","Tmin07","Tmin08","Tmin09","Tmin10","Tmin11","Tmin12","Tave01","Tave02","Tave03","Tave04","Tave05","Tave06","Tave07","Tave08","Tave09","Tave10","Tave11","Tave12","PPT01","PPT02","PPT03","PPT04","PPT05","PPT06","PPT07","PPT08","PPT09","PPT10","PPT11","PPT12","rsds01","rsds02","rsds03","rsds04","rsds05","rsds06","rsds07","rsds08","rsds09","rsds10","rsds11","rsds12","DD_0_01","DD_0_02","DD_0_03","DD_0_04","DD_0_05","DD_0_06","DD_0_07","DD_0_08","DD_0_09","DD_0_10","DD_0_11","DD_0_12","DD5_01","DD5_02","DD5_03","DD5_04","DD5_05","DD5_06","DD5_07","DD5_08","DD5_09","DD5_10","DD5_11","DD5_12","DD_18_01","DD_18_02","DD_18_03","DD_18_04","DD_18_05","DD_18_06","DD_18_07","DD_18_08","DD_18_09","DD_18_10","DD_18_11","DD_18_12","DD18_01","DD18_02","DD18_03","DD18_04","DD18_05","DD18_06","DD18_07","DD18_08","DD18_09","DD18_10","DD18_11","DD18_12","NFFD01","NFFD02","NFFD03","NFFD04","NFFD05","NFFD06","NFFD07","NFFD08","NFFD09","NFFD10","NFFD11","NFFD12","PAS01","PAS02","PAS03","PAS04","PAS05","PAS06","PAS07","PAS08","PAS09","PAS10","PAS11","PAS12","Eref01","Eref02","Eref03","Eref04","Eref05","Eref06","Eref07","Eref08","Eref09","Eref10","Eref11","Eref12","CMD01","CMD02","CMD03","CMD04","CMD05","CMD06","CMD07","CMD08","CMD09","CMD10","CMD11","CMD12","RH01","RH02","RH03","RH04","RH05","RH06","RH07","RH08","RH09","RH10","RH11","RH12","CMI01","CMI02","CMI03","CMI04","CMI05","CMI06","CMI07","CMI08","CMI09","CMI10","CMI11","CMI12","EVI_1","EVI_2","EVI_3","EVI_4","EVI_5","EVI_6","EVI_median","EVI_min","EVI_max","TRI","TPI","roughness","HLI","TWI","annualPET","climaticMoistureIndex","aridityIndexThornthwaite","continentality","embergerQ","growingDegDays0","growingDegDays5","maxTempColdest","minTempWarmest","monthCountByTemp10","PETColdestQuarter","PETDriestQuarter","PETseasonality","PETWarmestQuarter","PETWettestQuarter","thermicityIndex","Footprint","trees","grassland","shrubs","cropland","built","bare","snow","water","wetland","mangroves","moss","Bulk_density","Coarse_fragments_volume","Clay_fraction","Nitrogen_content","Organic_carb_density","pH_H2O","Sand_fraction","Silt_fraction","Soil_organic_carb","Forestheight","srad_median","srad_min","srad_max","wind_median","wind_min","wind_max","vapr_median","vapr_min","vapr_max","Nighttime_light","Burned_area_01","Burned_area_02","Burned_area_03","Burned_area_04","Burned_area_05","Burned_area_06","Burned_area_07","Burned_area_08","Burned_area_09","Burned_area_10","Burned_area_11","Burned_area_12","snow_water_equivalent_01","snow_water_equivalent_02","snow_water_equivalent_03","snow_water_equivalent_04","snow_water_equivalent_05","snow_water_equivalent_06","snow_water_equivalent_07","snow_water_equivalent_08","snow_water_equivalent_09","snow_water_equivalent_10","snow_water_equivalent_11","snow_water_equivalent_12","Daylength_01","Daylength_02","Daylength_03","Daylength_04","Daylength_05","Daylength_06","Daylength_07","Daylength_08","Daylength_09","Daylength_10","Daylength_11","Daylength_12","soil_moisture_01","soil_moisture_02","soil_moisture_03","soil_moisture_04","soil_moisture_05","soil_moisture_06"
"1",34.70805,-83.91265,"RAP0662",677.972900390625,14.1,23.5,3.6,19.9,2115,845,11.4,27.8,108,297,189,0,112.4,62,3555,2025,612,2025,-21.9,37.1,1163,15.7,240,9,62,9.4,12.1,15.8,20.4,24.3,27.6,29.1,28.4,26.2,21.3,15.8,12.3,-2.3,-0.3,3.2,7.2,11.8,15.7,17.8,17.1,14.3,8.1,2.1,0.9,3.6,5.9,9.5,13.8,18,21.6,23.5,22.8,20.2,14.7,9,6.6,172,175,150,196,173,169,171,176,156,213,138,226,10.6,12.2,16.1,19.8,19.7,21.9,20,18.4,15.6,14.1,11,9.4,28,14,4,0,0,0,0,0,0,0,3,12,48,72,158,265,403,497,573,551,455,302,139,92,449,335,266,140,50,11,3,5,25,120,271,351,0,0,3,14,48,114,172,150,91,17,2,1,10,0,12,30,31,30,31,31,30,31,4,1,7,1,0,0,0,0,0,0,0,0,0,0,38,50,81,112,142,153,158,143,112,83,52,39,0,0,0,0,0,0,0,0,0,0,0,0,60,59,60,60,63,65,67,67,65,60,57,63,14.81,13.81,8.82,11.08,6.9,4.69,4.15,5.12,4.28,12.33,7.66,18.75,0.249799996614456,0.663600027561188,0.663600027561188,0.514400005340576,0.252600014209747,0.275599986314774,0.394999995827675,0.249799996614456,0.663600027561188,39.0869598388672,-22.48828125,110.967529296875,0.92345118522644,6.88569641113281,1192.17004394531,12.8699998855591,0.28999999165535,20.2999992370605,180.440002441406,54792,38407.5,82,163,7,41.5900001525879,115.48999786377,4812.68994140625,156.149993896484,56.4199981689453,180.5,10,0.996999979019165,0,0,0,0.00300000002607703,0,0,0,0,0,0,1.10000002384186,13,20,5.5,4.59999990463257,4.90000009536743,50,29,86.9000015258789,31.1444721221924,15585.75,8339,21339.5,2.85000002384186,2.15000009536743,3.5,1.12500002980232,0.534999966621399,2.13499999046326,0,0,131022,1624798.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35856.5390625,38718.84765625,42534.55859375,46527.66796875,49843.7578125,51447.52734375,50577.43359375,47617.87890625,43733.0625,39749.8671875,36465.8125,34946.2109375,NA,NA,NA,NA,NA,NA
"2",34.777,-84.33188,"RAP0676",687.488464355469,14.3,23.6,3.6,20,2053,783,11.8,30.1,109,296,188,7,99.22,60,3613,1984,639,2070,-21.6,37.7,1208,15.9,242,9,60,9.5,12.3,16.1,21.1,25,28.4,29.8,29,27.3,22.2,15.8,12.4,-2.3,0.3,3.4,6.9,11.1,15.4,17.5,16.7,13.9,7.8,1.9,1.3,3.6,6.3,9.8,14,18,21.9,23.6,22.9,20.6,15,8.8,6.9,163,197,172,194,154,167,158,169,135,174,150,220,10.6,11.9,16.1,20.1,19.9,22.7,20.2,18.6,16,14.6,11,9.4,28,12,4,0,0,0,0,0,0,0,4,11,48,78,166,271,403,506,576,554,467,311,134,98,449,324,256,135,50,10,3,4,22,112,277,342,0,0,4,15,48,123,175,153,100,19,2,1,10,0,14,30,31,30,31,31,30,31,3,1,7,1,0,0,0,0,0,0,0,0,0,0,38,49,82,117,149,161,165,149,120,87,52,39,0,0,0,0,0,0,7,0,0,0,0,0,60,61,60,57,59,62,65,64,61,57,56,64,13.87,15.87,10.77,10.27,4.11,3.47,1.86,3.54,0.88,7.62,8.87,18.08,0.205599993467331,0.80239999294281,0.80239999294281,0.589999973773956,0.301600009202957,0.245800003409386,0.445799991488457,0.205599993467331,0.80239999294281,51.1979141235352,-15.9367141723633,140.331909179688,1.04380822181702,8.27591705322266,1200.39001464844,14.8000001907349,0.259999990463257,20.7999992370605,172.320007324219,55350,38920.5,79,166,7,40.5699996948242,117.75,4972.7001953125,159.119995117188,55.3499984741211,182,3,1,0,0,0,0,0,0,0,0,0,0,1.10000002384186,12,18,5.09999990463257,4.80000019073486,5,49,32,81.5,31.5881824493408,15579,8181.5,21364.5,2.65000009536743,2,3.29999995231628,1.13249999284744,0.539999961853027,2.15499997138977,0,0,13092.3330078125,445136.34375,0,0,0,0,0,0,248644.671875,772077.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,35824.31640625,38699.46875,42531.70703125,46542.00390625,49872.7890625,51483.9296875,50609.8125,47636.98046875,43735.34765625,39734.99609375,36436.37109375,34909.77734375,NA,NA,NA,NA,NA,NA
"3",34.777,-84.33188,"RAP0677",687.488464355469,14.3,23.6,3.6,20,2053,783,11.8,30.1,109,296,188,7,99.22,60,3613,1984,639,2070,-21.6,37.7,1208,15.9,242,9,60,9.5,12.3,16.1,21.1,25,28.4,29.8,29,27.3,22.2,15.8,12.4,-2.3,0.3,3.4,6.9,11.1,15.4,17.5,16.7,13.9,7.8,1.9,1.3,3.6,6.3,9.8,14,18,21.9,23.6,22.9,20.6,15,8.8,6.9,163,197,172,194,154,167,158,169,135,174,150,220,10.6,11.9,16.1,20.1,19.9,22.7,20.2,18.6,16,14.6,11,9.4,28,12,4,0,0,0,0,0,0,0,4,11,48,78,166,271,403,506,576,554,467,311,134,98,449,324,256,135,50,10,3,4,22,112,277,342,0,0,4,15,48,123,175,153,100,19,2,1,10,0,14,30,31,30,31,31,30,31,3,1,7,1,0,0,0,0,0,0,0,0,0,0,38,49,82,117,149,161,165,149,120,87,52,39,0,0,0,0,0,0,7,0,0,0,0,0,60,61,60,57,59,62,65,64,61,57,56,64,13.87,15.87,10.77,10.27,4.11,3.47,1.86,3.54,0.88,7.62,8.87,18.08,0.205599993467331,0.80239999294281,0.80239999294281,0.589999973773956,0.301600009202957,0.245800003409386,0.445799991488457,0.205599993467331,0.80239999294281,51.1979141235352,-15.9367141723633,140.331909179688,1.04380822181702,8.27591705322266,1200.39001464844,14.8000001907349,0.259999990463257,20.7999992370605,172.320007324219,55350,38920.5,79,166,7,40.5699996948242,117.75,4972.7001953125,159.119995117188,55.3499984741211,182,3,1,0,0,0,0,0,0,0,0,0,0,1.10000002384186,12,18,5.09999990463257,4.80000019073486,5,49,32,81.5,31.5881824493408,15579,8181.5,21364.5,2.65000009536743,2,3.29999995231628,1.13249999284744,0.539999961853027,2.15499997138977,0,0,13092.3330078125,445136.34375,0,0,0,0,0,0,248644.671875,772077.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,35824.31640625,38699.46875,42531.70703125,46542.00390625,49872.7890625,51483.9296875,50609.8125,47636.98046875,43735.34765625,39734.99609375,36436.37109375,34909.77734375,NA,NA,NA,NA,NA,NA
"4",34.24546,-84.13745,"RAP1250",453.722076416016,15.7,25.3,4.8,20.5,1762,692,14.6,36.6,95,309,214,65,70.6,44,4061,1713,882,2445,-19.5,38.8,1208,15.8,278,5,64,10.3,13.2,17.3,22,26,29.4,30.8,30.1,27.8,22.5,16.4,12.9,-0.7,1.5,4.9,8.8,13.4,17.9,19.8,19.1,16.2,10.1,3.7,2.5,4.8,7.3,11.1,15.4,19.7,23.6,25.3,24.6,22,16.3,10,7.7,151,163,150,167,137,143,126,157,129,132,121,186,9.9,12,16.2,19.9,20.6,21.5,21.1,19.2,16.2,13.5,10.2,8.8,21,9,3,0,0,0,0,0,0,0,2,9,65,97,201,313,454,557,628,606,509,351,164,116,412,296,215,99,29,5,1,2,14,82,241,317,0,1,6,23,78,172,227,206,133,31,3,2,13,1,27,30,31,30,31,31,30,31,18,6,4,0,0,0,0,0,0,0,0,0,0,0,39,52,85,118,150,158,163,148,117,85,53,40,0,0,0,0,13,15,37,0,0,0,0,0,63,62,61,60,63,67,68,68,66,62,60,66,12.33,12.03,8.22,7.59,2.52,1.36,-1.08,2.52,0.98,4.05,5.61,14.48,0.238399997353554,0.623199999332428,0.626399993896484,0.54559999704361,0.366800010204315,0.257200002670288,0.456200003623962,0.238399997353554,0.626399993896484,29.968822479248,-3.14863967895508,83.6184692382812,0.950606822967529,8.24687004089355,1235.30004882812,24.8400001525879,0.170000001788139,20.5499992370605,161.369995117188,62748,56248.5,95,185,7,44,87.4499969482422,4917.56005859375,160.979995727539,59.5999984741211,234.75,31,0.982299983501434,0.00410000002011657,0,0,0.00510000018402934,0.008500000461936,0,0,0,0,0,1.20000004768372,8,23,3.5,4.5,5.19999980926514,46,28,52.4000015258789,25.5539054870605,15810.5,8602.5,21760,2.5,2,3.09999990463257,1.21999996900558,0.580000042915344,2.27999997138977,49.6531944274902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35984.43359375,38795.796875,42545.89453125,46470.734375,49728.51171875,51303.05078125,50448.921875,47542.01953125,43723.98046875,39808.921875,36582.67578125,35090.796875,NA,NA,NA,NA,NA,NA
"5",34.24546,-84.13745,"RAP1251",453.722076416016,15.7,25.3,4.8,20.5,1762,692,14.6,36.6,95,309,214,65,70.6,44,4061,1713,882,2445,-19.5,38.8,1208,15.8,278,5,64,10.3,13.2,17.3,22,26,29.4,30.8,30.1,27.8,22.5,16.4,12.9,-0.7,1.5,4.9,8.8,13.4,17.9,19.8,19.1,16.2,10.1,3.7,2.5,4.8,7.3,11.1,15.4,19.7,23.6,25.3,24.6,22,16.3,10,7.7,151,163,150,167,137,143,126,157,129,132,121,186,9.9,12,16.2,19.9,20.6,21.5,21.1,19.2,16.2,13.5,10.2,8.8,21,9,3,0,0,0,0,0,0,0,2,9,65,97,201,313,454,557,628,606,509,351,164,116,412,296,215,99,29,5,1,2,14,82,241,317,0,1,6,23,78,172,227,206,133,31,3,2,13,1,27,30,31,30,31,31,30,31,18,6,4,0,0,0,0,0,0,0,0,0,0,0,39,52,85,118,150,158,163,148,117,85,53,40,0,0,0,0,13,15,37,0,0,0,0,0,63,62,61,60,63,67,68,68,66,62,60,66,12.33,12.03,8.22,7.59,2.52,1.36,-1.08,2.52,0.98,4.05,5.61,14.48,0.238399997353554,0.623199999332428,0.626399993896484,0.54559999704361,0.366800010204315,0.257200002670288,0.456200003623962,0.238399997353554,0.626399993896484,29.968822479248,-3.14863967895508,83.6184692382812,0.950606822967529,8.24687004089355,1235.30004882812,24.8400001525879,0.170000001788139,20.5499992370605,161.369995117188,62748,56248.5,95,185,7,44,87.4499969482422,4917.56005859375,160.979995727539,59.5999984741211,234.75,31,0.982299983501434,0.00410000002011657,0,0,0.00510000018402934,0.008500000461936,0,0,0,0,0,1.20000004768372,8,23,3.5,4.5,5.19999980926514,46,28,52.4000015258789,25.5539054870605,15810.5,8602.5,21760,2.5,2,3.09999990463257,1.21999996900558,0.580000042915344,2.27999997138977,49.6531944274902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35984.43359375,38795.796875,42545.89453125,46470.734375,49728.51171875,51303.05078125,50448.921875,47542.01953125,43723.98046875,39808.921875,36582.67578125,35090.796875,NA,NA,NA,NA,NA,NA
"6",35.42077,-83.95027,"RAP1256",664.062072753906,13,22.4,2.3,20.1,2075,802,11.1,27.9,115,291,177,3,112.49,87,3227,2301,483,1787,-23.4,36.5,1143,15.6,224,17,60,8.1,10.9,14.9,20.1,23.9,27.1,28.5,27.7,25.4,20.4,14.6,11.1,-3.4,-1.1,1.7,5.5,10.4,14.4,16.3,15.5,13.1,6.9,0.7,-0.2,2.3,4.9,8.3,12.8,17.1,20.8,22.4,21.6,19.2,13.6,7.6,5.4,183,206,179,197,140,193,185,147,137,147,142,219,10.2,11.8,16,20.1,19.8,22.4,20.2,18.5,15.5,13.6,10.4,9,39,18,6,1,0,0,0,0,0,0,5,17,35,57,127,235,376,473,539,514,426,269,107,70,489,363,303,168,65,16,5,8,35,150,313,388,0,0,2,10,36,97,138,118,70,11,0,0,8,0,2,28,31,30,31,31,30,31,1,0,13,2,0,0,0,0,0,0,0,0,0,1,34,46,78,113,143,154,159,143,110,79,48,36,0,0,0,0,3,0,0,0,0,0,0,0,60,60,58,55,60,63,65,64,63,59,56,63,16.42,17.53,12.44,11.01,3.53,7.12,5.57,2.32,2.74,6.12,9,18.69,0.263999998569489,0.748799979686737,0.748799979686737,0.621599972248077,0.219600006937981,0.264400005340576,0.442999988794327,0.219600006937981,0.748799979686737,21.0692138671875,-10.2384643554688,67.4291381835938,1.02528321743011,12.3434228897095,1186.93994140625,14.9899997711182,0.239999994635582,20.6499996185303,164.770004272461,52398,37314,74,155,7,39.2099990844727,116.389999389648,4999,158.320007324219,54.0099983215332,158.25,2,0.999800026416779,0.000199999994947575,0,0,0,0,0,0,0,0,0,1.10000002384186,11,19,5.19999980926514,4.69999980926514,4.80000019073486,47,33,80.5,29.4440574645996,15437.25,7970,21028.5,2.60000002384186,2,3.25,1.08250001072884,0.514999985694885,2.09500002861023,0,0,0,181737.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35645.2890625,38591.875,42515.86328125,46621.58984375,50034.0546875,51686.26171875,50789.70703125,47743.05078125,43748.03515625,39652.44140625,36272.83203125,34707.28125,NA,NA,NA,NA,NA,NA
"7",35.42077,-83.95027,"RAP1257",664.062072753906,13,22.4,2.3,20.1,2075,802,11.1,27.9,115,291,177,3,112.49,87,3227,2301,483,1787,-23.4,36.5,1143,15.6,224,17,60,8.1,10.9,14.9,20.1,23.9,27.1,28.5,27.7,25.4,20.4,14.6,11.1,-3.4,-1.1,1.7,5.5,10.4,14.4,16.3,15.5,13.1,6.9,0.7,-0.2,2.3,4.9,8.3,12.8,17.1,20.8,22.4,21.6,19.2,13.6,7.6,5.4,183,206,179,197,140,193,185,147,137,147,142,219,10.2,11.8,16,20.1,19.8,22.4,20.2,18.5,15.5,13.6,10.4,9,39,18,6,1,0,0,0,0,0,0,5,17,35,57,127,235,376,473,539,514,426,269,107,70,489,363,303,168,65,16,5,8,35,150,313,388,0,0,2,10,36,97,138,118,70,11,0,0,8,0,2,28,31,30,31,31,30,31,1,0,13,2,0,0,0,0,0,0,0,0,0,1,34,46,78,113,143,154,159,143,110,79,48,36,0,0,0,0,3,0,0,0,0,0,0,0,60,60,58,55,60,63,65,64,63,59,56,63,16.42,17.53,12.44,11.01,3.53,7.12,5.57,2.32,2.74,6.12,9,18.69,0.263999998569489,0.748799979686737,0.748799979686737,0.621599972248077,0.219600006937981,0.264400005340576,0.442999988794327,0.219600006937981,0.748799979686737,21.0692138671875,-10.2384643554688,67.4291381835938,1.02528321743011,12.3434228897095,1186.93994140625,14.9899997711182,0.239999994635582,20.6499996185303,164.770004272461,52398,37314,74,155,7,39.2099990844727,116.389999389648,4999,158.320007324219,54.0099983215332,158.25,2,0.999800026416779,0.000199999994947575,0,0,0,0,0,0,0,0,0,1.10000002384186,11,19,5.19999980926514,4.69999980926514,4.80000019073486,47,33,80.5,29.4440574645996,15437.25,7970,21028.5,2.60000002384186,2,3.25,1.08250001072884,0.514999985694885,2.09500002861023,0,0,0,181737.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35645.2890625,38591.875,42515.86328125,46621.58984375,50034.0546875,51686.26171875,50789.70703125,47743.05078125,43748.03515625,39652.44140625,36272.83203125,34707.28125,NA,NA,NA,NA,NA,NA
"8",35.17529,-83.70707,"RAP1275",975.735534667969,12.9,21.9,3,18.9,2045,765,11.2,28.6,110,297,187,0,119.68,79,3175,2281,437,1729,-21.9,34.8,1037,15.3,236,14,66,8,10.2,13.8,18.5,22.3,25.5,26.9,26.1,24.1,19.4,13.7,10.4,-2.1,-0.2,2.8,6.5,11.4,15,16.8,16.1,13.9,8.2,2,0.8,3,5,8.3,12.5,16.9,20.2,21.9,21.1,19,13.8,7.8,5.6,191,204,174,194,150,164,161,165,125,142,145,230,10.9,11.4,15.9,19.6,19.1,21,19.2,17.6,14.7,13.6,10.9,9.6,33,17,6,1,0,0,0,0,0,0,5,16,41,57,126,226,369,455,523,499,420,275,110,73,468,360,303,176,69,20,6,10,37,144,307,382,0,0,2,8,33,86,124,107,66,12,0,0,10,0,8,30,31,30,31,31,30,31,4,1,10,2,0,0,0,0,0,0,0,0,0,1,33,43,71,102,128,138,143,128,100,73,45,33,0,0,0,0,0,0,0,0,0,0,0,0,65,65,64,62,67,69,70,70,69,65,62,68,17.11,17.49,12.47,11.8,5.91,5.71,4.75,5.68,2.72,6.41,9.65,19.97,0.264400005340576,0.427599996328354,0.748000025749207,0.582400023937225,0.224800005555153,0.304800003767014,0.366200000047684,0.224800005555153,0.748000025749207,20.6554412841797,-18.9363403320312,56.04345703125,0.997709631919861,13.3215713500977,1108.36999511719,3.95000004768372,0.379999995231628,19.8500003814697,197.710006713867,46404,33655.5,64,141,7,37.0999984741211,108.300003051758,4626.60986328125,147.380004882812,50.8699989318848,122.25,3,0.992500007152557,0.00749999983236194,0,0,0,0,0,0,0,0,0,1,9,18,7.5,4.80000019073486,4.90000009536743,48,33,98.5999984741211,28.683650970459,15465.25,8149,21016.5,3.39999997615814,2.44999980926514,4.25,1.00999999046326,0.480000019073486,1.95499992370605,0,0,0,1615060.125,443365.65625,0,0,0,0,0,0,0,0,2.85645174980164,0,0,0,0,0,0,0,0,0,0,0,35727.05078125,38641,42523.09375,46585.2578125,49960.41015625,51593.84765625,50707.55078125,47694.625,43742.24609375,39690.1328125,36347.51171875,34799.76953125,NA,NA,NA,NA,NA,NA
"9",35.17529,-83.70707,"RAP1276",975.735534667969,12.9,21.9,3,18.9,2045,765,11.2,28.6,110,297,187,0,119.68,79,3175,2281,437,1729,-21.9,34.8,1037,15.3,236,14,66,8,10.2,13.8,18.5,22.3,25.5,26.9,26.1,24.1,19.4,13.7,10.4,-2.1,-0.2,2.8,6.5,11.4,15,16.8,16.1,13.9,8.2,2,0.8,3,5,8.3,12.5,16.9,20.2,21.9,21.1,19,13.8,7.8,5.6,191,204,174,194,150,164,161,165,125,142,145,230,10.9,11.4,15.9,19.6,19.1,21,19.2,17.6,14.7,13.6,10.9,9.6,33,17,6,1,0,0,0,0,0,0,5,16,41,57,126,226,369,455,523,499,420,275,110,73,468,360,303,176,69,20,6,10,37,144,307,382,0,0,2,8,33,86,124,107,66,12,0,0,10,0,8,30,31,30,31,31,30,31,4,1,10,2,0,0,0,0,0,0,0,0,0,1,33,43,71,102,128,138,143,128,100,73,45,33,0,0,0,0,0,0,0,0,0,0,0,0,65,65,64,62,67,69,70,70,69,65,62,68,17.11,17.49,12.47,11.8,5.91,5.71,4.75,5.68,2.72,6.41,9.65,19.97,0.264400005340576,0.427599996328354,0.748000025749207,0.582400023937225,0.224800005555153,0.304800003767014,0.366200000047684,0.224800005555153,0.748000025749207,20.6554412841797,-18.9363403320312,56.04345703125,0.997709631919861,13.3215713500977,1108.36999511719,3.95000004768372,0.379999995231628,19.8500003814697,197.710006713867,46404,33655.5,64,141,7,37.0999984741211,108.300003051758,4626.60986328125,147.380004882812,50.8699989318848,122.25,3,0.992500007152557,0.00749999983236194,0,0,0,0,0,0,0,0,0,1,9,18,7.5,4.80000019073486,4.90000009536743,48,33,98.5999984741211,28.683650970459,15465.25,8149,21016.5,3.39999997615814,2.44999980926514,4.25,1.00999999046326,0.480000019073486,1.95499992370605,0,0,0,1615060.125,443365.65625,0,0,0,0,0,0,0,0,2.85645174980164,0,0,0,0,0,0,0,0,0,0,0,35727.05078125,38641,42523.09375,46585.2578125,49960.41015625,51593.84765625,50707.55078125,47694.625,43742.24609375,39690.1328125,36347.51171875,34799.76953125,NA,NA,NA,NA,NA,NA
"10",35.06856,-83.52907,"RAP1290",1082.3369140625,12.5,21.4,2.5,18.9,2374,876,9.5,24.4,111,295,184,0,155.65,88,3057,2377,392,1636,-22.4,34.1,1015,15.2,232,20,67,7.5,9.9,13.5,18.3,22,24.9,26.4,25.3,23.1,18.7,13.3,10.1,-2.5,-0.7,2.5,6.3,11.1,14.8,16.5,15.9,13.7,7.8,1.7,0.5,2.5,4.6,8,12.3,16.6,19.9,21.4,20.6,18.4,13.2,7.5,5.3,220,230,197,226,174,182,174,187,159,192,174,259,11.1,11.5,15.9,19.6,19,20.8,19,17.4,14.4,13.6,10.9,9.7,37,19,7,1,0,0,0,0,0,0,6,17,36,52,119,220,360,446,508,483,402,256,104,68,483,371,312,182,74,22,8,13,44,160,316,391,0,0,2,7,30,81,112,95,56,9,0,0,9,0,6,30,31,30,31,31,30,31,3,1,14,3,0,0,0,0,0,0,0,0,0,1,32,43,71,101,127,135,140,123,95,71,44,33,0,0,0,0,0,0,0,0,0,0,0,0,65,64,64,62,67,70,71,72,71,66,62,68,20.16,20.21,14.91,15,8.36,7.9,6.32,8.48,6.84,11.71,12.76,22.98,0.259600013494492,0.706399977207184,0.706399977207184,0.58160001039505,0.195199996232986,0.245199993252754,0.420600011944771,0.195199996232986,0.706399977207184,31.9400634765625,-15.0768127441406,99.8438720703125,1.03549611568451,9.09622287750244,1110.69995117188,3.22000002861023,0.409999996423721,19.6000003814697,208.149993896484,47016,33885,67,142,7,37.7200012207031,108.099998474121,4593.919921875,146.990005493164,51.5999984741211,129,4,0.996100008487701,0.00380000006407499,0,0,9.99999974737875e-05,0,0,0,0,0,0,0.899999976158142,7,17,8.19999980926514,5.5,4.80000019073486,46,35,142.199996948242,32.0576095581055,15551.25,8230,20968,3.59999990463257,2.59999990463257,4.55000019073486,0.997500002384186,0.475000023841858,1.9300000667572,0,0,0,1615060.125,443365.65625,0,0,0,0,0,0,0,0,5.51774168014526,0.766071438789368,0,0,0,0,0,0,0,0,0.0383333340287209,0,35743.32421875,38650.78125,42524.53515625,46578.0234375,49945.75,51575.453125,50691.19921875,47684.984375,43741.08984375,39697.63671875,36362.3828125,34818.1796875,NA,NA,NA,NA,NA,NA
