"","Latitude","Longitude","Elevation","MAT","MWMT","MCMT","TD","MAP","MSP","AHM","SHM","bFFP","eFFP","FFP","CMD","CMI","DD_0","DD5","DD_18","DD18","DD1040","EMT","EXT","Eref","rsds","NFFD","PAS","RH","Tmax01","Tmax02","Tmax03","Tmax04","Tmax05","Tmax06","Tmax07","Tmax08","Tmax09","Tmax10","Tmax11","Tmax12","Tmin01","Tmin02","Tmin03","Tmin04","Tmin05","Tmin06","Tmin07","Tmin08","Tmin09","Tmin10","Tmin11","Tmin12","Tave01","Tave02","Tave03","Tave04","Tave05","Tave06","Tave07","Tave08","Tave09","Tave10","Tave11","Tave12","PPT01","PPT02","PPT03","PPT04","PPT05","PPT06","PPT07","PPT08","PPT09","PPT10","PPT11","PPT12","rsds01","rsds02","rsds03","rsds04","rsds05","rsds06","rsds07","rsds08","rsds09","rsds10","rsds11","rsds12","DD_0_01","DD_0_02","DD_0_03","DD_0_04","DD_0_05","DD_0_06","DD_0_07","DD_0_08","DD_0_09","DD_0_10","DD_0_11","DD_0_12","DD5_01","DD5_02","DD5_03","DD5_04","DD5_05","DD5_06","DD5_07","DD5_08","DD5_09","DD5_10","DD5_11","DD5_12","DD_18_01","DD_18_02","DD_18_03","DD_18_04","DD_18_05","DD_18_06","DD_18_07","DD_18_08","DD_18_09","DD_18_10","DD_18_11","DD_18_12","DD18_01","DD18_02","DD18_03","DD18_04","DD18_05","DD18_06","DD18_07","DD18_08","DD18_09","DD18_10","DD18_11","DD18_12","NFFD01","NFFD02","NFFD03","NFFD04","NFFD05","NFFD06","NFFD07","NFFD08","NFFD09","NFFD10","NFFD11","NFFD12","PAS01","PAS02","PAS03","PAS04","PAS05","PAS06","PAS07","PAS08","PAS09","PAS10","PAS11","PAS12","Eref01","Eref02","Eref03","Eref04","Eref05","Eref06","Eref07","Eref08","Eref09","Eref10","Eref11","Eref12","CMD01","CMD02","CMD03","CMD04","CMD05","CMD06","CMD07","CMD08","CMD09","CMD10","CMD11","CMD12","RH01","RH02","RH03","RH04","RH05","RH06","RH07","RH08","RH09","RH10","RH11","RH12","CMI01","CMI02","CMI03","CMI04","CMI05","CMI06","CMI07","CMI08","CMI09","CMI10","CMI11","CMI12","EVI_1","EVI_2","EVI_3","EVI_4","EVI_5","EVI_6","EVI_median","EVI_min","EVI_max","TRI","TPI","roughness","HLI","TWI","annualPET","aridityIndexThornthwaite","climaticMoistureIndex","continentality","embergerQ","growingDegDays0","growingDegDays5","maxTempColdest","minTempWarmest","monthCountByTemp10","PETColdestQuarter","PETDriestQuarter","PETseasonality","PETWarmestQuarter","PETWettestQuarter","thermicityIndex","footprint_value","trees","grassland","shrubs","cropland","built","bare","snow","water","wetland","mangroves","moss","Bulk_density","Coarse_fragments_volume","Nitrogen_content","Organic_carb_density","pH_H2O","Sand_fraction","Silt_fraction","Soil_organic_carb"
"RAP0662",34.70805,-83.91265,688,14.1,23.5,3.6,19.9,2116,845,11.4,27.8,108,297,188,0,112.84,63,3544,2034,608,2017,-21.9,37,1160,15.7,239,9,62,9.4,12.1,15.7,20.3,24.3,27.5,29.1,28.3,26.2,21.2,15.8,12.2,-2.3,-0.3,3.1,7.2,11.7,15.7,17.8,17.1,14.3,8,2,0.9,3.6,5.9,9.4,13.8,18,21.6,23.5,22.7,20.2,14.6,8.9,6.6,172,175,150,196,173,169,171,176,156,214,138,226,10.6,12.2,16.1,19.8,19.7,21.9,20,18.3,15.6,14.1,11,9.4,28,14,5,0,0,0,0,0,0,0,3,12,48,72,155,265,403,497,573,548,455,299,137,92,449,335,269,140,50,11,3,5,25,123,274,351,0,0,3,14,48,114,172,147,91,17,2,1,10,0,11,30,31,30,31,31,30,31,4,1,7,1,0,0,0,0,0,0,0,0,0,0,38,50,80,112,142,152,158,142,112,83,52,39,0,0,0,0,0,0,0,0,0,0,0,0,60,59,60,60,62,65,67,67,65,60,56,63,14.8,13.81,8.89,11.14,6.86,4.78,4.13,5.22,4.27,12.47,7.66,18.8,0.2498,0.6636,0.6636,0.5144,0.2526,0.2756,0.395,0.2498,0.6636,88.125,-76.125,206,1.16285989498353,12.314769744873,1192.17004394531,12.8699998855591,0.28999999165535,20.2999992370605,180.440002441406,54792,38407.5,82,163,7,41.5900001525879,115.48999786377,4812.68994140625,156.149993896484,56.4199981689453,180.5,10,0.996999979019165,0,0,0,0.00300000002607703,0,0,0,0,0,0,1.10000002384186,13,5.5,4.59999990463257,4.90000009536743,50,29,86.9000015258789
"RAP0676",34.777,-84.33188,651,14.5,23.9,3.8,20.1,2031,781,12.1,30.6,108,298,190,8,96.2,57,3678,1943,674,2124,-21.3,37.9,1213,15.9,246,8,61,9.6,12.4,16.3,21.3,25.2,28.7,30,29.2,27.5,22.3,15.9,12.5,-2.1,0.5,3.6,7.1,11.3,15.7,17.8,17,14.1,8,2.1,1.5,3.8,6.4,10,14.2,18.2,22.2,23.9,23.1,20.8,15.2,9,7,160,194,170,192,154,166,158,168,135,169,149,216,10.6,11.9,16.1,20.1,19.9,22.7,20.3,18.6,16,14.6,11,9.4,27,12,4,0,0,0,0,0,0,0,3,11,51,80,171,277,409,515,585,560,473,317,139,100,443,321,250,129,47,9,2,4,21,107,271,338,0,0,4,16,51,131,184,160,105,21,2,1,10,0,16,30,31,30,31,31,30,31,4,2,6,1,0,0,0,0,0,0,0,0,0,0,38,49,82,118,150,162,166,149,121,87,52,39,0,0,0,0,0,0,8,0,0,0,0,0,60,61,60,57,59,62,65,65,61,57,56,64,13.53,15.52,10.43,10,4.03,3.21,1.82,3.4,0.79,7.13,8.71,17.63,0.2056,0.8024,0.8024,0.59,0.3016,0.2458,0.4458,0.2056,0.8024,119.125,-108.125,282,1.14978754238827,11.4730701446533,1200.39001464844,14.8000001907349,0.259999990463257,20.7999992370605,172.320007324219,55350,38920.5,79,166,7,40.5699996948242,117.75,4972.7001953125,159.119995117188,55.3499984741211,182,3,1,0,0,0,0,0,0,0,0,0,0,1.10000002384186,12,5.09999990463257,4.80000019073486,5,49,32,81.5
"RAP0677",34.777,-84.33188,651,14.5,23.9,3.8,20.1,2031,781,12.1,30.6,108,298,190,8,96.2,57,3678,1943,674,2124,-21.3,37.9,1213,15.9,246,8,61,9.6,12.4,16.3,21.3,25.2,28.7,30,29.2,27.5,22.3,15.9,12.5,-2.1,0.5,3.6,7.1,11.3,15.7,17.8,17,14.1,8,2.1,1.5,3.8,6.4,10,14.2,18.2,22.2,23.9,23.1,20.8,15.2,9,7,160,194,170,192,154,166,158,168,135,169,149,216,10.6,11.9,16.1,20.1,19.9,22.7,20.3,18.6,16,14.6,11,9.4,27,12,4,0,0,0,0,0,0,0,3,11,51,80,171,277,409,515,585,560,473,317,139,100,443,321,250,129,47,9,2,4,21,107,271,338,0,0,4,16,51,131,184,160,105,21,2,1,10,0,16,30,31,30,31,31,30,31,4,2,6,1,0,0,0,0,0,0,0,0,0,0,38,49,82,118,150,162,166,149,121,87,52,39,0,0,0,0,0,0,8,0,0,0,0,0,60,61,60,57,59,62,65,65,61,57,56,64,13.53,15.52,10.43,10,4.03,3.21,1.82,3.4,0.79,7.13,8.71,17.63,0.2056,0.8024,0.8024,0.59,0.3016,0.2458,0.4458,0.2056,0.8024,119.125,-108.125,282,1.14978754238827,11.4730701446533,1200.39001464844,14.8000001907349,0.259999990463257,20.7999992370605,172.320007324219,55350,38920.5,79,166,7,40.5699996948242,117.75,4972.7001953125,159.119995117188,55.3499984741211,182,3,1,0,0,0,0,0,0,0,0,0,0,1.10000002384186,12,5.09999990463257,4.80000019073486,5,49,32,81.5
"RAP1250",34.24546,-84.13745,445,15.7,25.4,4.8,20.6,1761,692,14.6,36.7,95,309,214,65,70.28,44,4068,1712,887,2451,-19.5,38.9,1210,15.8,278,5,64,10.3,13.2,17.4,22,26,29.4,30.9,30.2,27.9,22.5,16.4,12.9,-0.7,1.5,4.9,8.8,13.5,17.9,19.9,19.1,16.2,10.1,3.7,2.5,4.8,7.3,11.1,15.4,19.8,23.6,25.4,24.6,22,16.3,10,7.7,150,163,150,167,137,143,126,157,129,132,121,186,9.9,12,16.2,19.9,20.6,21.5,21.2,19.2,16.3,13.5,10.2,8.8,21,9,3,0,0,0,0,0,0,0,2,9,65,98,201,313,457,557,631,606,509,351,164,116,412,296,215,99,28,5,1,2,14,82,241,317,0,1,6,23,80,172,230,206,133,31,3,2,13,1,27,30,31,30,31,31,30,31,18,6,4,0,0,0,0,0,0,0,0,0,0,0,39,52,86,118,149,158,164,148,118,85,53,40,0,0,0,0,12,15,38,0,0,0,0,0,63,62,61,60,63,67,68,68,66,62,60,66,12.23,12.03,8.16,7.59,2.56,1.37,-1.13,2.41,0.88,4.06,5.62,14.48,0.2384,0.6232,0.6264,0.5456,0.3668,0.2572,0.4562,0.2384,0.6264,46.375,46.375,83,1.14634782713373,12.1073293685913,1235.30004882812,24.8400001525879,0.170000001788139,20.5499992370605,161.369995117188,62748,56248.5,95,185,7,44,87.4499969482422,4917.56005859375,160.979995727539,59.5999984741211,234.75,31,0.982299983501434,0.00410000002011657,0,0,0.00510000018402934,0.008500000461936,0,0,0,0,0,1.20000004768372,8,3.5,4.5,5.19999980926514,46,28,52.4000015258789
"RAP1251",34.24546,-84.13745,445,15.7,25.4,4.8,20.6,1761,692,14.6,36.7,95,309,214,65,70.28,44,4068,1712,887,2451,-19.5,38.9,1210,15.8,278,5,64,10.3,13.2,17.4,22,26,29.4,30.9,30.2,27.9,22.5,16.4,12.9,-0.7,1.5,4.9,8.8,13.5,17.9,19.9,19.1,16.2,10.1,3.7,2.5,4.8,7.3,11.1,15.4,19.8,23.6,25.4,24.6,22,16.3,10,7.7,150,163,150,167,137,143,126,157,129,132,121,186,9.9,12,16.2,19.9,20.6,21.5,21.2,19.2,16.3,13.5,10.2,8.8,21,9,3,0,0,0,0,0,0,0,2,9,65,98,201,313,457,557,631,606,509,351,164,116,412,296,215,99,28,5,1,2,14,82,241,317,0,1,6,23,80,172,230,206,133,31,3,2,13,1,27,30,31,30,31,31,30,31,18,6,4,0,0,0,0,0,0,0,0,0,0,0,39,52,86,118,149,158,164,148,118,85,53,40,0,0,0,0,12,15,38,0,0,0,0,0,63,62,61,60,63,67,68,68,66,62,60,66,12.23,12.03,8.16,7.59,2.56,1.37,-1.13,2.41,0.88,4.06,5.62,14.48,0.2384,0.6232,0.6264,0.5456,0.3668,0.2572,0.4562,0.2384,0.6264,46.375,46.375,83,1.14634782713373,12.1073293685913,1235.30004882812,24.8400001525879,0.170000001788139,20.5499992370605,161.369995117188,62748,56248.5,95,185,7,44,87.4499969482422,4917.56005859375,160.979995727539,59.5999984741211,234.75,31,0.982299983501434,0.00410000002011657,0,0,0.00510000018402934,0.008500000461936,0,0,0,0,0,1.20000004768372,8,3.5,4.5,5.19999980926514,46,28,52.4000015258789
"RAP1256",35.42077,-83.95027,704,12.8,22.2,2.2,20,2100,808,10.9,27.5,115,291,175,1,116.12,90,3170,2343,460,1744,-23.6,36.2,1133,15.6,222,18,60,7.9,10.7,14.7,19.9,23.7,26.9,28.3,27.4,25.2,20.2,14.4,10.9,-3.6,-1.2,1.5,5.3,10.3,14.2,16.1,15.3,12.9,6.7,0.5,-0.4,2.2,4.8,8.1,12.6,17,20.5,22.2,21.4,19,13.4,7.4,5.2,187,209,181,198,141,194,185,149,139,150,145,222,10.2,11.8,16,20.1,19.8,22.4,20.2,18.4,15.5,13.6,10.4,9,40,18,7,1,0,0,0,0,0,0,6,17,34,55,122,229,373,464,533,508,420,263,102,67,492,366,309,173,67,18,5,9,37,155,319,394,0,0,2,9,35,92,132,114,66,10,0,0,7,0,2,28,31,30,31,31,30,31,1,0,14,3,0,0,0,0,0,0,0,0,0,1,34,45,77,112,142,153,158,141,109,79,48,35,0,0,0,0,1,0,0,0,0,0,0,0,59,60,58,55,60,63,64,65,63,59,56,62,16.89,17.91,12.77,11.17,3.73,7.3,5.66,2.7,3.01,6.48,9.43,19.08,0.264,0.7488,0.7488,0.6216,0.2196,0.2644,0.443,0.2196,0.7488,106.875,-84.375,282,1.09340429277131,11.2252616882324,1186.93994140625,14.9899997711182,0.239999994635582,20.6499996185303,164.770004272461,52398,37314,74,155,7,39.2099990844727,116.389999389648,4999,158.320007324219,54.0099983215332,158.25,2,0.999800026416779,0.000199999994947575,0,0,0,0,0,0,0,0,0,1.10000002384186,11,5.19999980926514,4.69999980926514,4.80000019073486,47,33,80.5
"RAP1257",35.42077,-83.95027,704,12.8,22.2,2.2,20,2100,808,10.9,27.5,115,291,175,1,116.12,90,3170,2343,460,1744,-23.6,36.2,1133,15.6,222,18,60,7.9,10.7,14.7,19.9,23.7,26.9,28.3,27.4,25.2,20.2,14.4,10.9,-3.6,-1.2,1.5,5.3,10.3,14.2,16.1,15.3,12.9,6.7,0.5,-0.4,2.2,4.8,8.1,12.6,17,20.5,22.2,21.4,19,13.4,7.4,5.2,187,209,181,198,141,194,185,149,139,150,145,222,10.2,11.8,16,20.1,19.8,22.4,20.2,18.4,15.5,13.6,10.4,9,40,18,7,1,0,0,0,0,0,0,6,17,34,55,122,229,373,464,533,508,420,263,102,67,492,366,309,173,67,18,5,9,37,155,319,394,0,0,2,9,35,92,132,114,66,10,0,0,7,0,2,28,31,30,31,31,30,31,1,0,14,3,0,0,0,0,0,0,0,0,0,1,34,45,77,112,142,153,158,141,109,79,48,35,0,0,0,0,1,0,0,0,0,0,0,0,59,60,58,55,60,63,64,65,63,59,56,62,16.89,17.91,12.77,11.17,3.73,7.3,5.66,2.7,3.01,6.48,9.43,19.08,0.264,0.7488,0.7488,0.6216,0.2196,0.2644,0.443,0.2196,0.7488,106.875,-84.375,282,1.09340429277131,11.2252616882324,1186.93994140625,14.9899997711182,0.239999994635582,20.6499996185303,164.770004272461,52398,37314,74,155,7,39.2099990844727,116.389999389648,4999,158.320007324219,54.0099983215332,158.25,2,0.999800026416779,0.000199999994947575,0,0,0,0,0,0,0,0,0,1.10000002384186,11,5.19999980926514,4.69999980926514,4.80000019073486,47,33,80.5
"RAP1275",35.17529,-83.70707,1022,12.9,21.8,2.9,18.9,2049,766,11.2,28.5,110,297,188,0,121.13,80,3154,2296,429,1711,-21.8,34.6,1027,15.3,237,15,67,7.9,10.1,13.6,18.3,22.1,25.4,26.7,25.9,23.9,19.2,13.6,10.3,-2.1,-0.2,2.8,6.5,11.4,15,16.8,16.1,13.9,8.2,2,0.9,2.9,5,8.2,12.4,16.8,20.2,21.8,21,18.9,13.7,7.8,5.6,192,204,174,194,151,164,161,165,125,142,145,232,10.9,11.4,15.8,19.5,19.1,21,19.2,17.5,14.7,13.5,10.9,9.6,34,17,7,1,0,0,0,0,0,0,5,16,40,57,124,223,366,455,520,496,417,272,110,73,471,360,306,179,70,20,6,11,38,147,307,382,0,0,2,8,32,86,121,104,65,11,0,0,10,0,8,30,31,30,31,31,30,31,4,1,11,2,0,0,0,0,0,0,0,0,0,1,33,43,70,101,126,138,141,126,99,72,45,33,0,0,0,0,0,0,0,0,0,0,0,0,65,65,65,63,67,69,71,71,70,66,62,68,17.23,17.52,12.58,11.9,6.14,5.76,4.91,5.83,2.86,6.52,9.69,20.2,0.2644,0.4276,0.748,0.5824,0.2248,0.3048,0.3662,0.2248,0.748,45.125,-13.125,227,1.12386319976533,9.24076271057129,1108.36999511719,3.95000004768372,0.379999995231628,19.8500003814697,197.710006713867,46404,33655.5,64,141,7,37.0999984741211,108.300003051758,4626.60986328125,147.380004882812,50.8699989318848,122.25,3,0.992500007152557,0.00749999983236194,0,0,0,0,0,0,0,0,0,1,9,7.5,4.80000019073486,4.90000009536743,48,33,98.5999984741211
"RAP1276",35.17529,-83.70707,1022,12.9,21.8,2.9,18.9,2049,766,11.2,28.5,110,297,188,0,121.13,80,3154,2296,429,1711,-21.8,34.6,1027,15.3,237,15,67,7.9,10.1,13.6,18.3,22.1,25.4,26.7,25.9,23.9,19.2,13.6,10.3,-2.1,-0.2,2.8,6.5,11.4,15,16.8,16.1,13.9,8.2,2,0.9,2.9,5,8.2,12.4,16.8,20.2,21.8,21,18.9,13.7,7.8,5.6,192,204,174,194,151,164,161,165,125,142,145,232,10.9,11.4,15.8,19.5,19.1,21,19.2,17.5,14.7,13.5,10.9,9.6,34,17,7,1,0,0,0,0,0,0,5,16,40,57,124,223,366,455,520,496,417,272,110,73,471,360,306,179,70,20,6,11,38,147,307,382,0,0,2,8,32,86,121,104,65,11,0,0,10,0,8,30,31,30,31,31,30,31,4,1,11,2,0,0,0,0,0,0,0,0,0,1,33,43,70,101,126,138,141,126,99,72,45,33,0,0,0,0,0,0,0,0,0,0,0,0,65,65,65,63,67,69,71,71,70,66,62,68,17.23,17.52,12.58,11.9,6.14,5.76,4.91,5.83,2.86,6.52,9.69,20.2,0.2644,0.4276,0.748,0.5824,0.2248,0.3048,0.3662,0.2248,0.748,45.125,-13.125,227,1.12386319976533,9.24076271057129,1108.36999511719,3.95000004768372,0.379999995231628,19.8500003814697,197.710006713867,46404,33655.5,64,141,7,37.0999984741211,108.300003051758,4626.60986328125,147.380004882812,50.8699989318848,122.25,3,0.992500007152557,0.00749999983236194,0,0,0,0,0,0,0,0,0,1,9,7.5,4.80000019073486,4.90000009536743,48,33,98.5999984741211
"RAP1290",35.06856,-83.52907,1078,12.5,21.4,2.5,18.9,2374,876,9.5,24.4,111,295,184,0,155.59,88,3057,2377,392,1636,-22.4,34.2,1015,15.2,232,20,67,7.5,9.9,13.5,18.3,22,24.9,26.4,25.4,23.1,18.7,13.3,10.1,-2.5,-0.7,2.5,6.3,11.1,14.8,16.5,15.9,13.7,7.8,1.7,0.5,2.5,4.6,8,12.3,16.6,19.9,21.4,20.6,18.4,13.2,7.5,5.3,220,230,197,226,174,182,174,187,159,192,174,259,11.1,11.5,15.9,19.6,19,20.8,19,17.4,14.4,13.6,10.9,9.7,37,19,7,1,0,0,0,0,0,0,6,17,36,52,119,220,360,446,508,483,402,256,104,68,483,371,312,182,74,22,8,13,44,160,316,391,0,0,2,7,30,81,112,95,56,9,0,0,9,0,6,30,31,30,31,31,30,31,3,1,14,3,0,0,0,0,0,0,0,0,0,1,32,43,71,101,127,135,140,123,95,71,44,33,0,0,0,0,0,0,0,0,0,0,0,0,65,64,64,62,67,70,71,72,71,66,62,68,20.17,20.21,14.92,15.01,8.37,7.91,6.32,8.38,6.85,11.72,12.76,22.98,0.2596,0.7064,0.7064,0.5816,0.1952,0.2452,0.4206,0.1952,0.7064,78.875,-78.875,155,1.13074795594656,13.6186151504517,1110.69995117188,3.22000002861023,0.409999996423721,19.6000003814697,208.149993896484,47016,33885,67,142,7,37.7200012207031,108.099998474121,4593.919921875,146.990005493164,51.5999984741211,129,4,0.996100008487701,0.00380000006407499,0,0,9.99999974737875e-05,0,0,0,0,0,0,0.899999976158142,7,8.19999980926514,5.5,4.80000019073486,46,35,142.199996948242
