Individual_number;Individual.ID;Place;age;sex;Species;clade;population;ear.length;ear.width;head.length;head.width;interorbital.dist;intraorbital.dist;snout.length;lower.leg.length;hind.foot.length;third.toe.length;body.length;tail.length;body.mass;observer;male_repro;female_repro;pregnant_body.mass;comment;comment2;latitude;longitude;altitude;date;ear.marking;RADSeq.available
1;M229;Fautany;adult;M;arnholdi;7;arno;18,6;#NV;34,2;18,6;21,8;5,9;9,5;40;21,8;8,2;69;132;#NV;HT;NA;NA;NA;NA;NA;-12.692943;49.190753999999998;NA;NA;NA;NA
2;F219;Fautany;adult;F;arnholdi;7;arno;18,7;#NV;34,9;18,9;21,1;6,2;9,2;39,3;22,5;8,5;77;144;#NV;HT;NA;NA;NA;NA;NA;-12.691328;49.187967999999998;NA;NA;NA;NA
3;F231;Fautany;adult;F;arnholdi;7;arno;18,7;#NV;35,2;19,4;21,7;6;9,4;37,7;21,1;8,9;86;142;#NV;HT;NA;NA;NA;NA;NA;-12.692477;49.190196999999998;NA;NA;NA;NA
4;F225;Fautany;adult;F;arnholdi;7;arno;18,9;#NV;33,3;19,8;19,5;#NV;8,9;38,6;20;9,6;76;132;#NV;HT;NA;NA;NA;NA;NA;-12.688768;49.173327999999998;NA;NA;NA;NA
5;M245;Fautany;adult;M;arnholdi;7;arno;19,2;#NV;33,3;19,4;21,1;6,1;8,6;37,5;20,3;8,3;81;131;#NV;HT;NA;NA;NA;NA;NA;-12.693038;49.172673000000003;NA;NA;NA;NA
6;F223;Fautany;adult;F;arnholdi;7;arno;19,3;#NV;34,5;20;20,3;#NV;9,4;40,3;23,2;9,9;79;142;#NV;HT;NA;NA;NA;NA;NA;-12.691587;49.187683;NA;NA;NA;NA
7;M246;Fautany;adult;M;arnholdi;7;arno;19,5;#NV;34,4;19,2;20;6,3;9;40;21;8;84;134;#NV;HT;NA;NA;NA;NA;NA;-12.691668999999999;49.187035000000002;NA;NA;NA;NA
8;F254;Fautany;adult;F;arnholdi;7;arno;19,8;#NV;34,2;19,5;21,7;5,9;8,9;40;22;8,8;80;134;#NV;HT;NA;NA;NA;NA;NA;-12.687818999999999;49.177149999999997;NA;NA;NA;NA
9;F221;Fautany;adult;F;arnholdi;7;arno;19,9;#NV;34,7;20,1;19,6;6,1;8,9;40,3;22,7;8,6;89;139;#NV;HT;NA;NA;NA;NA;NA;-12.69159;49.175873000000003;NA;NA;NA;NA
10;F234;Fautany;adult;F;arnholdi;7;arno;19,9;#NV;35,4;19,4;21;6,8;9,3;38,7;23,5;8,3;84;138;#NV;HT;NA;NA;NA;NA;NA;-12.690867000000001;49.188105999999998;NA;NA;NA;NA
