Candidate species;Species revised;Individual ID;Bioinformatics ID;Locality;Latitude;Longitude;Altitude (m);Collection date;Collector;Sex;Developmental stage;Phylogenetic inference;Species delimitation;Divergence dating;Note;NCBI BioSample accession;Reference
Cheirogaleus crossleyi;Cheirogaleus crossleyi;106189;Cheirogaleuscro_106189;Ambatovy;-18,8268;48,3069;1144;03.10.2013;MB Blanco;male;adult;✓;;;Outgroup;SAMN39585059;This study
Cheirogaleus major;Cheirogaleus major;106245;Cheirogaleusmaj_106245;Marojejy;-14,4437;49,8273;295;11.11.2015;MB Blanco;female;adult;✓;;;Outgroup;SAMN39585060;This study
Cheirogaleus medius;Cheirogaleus medius;106354;Cheirogaleusmed_106354;Duke Lemur Center;NA;NA;NA;01.03.2015;DLC biobank;female;adult;✓;;;Outgroup/captivity;SAMN39585061;This study
Mirza zaza;Mirza zaza;DLC2316m;Mirzazaz_DLC2316m;Duke Lemur Center;NA;NA;NA;18.06.2012;DLC biobank;male;adult;✓;;✓;Outgroup/captivity;SAMN39585062;This study
Mirza zaza;Mirza zaza;DLC319m;Mirzazaz_DLC319m;Duke Lemur Center;NA;NA;NA;22.09.1995;DLC biobank;male;adult;✓;;✓;Outgroup/captivity;SAMN39585063;This study
Mirza zaza;Mirza zaza;DLC323f;Mirzazaz_DLC323f;Duke Lemur Center;NA;NA;NA;20.02.1998;DLC biobank;female;adult;✓;;;Outgroup/captivity;SAMN39585064;This study
M. arnholdi;M. arnholdi;AMB5.26;Marn_AMB5.26;Montagne d'Ambre;-12,5183;49,1758;614;22.11.2005;JF Ranaivoarisoa;female;adult;✓;GL & GC;;;SAMN39585065;This study
M. arnholdi;M. arnholdi;AMB5.41;Marn_AMB5.41;Montagne d'Ambre;-12,4773;49,2224;514;28.11.2005;JF Ranaivoarisoa;female;NA;✓;GL & GC;;;SAMN39585066;This study
M. arnholdi;M. arnholdi;BC49_2017;Marn_BC49_2017;Montagne d'Ambre;-12,5437;49,1464;NA;07.06.2017;B Le Pors & GM Sgarlata;male;adult;✓;GL & GC;✓;;SAMN39585067;This study
M. arnholdi;M. arnholdi;BD33_2017;Marn_BD33_2017;Montagne d'Ambre;-12,5085;49,1774;NA;12.06.2017;B Le Pors & GM Sgarlata;female;adult;;GL;;;SAMN39585068;This study
M. arnholdi;M. arnholdi;BD72_2017;Marn_BD72_2017;Montagne d'Ambre;-12,6444;49,1792;NA;24.06.2017;B Le Pors & GM Sgarlata;female;adult;;GL;;;SAMN39585069;This study
M. arnholdi;M. arnholdi;BE51_2017;Marn_BE51_2017;Montagne d'Ambre;-12,6723;49,1861;NA;30.06.2017;B Le Pors & GM Sgarlata;male;adult;✓;GL & GC;✓;;SAMN39585070;This study
M. arnholdi;M. arnholdi;BG27_2017;Marn_BG27_2017;Antsoroby;-12,7088;48,9665;NA;23.09.2017;B Le Pors & GM Sgarlata;female;adult;;GL;;;SAMN39585071;This study
M. arnholdi;M. arnholdi;BG76_2017;Marn_BG76_2017;Montagne d'Ambre;-12,7044;49,141;NA;28.08.2017;B Le Pors & GM Sgarlata;male;adult;;GL;;;SAMN39585072;This study
M. arnholdi;M. arnholdi;RMR154;Marn_RMR154;Montagne d'Ambre;-12,475;49,2183;NA;02.06.2005;RM Rasoloarison;male;adult;;GL;;;SAMN39585073;This study
M. arnholdi;M. arnholdi;RMR156;Marn_RMR156;Montagne d'Ambre;-12,475;49,2183;NA;05.06.2005;RM Rasoloarison;male;adult;✓;GL & GC;;;SAMN39585074;This study
M. arnholdi;M. arnholdi;RMR160;Marn_RMR160;Montagne d'Ambre;-12,475;49,2183;NA;08.06.2005;RM Rasoloarison;female;adult;;GL;;;SAMN39585075;This study
M. berthae;M. berthae;JMR045;Mber_JMR045;Lambokely;-19,87;44,645;80;19.03.2006;JM Ralison;male;subadult;✓;GL & GC;;;SAMN39585076;This study
M. berthae;M. berthae;Joerg73;Mber_Joerg73;Kirindy;-20,05;44,65;NA;NA;JU Ganzhorn;NA;NA;✓;GL & GC;✓;;SAMN39585077;This study
M. berthae;M. berthae;KIR06.30;Mber_KIR06.30_S12;Kirindy;-20,0651;44,6512;67;01.05.2006;JR Zaonarivelo;female;NA;✓;GL & GC;✓;;SAMN39585077/SAMN39585078;This study
M. berthae;M. berthae;KIR06.34;Mber_KIR06.34;Kirindy;-20,064;44,564;64;03.05.2006;JR Zaonarivelo;female;NA;✓;GL & GC;;;SAMN39585080;This study
M. berthae;M. berthae;RMR94;Mber_RMR94;Kirindy;-20,05;44,65;40;NA;RM Rasoloarison;NA;NA;✓;GL & GC;;;SAMN39585081;This study
M. berthae;M. berthae;t1327;Mber_t1327;Kirindy;-20,05;44,65;30;30.07.2006;PM Kappeler;female;NA;;GL;;;SAMN39585082;This study
M. berthae;M. berthae;t1329;Mber_t1329_S1234;Kirindy;-20,05;44,65;30;03.08.2006;PM Kappeler;female;NA;;GL;;;SAMN39585083/SAMN39585084/SAMN39585085/SAMN39585086;This study
M. berthae;M. berthae;t1330;Mber_t1330;Kirindy;-20,05;44,65;30;04.08.2006;PM Kappeler;male;NA;;GL;;;SAMN39585087;This study
M. berthae;M. berthae;t1331;Mber_t1331_S12;Kirindy;-20,05;44,65;30;09.08.2006;PM Kappeler;female;NA;;GL;;;SAMN39585088/SAMN39585089;This study
M. berthae;M. berthae;t1332;Mber_t1332;Kirindy;-20,05;44,65;30;09.08.2006;PM Kappeler;female;NA;;GL;;;SAMN39585090;This study
M. berthae;M. berthae;t1334;Mber_t1334;Kirindy;-20,05;44,65;30;09.08.2006;PM Kappeler;female;NA;;GL;;;SAMN39585091;This study
M. bongolavensis;M. ravelobensis;f301y03ata;Mbon_301y03_ata_S12;Maroakata;-16,0852;47,3027;NA;26.08.2003;G Olivieri;female;juvenile;✓;GL & GC;;;SAMN39585092/SAMN39585093;This study
M. bongolavensis;M. ravelobensis;f3y11hara;Mbon_3y11_hara_S12;Ankarahara;-15,55;47,48;NA;07.11.2011;B Randrianambinina & S Rasoloharijaona & R Rakotondravony;female;adult;✓;GL & GC;✓;;SAMN39585094/SAMN39585095;This study
M. bongolavensis;M. ravelobensis;f55y04bibo;Mbon_55y04_bibo_S12;Ambodimahabibo;-15,4957;47,4799;NA;09.08.2004;G Olivieri;female;adult;✓;GL & GC;;;SAMN39585096/SAMN39585097;This study
