specimen,current_30arcsec_monthCountByTemp10,wc2.1_30s_bio_15,lvl4.45a,lvl4.45b,lvl4.45d,lvl4.65f,lvl4.65i,lvl4.65q,lvl4.66d,lvl4.66e,lvl4.66g,lvl4.66k,lvl4.67c,lvl4.67f,lvl4.67g,lvl4.67h,lvl4.67i,lvl4.69c,lvl4.69d,huc4.208,huc4.304,huc4.305,huc4.306,huc4.313,huc4.315,huc4.316,huc4.505,huc4.507,huc4.601,huc4.602,huc8.2080201,huc8.3040101,huc8.3050101,huc8.3050105,huc8.3060102,huc8.3130001,huc8.3130002,huc8.3150101,huc8.3150102,huc8.3150103,huc8.3150104,huc8.3150105,huc8.3150106,huc8.3150107,huc8.3150108,huc8.3150110,huc8.3150201,huc8.3150202,huc8.3150204,huc8.3160203,huc8.5050001,huc8.5050002,huc8.5070101,huc8.5070201,huc8.6010101,huc8.6010102,huc8.6010103,huc8.6010105,huc8.6010106,huc8.6010108,huc8.6010202,huc8.6010203,huc8.6010204,huc8.6020003
RAP0634_monticola_B,0.235625476,0.268554824,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
RAP0641_monticola_B,0.356079027,0.196963927,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAP0656_monticola_A,0.356079027,0.329585349,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAP0673_monticola_B,0.356079027,0.213421377,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAP0679_monticola_A,0.356079027,0.408883406,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAP0686_monticola_B,0.712158054,0.281137792,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAP0707_monticola_A,0.712158054,0.944501903,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAP0713_monticola_B,0.083523769,0.208512394,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RAP0719_monticola_B,0,0.206481661,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RAP0731_monticola_B,0.267758388,0.211001829,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RAP0764_monticola_B,0.356079027,0.343909878,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
RAP0771_monticola_B,0.160019434,0.276983392,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
RAP0781_monticola_B,0.356079027,0.231944473,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RAP0797_monticola_B,0.356079027,0.195573722,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
