Specimen,site,long,lat,elevation,lvl4,huc4,huc8,current_30arcsec_monthCountByTemp10,wc2.1_30s_bio_15
RAP0634_monticola_B,site1,-81.8372732,36.2351144,976.29,1745,115,15,6.323444843,11.45682144
RAP0641_monticola_B,site2,-82.148232,35.756414,680.12,1745,156,14,7,10.3577652
RAP0656_monticola_A,site3,-83.9126546,34.7080531,637.64,1736,46,1369,7,12.39375591
RAP0673_monticola_B,site4,-83.553978,34.958973,700.06,1736,47,444,7,10.61041832
RAP0679_monticola_A,site6,-84.33188,34.777,651.94,1772,1,1377,7,13.61113167
RAP0686_monticola_B,site7,-83.3161259,34.6671484,222.99,1738,47,444,9,11.6499939
RAP0707_monticola_A,site8,-87.367445,31.732458,94.21,1729,1,409,9,21.83389282
RAP0713_monticola_B,site9,-81.6467495,36.5555108,1153.31,1746,117,26,5.469130516,10.53505611
RAP0719_monticola_B,site10,-81.594393,36.423777,1182.7,1810,117,26,5,10.5038805
RAP0731_monticola_B,site11,-81.6661758,36.2236491,977.64,1745,117,26,6.503926754,10.57327366
RAP0764_monticola_B,site12,-82.2792714,36.082145,748.25,1745,115,18,7,12.61366463
RAP0771_monticola_B,site13,-82.2394658,36.136275,1150.2,1745,115,18,5.898786068,11.58621597
RAP0781_monticola_B,site14,-81.9334562,35.9488909,1009.46,1778,156,14,7,10.89478302
RAP0797_monticola_B,site15,-82.2609134,35.6310592,783.29,1745,156,14,7,10.33642292
RAP0807_monticola_B,site16,-82.4052189,35.7232987,919.43,1745,115,16,6.670242786,10.40585899
RAP0826_monticola_B,site17,-82.9973662,35.7552961,777.4,1777,115,17,7,13.00969315
RAP0837_monticola_B,site18,-83.0271226,35.7302948,633.45,1777,115,17,7,13.86500835
RAP0845_monticola_B,site19,-83.0693542,35.5552805,1139.58,1745,115,17,5.893008232,10.17125702
RAP0864_monticola_B,site21,-83.248318,35.4374004,1067.11,1777,115,13,6.599843979,10.37183094
RAP0874_monticola_B,site22,-82.9269025,35.2761615,1272.45,1745,115,13,5.840522289,8.564810753
RAP0877_monticola_B,site23,-82.9195227,35.2533044,1146.58,1745,115,16,6.257115841,8.547324181
