Specimen,Left,Right,pop
RAP1136,NA,NA,1
RAP1038,7,7,2
RAP1039,7,7,2
RAP1030,6,6,3
RAP1031,6,6,3
RAP1032,6,6,3
RAP1033,7,7,3
RAP1034,7,7,3
RAP1134,6,6,4
RAP0707,NA,NA,5
RAP1141,NA,NA,6
RAP1128,NA,NA,7
RAP1143,NA,NA,8
RAP1079,NA,NA,9
RAP1152,NA,NA,10
RAP1139,NA,NA,11
RAP1071,NA,NA,12
RAP1077,7,7,13
RAP1145,NA,NA,14
RAP1150,NA,NA,15
RAP1153,NA,NA,16
RAP1155,NA,NA,17
RAP1081,NA,NA,18
RAP1075,NA,NA,19
RAP1361,NA,NA,20
RAP1086,7,7,21
RAP1338,5,5,22
RAP1339,4,4,22
RAP1087,NA,NA,23
RAP1327,5,5,24
RAP0686,NA,NA,25
RAP0660,5,5,26
RAP0661,5,5,26
RAP1312,5,5,27
RAP1383,NA,NA,28
RAP0679,NA,NA,29
RAP1380,NA,NA,30
RAP0673,5,5,31
RAP0675,5,5,31
RAP0934,5,5,32
RAP1068,NA,NA,33
RAP1286,5,5,34
RAP1287,5,5,34
RAP1277,5,5,35
RAP0877,5,5,36
RAP1092,NA,NA,37
RAP0874,5,5,38
RAP0970,4,4,39
RAP0938,5,5,40
RAP0941,5,5,40
RAP0943,5,5,40
RAP0944,5,5,40
RAP0881,NA,NA,41
RAP0931,5,5,42
RAP1258,5,5,43
RAP1269,4,4,43
RAP0993,5,5,44
RAP0994,5,5,44
RAP0864,4,4,45
RAP0865,5,5,45
RAP0845,5,5,46
RAP0797,5,5,47
RAP0798,5,5,47
RAP0799,5,5,47
RAP1203,5,5,48
RAP0807,6,6,49
RAP0838,5,5,50
RAP0826,NA,NA,51
RAP0641,5,5,52
RAP0642,6,5,52
RAP0643,5,5,52
RAP0781,5,4,53
RAP0764,5,5,54
RAP0765,5,5,54
RAP0771,NA,NA,55
RAP0732,5,5,56
RAP0733,5,5,56
RAP0735,5,5,56
RAP0634,NA,NA,57
RAP1050,5,5,58
RAP1051,5,5,58
RAP1102,NA,NA,59
RAP0947,5,5,60
RAP0719,NA,NA,61
RAP0714,5,5,62
RAP0715,5,5,62
RAP1427,5,5,63
RAP1441,4,4,64
RAP1451,5,4,65
RAP1452,5,5,65
RAP1453,5,5,65
RAP1192,5,5,66
RAP1186,5,5,67
RAP1199,NA,NA,68
RAP1198,NA,NA,69
RAP1182,5,5,70
RAP1176,5,5,71
