site,SVL,TL,AG,CW,FL,HL,SG,TW,TO,FI,HW,ED,IN,ES,ON,IO,IC,Left,Right
site1,0.758513932,0.615910752,0.682855068,0.115338273,0.393254382,0.773882688,0.498030936,0.163966156,0.536453912,0.619874642,0.38500973,0.574555286,0.453603625,0.267255368,0.397299632,0.381838065,0.185001964,NA,NA
site2,0.674922601,0.404387161,0.718425262,0.248436956,0.439879338,0.596608889,0.547635364,0.113618455,0.530962427,0.430564109,0.625011638,0.274222042,0.556782192,0.429319599,0.435640142,0.519117529,0.514602045,1,1
site3,0.574082264,0.478342867,0.573756043,0.310280768,0.559872588,0.521725737,0.135684136,0.34137361,0.678478047,0.635138146,0.471773482,0.429245247,0.55153433,0.490648262,0.564610661,0.514174476,0.541012893,0.817643512,0.817643512
site4,0.781733746,0.488209636,0.688634748,0.271799954,0.232629469,0.605605654,0.769549924,0.13767385,0.444963645,0.300150429,0.411578201,0.519309586,0.456200079,0.576002913,0.70116679,0.734990706,0.591949202,0.696072521,0.696072521
site6,0.758513932,0.886046985,0.943056805,0.320653477,0.479932327,0.93098029,0.636357237,0.013966156,0.59226332,0.699774356,0.208352676,0.320984357,0.298880647,0.37498815,0.640182392,0.358989257,0.417464417,NA,NA
site7,0.814241486,0.721454045,0.702508562,0.328875424,0.590101972,0.730939475,0.47648851,0.039197956,0.800558806,0.659523641,0.648985388,0.547620158,0.764592495,0.567058081,0.507467893,0.499765822,0.641992607,NA,NA
site8,0.953560372,0.713811719,0.28906143,0.543339095,0.467449593,0.577257791,0.39957806,0.64811079,0.437648563,0.419072353,0.643516296,0.459151428,0.630136817,0.444442338,0.442376441,0.42138803,0.237302442,NA,NA
site9,0.814241486,0.612308092,0.471218129,0.408720226,0.699251977,0.54765894,0.084563992,0.555864623,0.744749398,0.679498569,0.554768293,0.663840167,0.347309313,0.2387296,0.340783646,0.141801173,0.151238539,NA,NA
site10,0.879256966,0.418463895,0.556788364,0.340368762,0.592361649,0.431765512,0.132436708,0.404746168,0.823433097,0,0.699822833,0.667634036,0.66402534,0.487606826,0.49153785,0.794751102,0.757576913,NA,NA
site11,0.93498452,0.554022325,0.388518381,0.377106709,0.599801877,0.682876785,0.721835442,0.384144635,0.789887815,0.698821638,0.410273054,0.566740721,0.459270951,0.566813842,0.756484341,0.440470174,0.723813488,NA,NA
