Specimen,pop,SVL,TL,AG,CW,FL,HL,SG,TW,TO,FI,HW,ED,IN,ES,ON,IO,IC
RAP0634,57,4,3.8,3.42,2.15,1.49,1.46,2.55,1.69,1.36,0.72,2.14,1.14,1.02,1.21,0.93,0.97,1.37
RAP0635,57,3.94,3.62,3.33,2.05,1.46,1.19,2.52,1.65,1.2,0.67,2.08,1.13,1.08,1.14,0.78,0.94,1.33
RAP0641,52,3.2,2.83,2.59,1.3,0.94,0.71,1.83,0.73,0.63,-0.23,1.5,0.65,0.31,0.32,-0.01,0.18,0.68
RAP0642,52,3.1,2.44,2.43,1.18,0.76,0.4,1.8,0.65,0.44,-0.2,1.43,0.47,0.36,0.34,-0.13,0.16,0.71
RAP0643,52,3.22,2.48,2.57,1.35,0.84,0.62,1.88,0.75,0.65,0.24,1.52,0.57,0.11,0.48,0.23,0.17,0.73
RAP0656,26,3.83,3.62,3.22,1.97,1.32,0.73,2.35,1.69,1.1,0.62,2.04,1.03,0.84,0.97,0.69,0.76,1.27
RAP0657,26,3.94,3.7,3.33,2.15,1.52,1.12,2.42,1.8,1.17,0.73,2.17,1.25,1.11,1.25,0.94,0.95,1.39
RAP0658,26,4.1,3.9,3.51,2.19,1.68,1.13,2.54,1.83,1.38,0.92,2.26,1.28,1.12,1.28,1,1.06,1.5
RAP0660,26,3.39,2.92,2.76,1.46,0.98,0.61,2.02,0.99,0.62,0.23,1.63,0.78,0.43,0.52,0.21,0.4,0.91
RAP0661,26,3.42,2.75,2.76,1.53,1.14,0.48,2.04,1.07,0.8,0.1,1.69,0.76,0.38,0.5,0.1,0.32,0.89
RAP0673,31,3.68,3.13,3.03,1.76,1.23,1.09,2.27,1.4,1.07,0.24,1.89,0.92,0.65,0.87,0.56,0.54,1.09
RAP0679,29,4.18,3.63,3.56,2.32,1.44,1.15,2.72,1.88,1.34,0.89,2.34,1.42,1.25,1.36,0.96,0.94,1.55
RAP0680,29,3.71,3.28,3,1.92,1.29,0.72,2.24,1.59,1.09,0.5,1.97,0.91,0.81,0.95,0.59,0.61,1.2
RAP0686,25,4.25,4,3.63,2.49,1.97,1.38,2.71,2.27,1.59,1.17,2.46,1.19,1.4,1.11,0.62,1.25,1.72
RAP0707,5,3.99,3.83,3.4,2.12,1.54,1.51,2.53,1.7,1.24,0.85,2.14,1.11,1.06,1.1,0.81,0.78,1.34
RAP0713,62,4.21,3.71,3.59,2.46,1.74,1.56,2.69,2.21,1.48,1.12,2.38,1.32,1.36,1.44,1.02,1.02,1.6
RAP0714,62,3.28,2.73,2.57,1.45,0.8,0.61,1.93,1.05,0.55,0.14,1.66,0.74,0.48,0.54,0.19,0.28,0.83
RAP0715,62,3.42,2.92,2.76,1.55,0.97,0.76,2.01,1.17,0.83,0.34,1.7,0.8,0.54,0.63,0.19,0.41,0.99
RAP0719,61,3.97,3.68,3.36,2.26,1.65,1.14,2.46,2.07,1.38,0.93,2.19,1.12,1.13,0.94,0.48,0.85,1.36
RAP0731,56,4.06,3.16,3.45,2.13,1.55,1.18,2.55,1.76,1.19,0.71,2.17,1.1,1.12,1.21,0.79,0.95,1.46
RAP0732,56,3.79,3.6,3.15,2.03,1.25,0.9,2.27,1.82,1.21,0.66,2.02,1.01,0.97,1.09,0.65,0.8,1.31
RAP0733,56,3.64,3.27,3,1.85,1.33,0.93,2.13,1.46,0.82,0.48,1.86,0.86,0.85,0.83,0.32,0.55,1.2
RAP0764,54,3.99,3.74,3.38,2.15,1.32,1.42,2.51,1.91,1.27,0.66,2.13,1.06,1.07,1.25,0.87,0.89,1.43
RAP0765,54,3.77,3.63,3.06,1.91,1.15,0.89,2.28,1.51,1.1,0.27,1.99,0.93,0.91,0.96,0.6,0.68,1.32
RAP0771,55,3.91,3.23,3.21,2.11,1.41,0.67,2.43,1.86,1.03,0.81,2.12,1.2,1.08,1.28,0.9,0.83,1.39
RAP0781,53,3.35,3.17,2.67,1.51,0.82,0.91,2.01,1.21,0.8,0.18,1.68,0.68,0.62,0.73,0.29,0.34,0.98
